"索引"	"轮数"	"兑换物品"	"积分消耗"	""	""	
"index"	"type"	"item"	"score"	""	""	
"int"	"int"	"int[2]"	"int"	""	""	
"cs"	"cs"	"cs"	"cs"	""	""	
"1"	"1"	"561001,3"	"300"	""	""	
"2"	"1"	"530956,1"	"12500"	""	""	
"3"	"1"	"300201,1"	"4000"	""	""	
"4"	"1"	"400200,1"	"200"	""	""	
"5"	"1"	"400014,500"	"100"	""	""	
"6"	"1"	"530701,3"	"300"	""	""	
"7"	"1"	"530717,1"	"500"	""	""	
"8"	"1"	"820001,10"	"200"	""	""	
"9"	"1"	"810116,5"	"50"	""	""	
"10"	"1"	"400100,10"	"20"	""	""	
"11"	"1"	"410103,10"	"200"	""	""	
"12"	"1"	"530815,1"	"2500"	""	""	
