"索引"	"等级"	"星级"	"下一星级"	"总经验"	"物品给予经验"	"消耗物品"	"消耗物品数量"	"10次升级暴击概率"	"加成属性_1"	"加成属性_2"	"加成属性_3"	"加成属性_4"	"加成属性_5"	
"index"	"level"	"star"	"next_star"	"exp"	"exp_item"	"cost_item"	"cost_item_count"	"crit"	"attr_1"	"attr_2"	"attr_3"	"attr_4"	"attr_5"	
"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"float"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1"	"0"	"1"	"40"	"10"	"820001"	"1"	"0.200000"	""	""	""	""	""	
"2"	"1"	"1"	"2"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,16"	"9,0,16"	"10,0,10"	"11,0,10"	"6,0,400"	
"3"	"1"	"2"	"3"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,24"	"9,0,24"	"10,0,15"	"11,0,15"	"6,0,600"	
"4"	"1"	"3"	"4"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,32"	"9,0,32"	"10,0,20"	"11,0,20"	"6,0,800"	
"5"	"1"	"4"	"5"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,40"	"9,0,40"	"10,0,25"	"11,0,25"	"6,0,1000"	
"6"	"1"	"5"	"6"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,48"	"9,0,48"	"10,0,30"	"11,0,30"	"6,0,1200"	
"7"	"1"	"6"	"7"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,56"	"9,0,56"	"10,0,35"	"11,0,35"	"6,0,1400"	
"8"	"1"	"7"	"8"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,64"	"9,0,64"	"10,0,40"	"11,0,40"	"6,0,1600"	
"9"	"1"	"8"	"9"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,72"	"9,0,72"	"10,0,45"	"11,0,45"	"6,0,1800"	
"10"	"1"	"9"	"-1"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,80"	"9,0,80"	"10,0,50"	"11,0,50"	"6,0,2000"	
"11"	"2"	"0"	"1"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,88"	"9,0,88"	"10,0,55"	"11,0,55"	"6,0,2200"	
"12"	"2"	"1"	"2"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,96"	"9,0,96"	"10,0,60"	"11,0,60"	"6,0,2400"	
"13"	"2"	"2"	"3"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,104"	"9,0,104"	"10,0,65"	"11,0,65"	"6,0,2600"	
"14"	"2"	"3"	"4"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,112"	"9,0,112"	"10,0,70"	"11,0,70"	"6,0,2800"	
"15"	"2"	"4"	"5"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,120"	"9,0,120"	"10,0,75"	"11,0,75"	"6,0,3000"	
"16"	"2"	"5"	"6"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,128"	"9,0,128"	"10,0,80"	"11,0,80"	"6,0,3200"	
"17"	"2"	"6"	"7"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,136"	"9,0,136"	"10,0,85"	"11,0,85"	"6,0,3400"	
"18"	"2"	"7"	"8"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,144"	"9,0,144"	"10,0,90"	"11,0,90"	"6,0,3600"	
"19"	"2"	"8"	"9"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,152"	"9,0,152"	"10,0,95"	"11,0,95"	"6,0,3800"	
"20"	"2"	"9"	"-1"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,160"	"9,0,160"	"10,0,100"	"11,0,100"	"6,0,4000"	
"21"	"3"	"0"	"1"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,168"	"9,0,168"	"10,0,105"	"11,0,105"	"6,0,4200"	
"22"	"3"	"1"	"2"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,176"	"9,0,176"	"10,0,110"	"11,0,110"	"6,0,4400"	
"23"	"3"	"2"	"3"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,184"	"9,0,184"	"10,0,115"	"11,0,115"	"6,0,4600"	
"24"	"3"	"3"	"4"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,192"	"9,0,192"	"10,0,120"	"11,0,120"	"6,0,4800"	
"25"	"3"	"4"	"5"	"40"	"10"	"820001"	"1"	"0.200000"	"8,0,200"	"9,0,200"	"10,0,125"	"11,0,125"	"6,0,5000"	
