"等级/次数"	"所需金币(第N次花钱点击所需花费)"	"返回银币"	"1号箱子"	"2号箱子"	"3号箱子"	"4号箱子"	"5号箱子"	"每日免费次数(只以第一行为准)"	"每日付费次数(只以第一行为准)"	""	""	""	""	""	""	""	
"level"	"gold"	"silver"	"chest1"	"chest2"	"chest3"	"chest4"	"chest5"	"free_count"	"gold_count"	""	""	""	""	""	""	""	
"int"	"int"	"int"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int"	"int"	""	""	""	""	""	""	""	
"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	""	""	""	""	""	""	""	
"1"	"2"	"66900"	"10,167300"	"20,223000"	"30,286600"	"40,360100"	"50,445900"	"6"	"0"	""	""	""	""	""	""	""	
"2"	"4"	"67400"	"10,168500"	"20,224600"	"30,288800"	"40,362900"	"50,449300"	""	""	""	""	""	""	""	""	""	
"3"	"6"	"67900"	"10,169800"	"20,226300"	"30,291000"	"40,365700"	"50,452600"	""	""	""	""	""	""	""	""	""	
"4"	"8"	"68400"	"10,171000"	"20,228000"	"30,293300"	"40,368200"	"50,456000"	""	""	""	""	""	""	""	""	""	
"5"	"10"	"68900"	"10,172200"	"20,229700"	"30,295300"	"40,371000"	"50,459400"	""	""	""	""	""	""	""	""	""	
"6"	"10"	"69400"	"10,173500"	"20,231400"	"30,297300"	"40,373800"	"50,462700"	""	""	""	""	""	""	""	""	""	
"7"	"10"	"69900"	"10,174800"	"20,233000"	"30,299500"	"40,376300"	"50,466100"	""	""	""	""	""	""	""	""	""	
"8"	"10"	"70400"	"10,176000"	"20,234700"	"30,301800"	"40,379100"	"50,469400"	""	""	""	""	""	""	""	""	""	
"9"	"10"	"70900"	"10,177300"	"20,236300"	"30,304000"	"40,381600"	"50,472800"	""	""	""	""	""	""	""	""	""	
"10"	"10"	"71400"	"10,178500"	"20,238000"	"30,306000"	"40,384400"	"50,476200"	""	""	""	""	""	""	""	""	""	
"11"	"10"	"71900"	"10,179800"	"20,239600"	"30,308000"	"40,387200"	"50,479500"	""	""	""	""	""	""	""	""	""	
"12"	"10"	"72400"	"10,181000"	"20,241300"	"30,310300"	"40,389800"	"50,482400"	""	""	""	""	""	""	""	""	""	
