"ID"	"宠物星级所需道具ID(碎片)"	"宠物星级所需碎片数量"	"拥有的触发技能ID触发器CombatTriggerConfig"	"宠物每星所有属性(填最终值，每行1个星级)"	"特效资源"	"技能施放的特效(GameEffect表添写ID)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"id"	"need_id"	"need_num"	"base_skill"	"stat_star"	"character_filename"	"effectskill"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"int"	"int"	"int"	"int[]"	"string"	"int"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10001"	"510101"	"40"	"50201001"	"0,4332,1,270,2,135"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10002"	"510101"	"60"	"50201002"	"0,17328,1,1083,2,541"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10003"	"510101"	"100"	"50201003"	"0,36389,1,2274,2,1137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10004"	"510101"	"150"	"50201004"	"0,60648,1,3790,2,1895"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10005"	"510101"	"0"	"50201005"	"0,86640,1,5415,2,2707"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20001"	"510102"	"40"	"50202001"	"0,4310,1,359,10,94"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20002"	"510102"	"60"	"50202002"	"0,17241,1,1436,10,377"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20003"	"510102"	"100"	"50202003"	"0,36207,1,3017,10,792"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20004"	"510102"	"150"	"50202004"	"0,60346,1,5028,10,1320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20005"	"510102"	"0"	"50202005"	"0,86209,1,7184,10,1885"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"30001"	"510103"	"40"	"50203001"	"1,452,2,135,12,88"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"30002"	"510103"	"60"	"50203002"	"1,1809,2,542,12,352"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
