"索引ID"	"总战力上限必须有序，从低到高"	"刷新时间(分钟）"	"刷新物品ID（Dropcommon表）"	"刷新物品ID（Itemcommon表）"	"刷新物品数量"	
"id"	"CombatEffectiveness"	"Time"	"Dropitem"	"Bonusitem"	"Dropamount"	
"int"	"int"	"int"	"int"	"int"	"int"	
"cs"	"cs"	"cs"	"c"	"s"	"cs"	
"1"	"10000"	"10"	"8100001"	"18100001"	"1"	
"2"	"20000"	"10"	"8100002"	"18100002"	"1"	
"3"	"30000"	"10"	"8100003"	"18100003"	"1"	
"4"	"40000"	"10"	"8100004"	"18100004"	"1"	
"5"	"50000"	"10"	"8100005"	"18100005"	"1"	
"6"	"60000"	"10"	"8100006"	"18100006"	"1"	
"7"	"70000"	"10"	"8100007"	"18100007"	"1"	
"8"	"80000"	"10"	"8100008"	"18100008"	"1"	
"9"	"90000"	"10"	"8100009"	"18100009"	"1"	
"10"	"100000"	"10"	"8100010"	"18100010"	"1"	
"11"	"120000"	"10"	"8100012"	"18100012"	"1"	
"12"	"140000"	"10"	"8100014"	"18100014"	"1"	
"13"	"160000"	"10"	"8100016"	"18100016"	"1"	
"14"	"180000"	"10"	"8100018"	"18100018"	"1"	
"15"	"200000"	"10"	"8100020"	"18100020"	"1"	
"16"	"220000"	"10"	"8100022"	"18100022"	"1"	
"17"	"240000"	"10"	"8100024"	"18100024"	"1"	
"18"	"260000"	"10"	"8100026"	"18100026"	"1"	
"19"	"280000"	"10"	"8100028"	"18100028"	"1"	
"20"	"300000"	"10"	"8100030"	"18100030"	"1"	
"21"	"350000"	"10"	"8100035"	"18100035"	"1"	
"22"	"400000"	"10"	"8100040"	"18100040"	"1"	
"23"	"450000"	"10"	"8100045"	"18100045"	"1"	
"24"	"500000"	"10"	"8100050"	"18100050"	"1"	
"25"	"600000"	"10"	"8100060"	"18100060"	"1"	
"26"	"700000"	"10"	"8100070"	"18100070"	"1"	
"27"	"800000"	"10"	"8100080"	"18100080"	"1"	
"28"	"900000"	"10"	"8100090"	"18100090"	"1"	
"29"	"1000000"	"10"	"8100100"	"18100100"	"1"	
"30"	"1200000"	"10"	"8100120"	"18100120"	"1"	
"31"	"1400000"	"10"	"8100140"	"18100140"	"1"	
"32"	"1600000"	"10"	"8100160"	"18100160"	"1"	
"33"	"1800000"	"10"	"8100180"	"18100180"	"1"	
"34"	"2000000"	"10"	"8100200"	"18100200"	"1"	
"35"	"2200000"	"10"	"8100220"	"18100220"	"1"	
"36"	"2400000"	"10"	"8100240"	"18100240"	"1"	
"37"	"2600000"	"10"	"8100260"	"18100260"	"1"	
"38"	"2800000"	"10"	"8100280"	"18100280"	"1"	
"39"	"3000000"	"10"	"8100300"	"18100300"	"1"	
"40"	"3500000"	"10"	"8100350"	"18100350"	"1"	
"41"	"4000000"	"10"	"8100400"	"18100400"	"1"	
"42"	"4500000"	"10"	"8100450"	"18100450"	"1"	
"43"	"5000000"	"10"	"8100500"	"18100500"	"1"	
"44"	"6000000"	"10"	"8100600"	"18100600"	"1"	
"45"	"7000000"	"10"	"8100700"	"18100700"	"1"	
"46"	"8000000"	"10"	"8100800"	"18100800"	"1"	
"47"	"9000000"	"10"	"8100900"	"18100900"	"1"	
"48"	"10000000"	"10"	"8101000"	"18101000"	"1"	
"49"	"12000000"	"10"	"8101200"	"18101200"	"1"	
"50"	"14000000"	"10"	"8101400"	"18101400"	"1"	
"51"	"16000000"	"10"	"8101600"	"18101600"	"1"	
"52"	"18000000"	"10"	"8101800"	"18101800"	"1"	
"53"	"20000000"	"10"	"8102000"	"18102000"	"1"	
"54"	"22000000"	"10"	"8102200"	"18102200"	"1"	
"55"	"24000000"	"10"	"8102400"	"18102400"	"1"	
"56"	"26000000"	"10"	"8102600"	"18102600"	"1"	
"57"	"28000000"	"10"	"8102800"	"18102800"	"1"	
"58"	"30000000"	"10"	"8103000"	"18103000"	"1"	
"59"	"35000000"	"10"	"8103500"	"18103500"	"1"	
"60"	"40000000"	"10"	"8104000"	"18104000"	"1"	
"61"	"45000000"	"10"	"8104500"	"18104500"	"1"	
"62"	"50000000"	"10"	"8105000"	"18105000"	"1"	
