"建筑等级-商店"	"刷新所需贡献"	"1级商品"	"1级商品数量"	"1级商品概率"	"1级商品价格"	"1级商品价格类型"	"2级商品"	"2级商品数量"	"2级商品概率"	"2级商品价格"	"2级商品价格类型"	"3级商品"	"3级商品数量"	"3级商品概率"	"3级商品价格"	"3级商品价格类型"	"4级商品"	"4级商品数量"	"4级商品概率"	"4级商品价格"	"4级商品价格类型"	"5级商品"	"5级商品数量"	"5级商品概率（暂时废弃）"	"5级商品价格"	"5级商品价格类型"	"6级商品"	"6级商品数量"	"6级商品概率（暂时废弃）"	"6级商品价格"	"6级商品价格类型"	"7级商品"	"7级商品数量"	"7级商品概率（暂时废弃）"	"7级商品价格"	"7级商品价格类型"	"8级商品"	"8级商品数量"	"8级商品概率（暂时废弃）"	"8级商品价格"	"8级商品价格类型"	"展示商品ID1"	"展示商品价格1"	"商品价格类型"	"展示商品ID2"	"展示商品价格2"	"商品价格类型"	
"build_level_store"	"refresh_need"	"goods1_ID"	"goods1_num"	"goods1_rate"	"goods1_price"	"goods1_type"	"goods2_ID"	"goods2_num"	"goods2_rate"	"goods2_price"	"goods2_type"	"goods3_ID"	"goods3_num"	"goods3_rate"	"goods3_price"	"goods3_type"	"goods4_ID"	"goods4_num"	"goods4_rate"	"goods4_price"	"goods4_type"	"goods5_ID"	"goods5_num"	"goods5_rate"	"goods5_price"	"goods5_type"	"goods6_ID"	"goods6_num"	"goods6_rate"	"goods6_price"	"goods6_type"	"goods7_ID"	"goods7_num"	"goods7_rate"	"goods7_price"	"goods7_type"	"goods8_ID"	"goods8_num"	"goods8_rate"	"goods8_price"	"goods8_type"	"show1_ID"	"show1_price"	"show1_type"	"show2_ID"	"show2_price"	"show2_type"	
"int"	"int"	"int[]"	"int[]"	"int"	"int"	"int"	"int[]"	"int[]"	"int"	"int"	"int"	"int[]"	"int[]"	"int"	"int"	"int"	"int[]"	"int[]"	"int"	"int"	"int"	"int[]"	"int[]"	"int"	"int"	"int"	"int[]"	"int[]"	"int"	"int"	"int"	"int[]"	"int[]"	"int"	"int"	"int"	"int[]"	"int[]"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	
"cs"	"cs"	"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"s"	"cs"	"cs"	"c"	"c"	"c"	"c"	"c"	"c"	
"1"	"100"	"700101,700102,700103,700104"	"5,5,5,5"	"500"	"1200"	"100011"	"561000,400033,400037"	"2,5,5"	"1500"	"2500"	"100011"	"410014,400100,400200"	"5,10,1"	"2000"	"2500"	"100011"	""	""	""	""	""	""	""	""	""	""	"810116"	"1"	""	"500"	"100011"	"600002,600017,470000,400014"	"1,1,1,5"	""	"200"	"100011"	"600002,600017,470000,400014"	"2,2,2,10"	""	"400"	"100011"	""	""	""	""	""	""	
"2"	"100"	"700105,700106,700107,700108,700101,700102,700103,700104"	"5,5,5,5,5,5,5,5"	"500"	"1150"	"100011"	"561000,400033,400037,400039,400035"	"2,5,5,5,5"	"1500"	"2400"	"100011"	"410014,400100,400200"	"5,10,1"	"2000"	"2400"	"100011"	""	""	""	""	""	""	""	""	""	""	"810116"	"1"	""	"500"	"100011"	"600002,600017,470000,400014"	"1,1,1,5"	""	"200"	"100011"	"600002,600017,470000,400014"	"2,2,2,10"	""	"400"	"100011"	""	""	""	""	""	""	
"3"	"100"	"700105,700106,700107,700108,700101,700102,700103,700104,700113,700114,700115,700116"	"5,5,5,5,5,5,5,5,5,5,5,5"	"500"	"1100"	"100011"	"561000,400033,400037,400039,400035"	"2,5,5,5,5"	"1500"	"2300"	"100011"	"410014,400100,400200"	"5,10,1"	"2000"	"2300"	"100011"	""	""	""	""	""	""	""	""	""	""	"810116"	"1"	""	"500"	"100011"	"600002,600017,470000,400014"	"1,1,1,5"	""	"200"	"100011"	"600002,600017,470000,400014"	"2,2,2,10"	""	"400"	"100011"	""	""	""	""	""	""	
"4"	"100"	"700105,700106,700107,700108,700101,700102,700103,700104,700113,700114,700115,700116"	"5,5,5,5,5,5,5,5,5,5,5,5"	"500"	"1050"	"100011"	"561000,400033,400037,400039,400035,400041,400049,400048"	"2,5,5,5,5,5,5,5"	"1500"	"2200"	"100011"	"410014,400100,400200,100023,100022"	"5,10,1,1,1"	"2000"	"2200"	"100011"	"410116"	"1"	"500"	"15000"	"100011"	"410115"	"1"	""	"3000"	"100011"	"810116"	"2"	""	"1000"	"100011"	"600002,600017,470000,400014"	"1,1,1,5"	""	"200"	"100011"	"600002,600017,470000,400014"	"2,2,2,10"	""	"400"	"100011"	""	""	""	""	""	""	
"5"	"100"	"700105,700106,700107,700108,700101,700102,700103,700104,700113,700114,700115,700116"	"5,5,5,5,5,5,5,5,5,5,5,5"	"500"	"1000"	"100011"	"561000,400033,400037,400039,400035,400041,400049,400048,400043"	"2,5,5,5,5,5,5,5,5"	"1500"	"2100"	"100011"	"410014,400100,400200,100023,100022"	"5,10,1,1,1"	"2000"	"2100"	"100011"	"410116"	"1"	"500"	"15000"	"100011"	"410115"	"1"	""	"3000"	"100011"	"810116"	"2"	""	"1000"	"100011"	"600002,600017,470000,400014"	"1,1,1,5"	""	"200"	"100011"	"600002,600017,470000,400014"	"2,2,2,10"	""	"400"	"100011"	""	""	""	""	""	""	
"6"	"100"	"700105,700106,700107,700108,700101,700102,700103,700104,700113,700114,700115,700116"	"5,5,5,5,5,5,5,5,5,5,5,5"	"500"	"950"	"100011"	"561000,400033,400037,400039,400035,400041,400049,400048,400043,100019,100021"	"2,5,5,5,5,5,5,5,5,100,100"	"1500"	"2000"	"100011"	"410014,400100,400200,100023,100022"	"5,10,1,1,1"	"2000"	"2000"	"100011"	"410116"	"1"	"500"	"15000"	"100011"	"410115"	"1"	""	"3000"	"100011"	"810116"	"2"	""	"1000"	"100011"	"600002,600017,470000,400014"	"1,1,1,5"	""	"200"	"100011"	"600002,600017,470000,400014"	"2,2,2,10"	""	"400"	"100011"	""	""	""	""	""	""	
"7"	"100"	"700105,700106,700107,700108,700101,700102,700103,700104,700113,700114,700115,700116"	"5,5,5,5,5,5,5,5,5,5,5,5"	"500"	"900"	"100011"	"561000,400033,400037,400039,400035,400041,400049,400048,400043,100019,100021"	"2,5,5,5,5,5,5,5,5,100,100"	"1500"	"1900"	"100011"	"410014,400100,400200,100023,100022"	"5,10,1,1,1"	"2000"	"1900"	"100011"	"410116"	"1"	"500"	"15000"	"100011"	"410115"	"1"	""	"3000"	"100011"	"810116"	"2"	""	"1000"	"100011"	"600002,600017,470000,400014"	"1,1,1,5"	""	"200"	"100011"	"600002,600017,470000,400014"	"2,2,2,10"	""	"400"	"100011"	""	""	""	""	""	""	
"8"	"100"	"700105,700106,700107,700108,700101,700102,700103,700104,700113,700114,700115,700116"	"5,5,5,5,5,5,5,5,5,5,5,5"	"500"	"850"	"100011"	"561000,400033,400037,400039,400035,400041,400049,400048,400043,100019,100021"	"2,5,5,5,5,5,5,5,5,100,100"	"1500"	"1800"	"100011"	"410014,400100,400200,100023,100022"	"5,10,1,1,1"	"2000"	"1800"	"100011"	"410116"	"1"	"500"	"15000"	"100011"	"410115"	"1"	""	"3000"	"100011"	"810116"	"2"	""	"1000"	"100011"	"600002,600017,470000,400014"	"1,1,1,5"	""	"200"	"100011"	"600002,600017,470000,400014"	"2,2,2,10"	""	"400"	"100011"	""	""	""	""	""	""	
"9"	"100"	"700105,700106,700107,700108,700101,700102,700103,700104,700113,700114,700115,700116"	"5,5,5,5,5,5,5,5,5,5,5,5"	"500"	"800"	"100011"	"561000,400033,400037,400039,400035,400041,400049,400048,400043,100019,100021"	"2,5,5,5,5,5,5,5,5,100,100"	"1500"	"1700"	"100011"	"410014,400100,400200,100023,100022"	"5,10,1,1,1"	"2000"	"1700"	"100011"	"410116"	"1"	"500"	"15000"	"100011"	"410115"	"1"	""	"3000"	"100011"	"810116"	"2"	""	"1000"	"100011"	"600002,600017,470000,400014"	"1,1,1,5"	""	"200"	"100011"	"600002,600017,470000,400014"	"2,2,2,10"	""	"400"	"100011"	""	""	""	""	""	""	
"10"	"100"	"700105,700106,700107,700108,700101,700102,700103,700104,700113,700114,700115,700116"	"5,5,5,5,5,5,5,5,5,5,5,5"	"500"	"750"	"100011"	"561000,400033,400037,400039,400035,400041,400049,400048,400043,100019,100021"	"2,5,5,5,5,5,5,5,5,100,100"	"1500"	"1600"	"100011"	"410014,400100,400200,100023,100022"	"5,10,1,1,1"	"2000"	"1600"	"100011"	"410116"	"1"	"500"	"15000"	"100011"	"410115"	"1"	""	"3000"	"100011"	"810116"	"2"	""	"1000"	"100011"	"600002,600017,470000,400014"	"1,1,1,5"	""	"200"	"100011"	"600002,600017,470000,400014"	"2,2,2,10"	""	"400"	"100011"	""	""	""	""	""	""	
