"ID"	"专属武器图片（图集，图片名）"	"专属武器技能图片（图集，图片名）"	"专属武器技能Tip描述"	"专属武器加成"	
"id"	"weapon_icon_pic"	"skill_icon_pic"	"skill_tip"	"skill_addition"	
"int"	"string[2]"	"string[2]"	"string"	"float"	
"cs"	"c"	"c"	"cl"	"cs"	
"1001"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},30$[white]点伤害。"	"1.100000"	
"1002"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},31$[white]点伤害。"	"1.100000"	
"104001"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},32$[white]点伤害。"	"1.100000"	
"104002"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},33$[white]点伤害。"	"1.100000"	
"103003"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},34$[white]点伤害。"	"1.100000"	
"103004"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},35$[white]点伤害。"	"1.100000"	
"103005"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},36$[white]点伤害。"	"1.100000"	
"103006"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},37$[white]点伤害。"	"1.100000"	
"103007"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},38$[white]点伤害。"	"1.100000"	
"103008"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},39$[white]点伤害。"	"1.100000"	
"102009"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},40$[white]点伤害。"	"1.100000"	
"102010"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},41$[white]点伤害。"	"1.100000"	
"102011"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},42$[white]点伤害。"	"1.100000"	
"102012"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},43$[white]点伤害。"	"1.100000"	
"102013"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},44$[white]点伤害。"	"1.100000"	
"102014"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},45$[white]点伤害。"	"1.100000"	
"102015"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},46$[white]点伤害。"	"1.100000"	
"101016"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},47$[white]点伤害。"	"1.100000"	
"101017"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},48$[white]点伤害。"	"1.100000"	
"101018"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},49$[white]点伤害。"	"1.100000"	
"101019"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},50$[white]点伤害。"	"1.100000"	
"101020"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},51$[white]点伤害。"	"1.100000"	
"101021"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},52$[white]点伤害。"	"1.100000"	
"102022"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},53$[white]点伤害。"	"1.100000"	
"103023"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},54$[white]点伤害。"	"1.100000"	
"104024"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},55$[white]点伤害。"	"1.100000"	
"102025"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},56$[white]点伤害。"	"1.100000"	
"102026"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},57$[white]点伤害。"	"1.100000"	
"103027"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},58$[white]点伤害。"	"1.100000"	
"101028"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},59$[white]点伤害。"	"1.100000"	
"104029"	"head_hero_png,head_guojing"	"head_hero_png,head_guojing"	"对正前方扇形范围造成一次伤害，最多[green]${0},1$[white]个目标，造成[green]${1},29$[white]攻击力+[green]${2},60$[white]点伤害。"	"1.100000"	
