"id"	"等级序号"	"等级"	"奖励层"	"时间(分)"	"奖励物品"	""	""	""	""	""	""	""	""	
"id"	"stage"	"level"	"rank"	"time"	"reward"	""	""	""	""	""	""	""	""	
"int"	"int"	"int[2]"	"int"	"int"	"int[]"	""	""	""	""	""	""	""	""	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	""	""	""	""	""	""	""	""	
"1"	"1"	"0,89"	"1"	"5"	"100203,1,100102,1,100101,5,6100000,1"	""	""	""	""	""	""	""	""	
"2"	"1"	"0,89"	"2"	"10"	"110405,2,100102,1,100101,8,6100000,1"	""	""	""	""	""	""	""	""	
"3"	"1"	"0,89"	"3"	"30"	"131101,2,100102,1,100101,10,6100000,2"	""	""	""	""	""	""	""	""	
"4"	"1"	"0,89"	"4"	"60"	"100044,2,100102,1,100101,12,6100000,2"	""	""	""	""	""	""	""	""	
"5"	"1"	"0,89"	"5"	"120"	"110406,3,100102,1,100101,15,6100000,3"	""	""	""	""	""	""	""	""	
"6"	"2"	"90,119"	"1"	"5"	"100203,1,100102,1,100101,10,6100000,1"	""	""	""	""	""	""	""	""	
"7"	"2"	"90,119"	"2"	"10"	"110405,2,100102,1,100101,15,6100000,1"	""	""	""	""	""	""	""	""	
"8"	"2"	"90,119"	"3"	"30"	"131101,2,100102,2,100101,20,6100000,2"	""	""	""	""	""	""	""	""	
"9"	"2"	"90,119"	"4"	"60"	"100044,2,100102,2,100101,25,6100000,2"	""	""	""	""	""	""	""	""	
"10"	"2"	"90,119"	"5"	"120"	"110406,3,100102,3,100101,30,6100000,3"	""	""	""	""	""	""	""	""	
"11"	"3"	"120,149"	"1"	"5"	"100203,1,100102,2,100101,20,6100000,1"	""	""	""	""	""	""	""	""	
"12"	"3"	"120,149"	"2"	"10"	"110405,2,100102,3,100101,25,6100000,1"	""	""	""	""	""	""	""	""	
"13"	"3"	"120,149"	"3"	"30"	"131101,2,100102,3,100101,30,6100000,2"	""	""	""	""	""	""	""	""	
"14"	"3"	"120,149"	"4"	"60"	"100044,2,100102,4,100101,35,6100000,2"	""	""	""	""	""	""	""	""	
"15"	"3"	"120,149"	"5"	"120"	"110406,3,100102,4,100101,40,6100000,3"	""	""	""	""	""	""	""	""	
"16"	"4"	"150,179"	"1"	"5"	"100203,1,100102,3,100101,40,6100000,1"	""	""	""	""	""	""	""	""	
"17"	"4"	"150,179"	"2"	"10"	"110405,2,100102,4,100101,45,6100000,1"	""	""	""	""	""	""	""	""	
"18"	"4"	"150,179"	"3"	"30"	"131101,2,100102,5,100101,50,6100000,2"	""	""	""	""	""	""	""	""	
"19"	"4"	"150,179"	"4"	"60"	"100044,2,100102,6,100101,55,6100000,2"	""	""	""	""	""	""	""	""	
"20"	"4"	"150,179"	"5"	"120"	"110406,3,100102,7,100101,60,6100000,3"	""	""	""	""	""	""	""	""	
"21"	"5"	"180,209"	"1"	"5"	"100203,1,100102,6,100101,60,6100000,1"	""	""	""	""	""	""	""	""	
"22"	"5"	"180,209"	"2"	"10"	"110405,2,100102,7,100101,70,6100000,1"	""	""	""	""	""	""	""	""	
"23"	"5"	"180,209"	"3"	"30"	"131101,2,100102,8,100101,80,6100000,2"	""	""	""	""	""	""	""	""	
"24"	"5"	"180,209"	"4"	"60"	"100044,2,100102,9,100101,90,6100000,2"	""	""	""	""	""	""	""	""	
"25"	"5"	"180,209"	"5"	"120"	"110406,3,100102,10,100101,100,6100000,3"	""	""	""	""	""	""	""	""	
"26"	"6"	"210,239"	"1"	"5"	"100203,1,100102,8,100101,80,6100000,1"	""	""	""	""	""	""	""	""	
"27"	"6"	"210,239"	"2"	"10"	"110405,2,100102,11,100101,100,6100000,1"	""	""	""	""	""	""	""	""	
"28"	"6"	"210,239"	"3"	"30"	"131101,2,100102,14,100101,140,6100000,2"	""	""	""	""	""	""	""	""	
"29"	"6"	"210,239"	"4"	"60"	"100044,2,100102,17,100101,170,6100000,2"	""	""	""	""	""	""	""	""	
"30"	"6"	"210,239"	"5"	"120"	"110406,3,100102,20,100101,200,6100000,3"	""	""	""	""	""	""	""	""	
"31"	"7"	"240,300"	"1"	"5"	"100203,1,100102,10,100101,100,6100000,1"	""	""	""	""	""	""	""	""	
"32"	"7"	"240,300"	"2"	"10"	"110405,2,100102,15,100101,150,6100000,1"	""	""	""	""	""	""	""	""	
"33"	"7"	"240,300"	"3"	"30"	"131101,2,100102,20,100101,200,6100000,2"	""	""	""	""	""	""	""	""	
"34"	"7"	"240,300"	"4"	"60"	"100044,2,100102,25,100101,250,6100000,2"	""	""	""	""	""	""	""	""	
"35"	"7"	"240,300"	"5"	"120"	"110406,3,100102,30,100101,300,6100000,3"	""	""	""	""	""	""	""	""	
