"id"	"类型(0=普通,1=vip)"	"暴击概率(10000=100%)"	"暴击倍数"	"等级区间"	"绑金增量"	"银币增量"	"术力增量"	"经验经量"	
"id"	"type"	"crit"	"crit_multiple"	"range"	"gold"	"silver"	"magicpoint"	"exp"	
"int"	"int"	"int"	"int"	"int[2]"	"int"	"int"	"int"	"int"	
"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	
"1"	"0"	"2500"	"3"	"1,10"	"1"	"59879"	"14998"	"24987"	
"2"	"0"	"2500"	"3"	"11,20"	"1"	"59879"	"14998"	"24987"	
"3"	"0"	"2500"	"3"	"21,30"	"1"	"59879"	"14998"	"24987"	
"4"	"0"	"2500"	"3"	"31,40"	"1"	"59879"	"14998"	"24987"	
"5"	"0"	"2500"	"3"	"41,50"	"1"	"59879"	"19998"	"49987"	
"6"	"0"	"2500"	"3"	"51,60"	"1"	"59879"	"29998"	"74987"	
"7"	"0"	"2500"	"3"	"61,70"	"1"	"59879"	"39998"	"100087"	
"8"	"0"	"2500"	"3"	"71,80"	"1"	"59879"	"39998"	"100087"	
"9"	"1"	"1000"	"3"	"1,10"	"1"	"23951"	"5999"	"9994"	
"10"	"1"	"1000"	"3"	"11,20"	"1"	"23951"	"5999"	"9994"	
"11"	"1"	"1000"	"3"	"21,30"	"1"	"23951"	"5999"	"9994"	
"12"	"1"	"1000"	"3"	"31,40"	"1"	"23951"	"5999"	"9994"	
"13"	"1"	"1000"	"3"	"41,50"	"1"	"23951"	"7999"	"19994"	
"14"	"1"	"1000"	"3"	"51,60"	"1"	"23951"	"11999"	"29994"	
"15"	"1"	"1000"	"3"	"61,70"	"1"	"23951"	"15999"	"40034"	
"16"	"1"	"1000"	"3"	"71,80"	"1"	"23951"	"15999"	"40034"	
