"法阵阶数"	"类别（1=法阵）"	"升到下一阶后的法阵ID"	"法阵突破所需材料ID"	"当前阶段法阵突破单次所需材料数量"	"突破单次获得能量"	"暴击率，暴击倍数"	"当前阶段法阵突破所需总能量数量"	"当前阶附加总属性（填总属性值，而非差值）（属性ID，属性值）"	"当前阶当前阶段属性占比（每次升阶段占总属性的百分之多少，填累加值，结果向下取整）（第1个数据是0星属性）"	"是否可喂养"	"是否有技能"	"当前阶闪避技能(索引到MygicType表)"	"开启等级"	"喂养丹ID"	"喂养丹上限"	"单个喂养丹增加属性（一定要每一行都填一样的数据）"	
"id"	"kind"	"nextRankId"	"item_id"	"item_num"	"power_single"	"power_strike"	"power_total"	"attr"	"level_percent"	"isfeed"	"iskill"	"circlebuff"	"openlevel"	"feedid"	"feedmaxnum"	"feed_attr"	
"int"	"int"	"int"	"int"	"int"	"int"	"float[2]"	"int"	"int[]"	"float[]"	"bool"	"bool"	"int"	"int"	"int"	"int"	"int[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1"	"1002"	"110402"	"1"	"100"	"0,2"	"200"	"0,7621,1,381,2,190,8,0,10,0,12,0,14,0,16,0,18,0"	"0.05,0.14,0.28,0.42,0.56,0.7,0.84"	"0"	"0"	"50001001"	"1"	"110403"	"0"	"0,30,1,1,2,1"	
"2"	"1"	"1003"	"110402"	"2"	"100"	"0.5,2"	"300"	"0,25406,1,1270,2,635,8,0,10,0,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"0"	"50001002"	"1"	"110403"	"10"	"0,30,1,1,2,1"	
"3"	"1"	"1004"	"110402"	"3"	"100"	"0.45,2"	"500"	"0,63516,1,3175,2,1587,8,0,10,0,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"0"	"50001003"	"5"	"110403"	"100"	"0,30,1,1,2,1"	
"4"	"1"	"1005"	"110402"	"5"	"100"	"0.4,2"	"700"	"0,127032,1,6351,2,3175,8,1058,10,1058,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001004"	"10"	"110403"	"500"	"0,30,1,1,2,1"	
"5"	"1"	"1006"	"110402"	"7"	"100"	"0.35,2"	"1000"	"0,254064,1,12703,2,6351,8,2117,10,2117,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001005"	"20"	"110403"	"2000"	"0,30,1,1,2,1"	
"6"	"1"	"1007"	"110402"	"10"	"100"	"0.35,2"	"1500"	"0,482721,1,24136,2,12068,8,4022,10,4022,12,0,14,0,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001006"	"30"	"110403"	"4000"	"0,30,1,1,2,1"	
"7"	"1"	"1008"	"110402"	"12"	"100"	"0.3,2"	"2000"	"0,736785,1,36839,2,18419,8,6139,10,6139,12,6139,14,6139,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001007"	"40"	"110403"	"8000"	"0,30,1,1,2,1"	
"8"	"1"	"1009"	"110402"	"15"	"100"	"0.3,2"	"2500"	"0,1168694,1,58434,2,29217,8,9739,10,9739,12,9739,14,9739,16,0,18,0"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001008"	"50"	"110403"	"15000"	"0,30,1,1,2,1"	
"9"	"1"	"1010"	"110402"	"20"	"100"	"0.3,2"	"3000"	"0,1651416,1,82570,2,41285,8,13761,10,13761,12,13761,14,13761,16,13761,18,13761"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001009"	"65"	"110403"	"30000"	"0,30,1,1,2,1"	
"10"	"1"	"-1"	"110402"	"25"	"100"	"0.3,2"	"4000"	"0,2540640,1,127032,2,63516,8,21172,10,21172,12,21172,14,21172,16,21172,18,21172"	"0.005,0.14,0.28,0.42,0.56,0.7,0.84"	"1"	"1"	"50001010"	"80"	"110403"	"50000"	"0,30,1,1,2,1"	
