"奖励道具组编号"	"备忘"	"区域描述"	"奖励描述"	"图片id"	"奖励道具"	"道具数量"	"货币类型0=免费1=绑定元宝2=元宝3=铜币"	"数量"	
"id"	""	"description_title"	"description_reward"	"icon"	"items_id"	"items_num"	"currenct_type"	"currenct_num"	
"int"	""	"string"	"string"	"string[]"	"int[]"	"int[]"	"int"	"int"	
"cs"	""	"csl"	"cl"	"c"	"cs"	"cs"	"cs"	"cs"	
"601"	"60级礼包"	"全民普及"	"免费礼品"	"main_LvGift,gift_01"	"20231010,20231011,807000"	"1,1,1"	"0"	""	
"602"	"60级礼包"	"等级特惠"	"豪华大礼"	"main_LvGift,gift_02"	"100202,100001,110101"	"5,500000,20"	"1"	"30"	
"603"	"60级礼包"	"疯狂抢购"	"绝世好礼"	"main_LvGift,gift_03"	"800071,100004,100001"	"20,500,1000000"	"2"	"100"	
"701"	"70级礼包"	"全民普及"	"免费礼品"	"main_LvGift,gift_01"	"110102,110202,110101"	"2,2,5"	"0"	""	
"702"	"70级礼包"	"等级特惠"	"豪华大礼"	"main_LvGift,gift_02"	"110102,110202,110201"	"2,2,5"	"1"	"50"	
"703"	"70级礼包"	"疯狂抢购"	"绝世好礼"	"main_LvGift,gift_03"	"110102,110202,110201"	"8,8,10"	"2"	"150"	
"801"	"80级礼包"	"全民普及"	"免费礼品"	"main_LvGift,gift_01"	"550070,100044,100076"	"25,2,4"	"0"	""	
"802"	"80级礼包"	"等级特惠"	"豪华大礼"	"main_LvGift,gift_02"	"550070,100044,100076"	"25,3,6"	"1"	"100"	
"803"	"80级礼包"	"疯狂抢购"	"绝世好礼"	"main_LvGift,gift_03"	"550070,100044,100076"	"50,5,8"	"2"	"300"	
"901"	"90级礼包"	"全民普及"	"免费礼品"	"main_LvGift,gift_01"	"110405,110402,110401"	"4,4,8"	"0"	""	
"902"	"90级礼包"	"等级特惠"	"豪华大礼"	"main_LvGift,gift_02"	"110405,110402,110401"	"4,4,8"	"1"	"100"	
"903"	"90级礼包"	"疯狂抢购"	"绝世好礼"	"main_LvGift,gift_03"	"110405,110402,110401"	"15,15,15"	"2"	"300"	
"1001"	"100级礼包"	"全民普及"	"免费礼品"	"main_LvGift,gift_02"	"550050,110406,100036"	"25,5,5"	"0"	""	
"1002"	"100级礼包"	"等级特惠"	"豪华大礼"	"main_LvGift,gift_03"	"550050,110406,100036"	"25,5,5"	"1"	"100"	
"1003"	"100级礼包"	"疯狂抢购"	"绝世好礼"	"main_LvGift,gift_04"	"550050,110406,100036"	"50,15,15"	"2"	"500"	
"1101"	"110级礼包"	"全民普及"	"免费礼品"	"main_LvGift,gift_02"	"550130,700302,700303"	"25,1,1"	"0"	""	
"1102"	"110级礼包"	"等级特惠"	"豪华大礼"	"main_LvGift,gift_03"	"550130,700402,700403"	"25,1,1"	"1"	"300"	
"1103"	"110级礼包"	"疯狂抢购"	"绝世好礼"	"main_LvGift,gift_04"	"550130,700502,700501"	"50,1,1"	"2"	"800"	
"1301"	"130级礼包"	"全民普及"	"免费礼品"	"main_LvGift,gift_02"	"550030,100044,100001"	"50,10,1000000"	"0"	""	
