"索引"	"奖池ID"	"奖池编号"	"奖池内位置"	"奖励道具"	"战士奖励道具"	"弓手奖励道具"	"法师奖励道具"	"是否需要公告"	""	""	""	
"index"	"id"	"reward_pool_num"	"reward_pool_pos"	"reward_item"	"wreward_item"	"sreward_item"	"mreward_item"	"broc"	""	""	""	
"int"	"int"	"int"	"int"	"int[]"	"int[]"	"int[]"	"int[]"	"bool"	""	""	""	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	""	""	""	
"1"	"1"	"1"	"1"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"2"	"1"	"1"	"3"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
"3"	"1"	"1"	"11"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
"4"	"1"	"1"	"15"	""	"282001,1"	"282004,1"	"282007,1"	"0"	""	""	""	
"5"	"1"	"1"	"20"	""	"282038,1"	"282041,1"	"282044,1"	"0"	""	""	""	
"6"	"1"	"1"	"27"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"7"	"1"	"1"	"30"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
"8"	"1"	"1"	"36"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"9"	"1"	"1"	"40"	""	"282038,1"	"282041,1"	"282044,1"	"0"	""	""	""	
"10"	"1"	"1"	"45"	""	"282002,1"	"282005,1"	"282008,1"	"0"	""	""	""	
"11"	"1"	"1"	"50"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
"12"	"1"	"1"	"56"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"13"	"1"	"1"	"61"	""	"282038,1"	"282041,1"	"282044,1"	"0"	""	""	""	
"14"	"1"	"1"	"68"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
"15"	"1"	"1"	"79"	""	"282003,1"	"282006,1"	"282009,1"	"0"	""	""	""	
"16"	"1"	"1"	"82"	""	"282038,1"	"282041,1"	"282044,1"	"0"	""	""	""	
"17"	"1"	"1"	"86"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
"18"	"1"	"1"	"91"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"19"	"1"	"2"	"5"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
"20"	"1"	"2"	"9"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"21"	"1"	"2"	"14"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
"22"	"1"	"2"	"19"	""	"282003,1"	"282006,1"	"282009,1"	"0"	""	""	""	
"23"	"1"	"2"	"22"	""	"282038,1"	"282041,1"	"282044,1"	"0"	""	""	""	
"24"	"1"	"2"	"33"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
"25"	"1"	"2"	"39"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"26"	"1"	"2"	"48"	""	"282038,1"	"282041,1"	"282044,1"	"0"	""	""	""	
"27"	"1"	"2"	"52"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"28"	"1"	"2"	"58"	""	"282001,1"	"282004,1"	"282007,1"	"0"	""	""	""	
"29"	"1"	"2"	"65"	""	"282002,1"	"282005,1"	"282008,1"	"0"	""	""	""	
"30"	"1"	"2"	"70"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"31"	"1"	"2"	"74"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
"32"	"1"	"2"	"80"	""	"282038,1"	"282041,1"	"282044,1"	"0"	""	""	""	
"33"	"1"	"2"	"82"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"34"	"1"	"2"	"88"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
"35"	"1"	"2"	"93"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"36"	"1"	"2"	"98"	""	"282038,1"	"282041,1"	"282044,1"	"0"	""	""	""	
"37"	"1"	"3"	"1"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"38"	"1"	"3"	"6"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
"39"	"1"	"3"	"12"	""	"282037,1"	"282040,1"	"282043,1"	"0"	""	""	""	
"40"	"1"	"3"	"14"	""	"282039,1"	"282042,1"	"282045,1"	"0"	""	""	""	
