"索引"	"鱼分类名称"	"鱼收集数量(最多五种）"	"图鉴属性一级属性（属性ID，属性值）(0级升到1级）（属性不得超过3条）"	
"id"	"monster_name1"	"num"	"attr1"	
"int"	"string"	"int[]"	"int[]"	
"cs"	"cl"	"cs"	"cs"	
"1"	"海之波澜"	"131001,20,131002,20,131003,20,131004,20"	"0,1934,1,96,2,48"	
"2"	"海之无际"	"131010,20,131011,20,131012,20,131013,20"	"0,1934,1,96,2,48"	
"3"	"海之汹涌"	"131015,20,131016,20,131017,20,131018,20,131019,20"	"0,2418,1,120,2,60"	
"4"	"海之沧横"	"131014,20,131015,20,131016,20,131017,20,131018,20"	"0,2418,1,120,2,60"	
"5"	"溪之无声"	"131012,100,131013,100,131014,100,131026,10"	"0,9673,1,483,2,241"	
"6"	"溪之潺涓"	"131005,100,131006,100,131007,100,131025,10"	"0,9673,1,483,2,241"	
"7"	"溪之婉婷"	"131001,100,131002,100,131003,100,131004,100,131027,10"	"0,12091,1,604,2,302"	
"8"	"春之蛰动"	"131008,100,131009,100,131025,10,131027,10,131029,10"	"0,12091,1,604,2,302"	
"9"	"春之生气"	"131010,100,131011,100,131026,10,131028,10,131030,10"	"0,12091,1,604,2,302"	
"10"	"夏之蝉鸣"	"131015,100,131016,100,131017,100,131018,100,131024,20"	"0,14509,1,725,2,362"	
"11"	"夏之活泼"	"131019,20,131020,20,131021,20,131022,20,131023,20"	"0,24182,1,1209,2,604"	
"12"	"秋之叶殇"	"131019,40,131020,40,131021,40,131028,20,131031,20"	"0,48365,1,2418,2,1209"	
"13"	"秋之须臾"	"131022,40,131023,40,131024,40,131029,20,131032,20"	"0,48365,1,2418,2,1209"	
"14"	"冬之暖阳"	"131025,40,131026,40,131027,40,131030,20,131035,20"	"0,48365,1,2418,2,1209"	
"15"	"冬之高漠"	"131028,30,131029,30,131030,30,131033,20,131034,20"	"0,54411,1,2720,2,1360"	
"16"	"传说"	"131036,20,131037,20,131038,20,131039,20,131040,20"	"0,120913,1,6045,2,3022"	
