"准备进阶的技能ID"	"该技能达到多少级可进阶"	"进阶后的技能ID"	"进阶消耗银币数量"	"进阶消耗道具1ID"	"进阶消耗道具1数量"	"进阶消耗道具2ID"	"进阶消耗道具2数量"	"策划说明"	"阶显示该技能的阶数"	"阶显示该技能的阶数-品质框计算用"	"技能类型：手工填写，界面中直接显示此文字"	
"Id"	"needMinLevel"	"advancedId"	"colSilver"	"col_0_id"	"col_0_num"	"col_1_id"	"col_1_num"	"des"	"skill_level"	"skill_level_number"	"skillEffectType"	
"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"string"	"string"	"int"	"string"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"csl"	"csl"	"cs"	"cl"	
"10100000"	"60"	"10101000"	"10000"	"807000"	"1"	""	""	"璇光斩"	"一阶"	"1"	"单体伤害"	
"10100010"	"60"	"10101010"	"10000"	"807000"	"1"	""	""	"五岳连横"	"一阶"	"1"	"小范围伤害"	
"10100020"	"60"	"10101020"	"10000"	"807000"	"1"	""	""	"剑啸风花"	"一阶"	"1"	"小范围伤害"	
"10100030"	"60"	"10101030"	"10000"	"807000"	"1"	""	""	"星河流光"	"一阶"	"1"	"大范围伤害"	
"10100040"	"60"	"10101040"	"10000"	"807000"	"1"	""	""	"妙转乾坤"	"一阶"	"1"	"位移闪避"	
"10101000"	"120"	"10102000"	"50000"	"807010"	"1"	""	""	"璇光斩"	"二阶"	"2"	"单体伤害"	
"10101010"	"120"	"10102010"	"50000"	"807010"	"1"	""	""	"五岳连横"	"二阶"	"2"	"小范围伤害"	
"10101020"	"120"	"10102020"	"50000"	"807010"	"1"	""	""	"剑啸风花"	"二阶"	"2"	"小范围伤害"	
"10101030"	"120"	"10102030"	"50000"	"807010"	"1"	""	""	"星河流光"	"二阶"	"2"	"大范围伤害"	
"10101040"	"120"	"10102040"	"50000"	"807010"	"1"	""	""	"妙转乾坤"	"二阶"	"2"	"位移闪避"	
"10102000"	"180"	"10103000"	"200000"	"807020"	"1"	""	""	"璇光斩"	"三阶"	"3"	"单体伤害"	
"10102010"	"180"	"10103010"	"200000"	"807020"	"1"	""	""	"五岳连横"	"三阶"	"3"	"小范围伤害"	
"10102020"	"180"	"10103020"	"200000"	"807020"	"1"	""	""	"剑啸风花"	"三阶"	"3"	"小范围伤害"	
"10102030"	"180"	"10103030"	"200000"	"807020"	"1"	""	""	"星河流光"	"三阶"	"3"	"大范围伤害"	
"10102040"	"180"	"10103040"	"200000"	"807020"	"1"	""	""	"妙转乾坤"	"三阶"	"3"	"位移闪避"	
"10103000"	""	""	""	""	""	""	""	"璇光斩"	"四阶"	"4"	"单体伤害"	
"10103010"	""	""	""	""	""	""	""	"五岳连横"	"四阶"	"4"	"小范围伤害"	
"10103020"	""	""	""	""	""	""	""	"剑啸风花"	"四阶"	"4"	"小范围伤害"	
"10103030"	""	""	""	""	""	""	""	"星河流光"	"四阶"	"4"	"大范围伤害"	
"10103040"	""	""	""	""	""	""	""	"妙转乾坤"	"四阶"	"4"	"位移闪避"	
"10200000"	"60"	"10201000"	"10000"	"807000"	"1"	""	""	"璇光斩"	"一阶"	"1"	"单体伤害"	
"10200010"	"60"	"10201010"	"10000"	"807000"	"1"	""	""	"五岳连横"	"一阶"	"1"	"小范围伤害"	
"10200020"	"60"	"10201020"	"10000"	"807000"	"1"	""	""	"剑啸风花"	"一阶"	"1"	"小范围伤害"	
"10200030"	"60"	"10201030"	"10000"	"807000"	"1"	""	""	"星河流光"	"一阶"	"1"	"大范围伤害"	
"10200040"	"60"	"10201040"	"10000"	"807000"	"1"	""	""	"妙转乾坤"	"一阶"	"1"	"位移闪避"	
"10201000"	"120"	"10202000"	"50000"	"807010"	"1"	""	""	"璇光斩"	"二阶"	"2"	"单体伤害"	
"10201010"	"120"	"10202010"	"50000"	"807010"	"1"	""	""	"五岳连横"	"二阶"	"2"	"小范围伤害"	
"10201020"	"120"	"10202020"	"50000"	"807010"	"1"	""	""	"剑啸风花"	"二阶"	"2"	"小范围伤害"	
"10201030"	"120"	"10202030"	"50000"	"807010"	"1"	""	""	"星河流光"	"二阶"	"2"	"大范围伤害"	
