"背旗等级"	"类型（1=普通背旗,2=待定）"	"背旗升级所需材料ID"	"当前级背旗升级单次所需材料级量"	"当前级背旗升级所需总材料级量"	"当前级背旗附加属性（填总属性值，而非差值）（属性ID，属性值）"	"当前阶当前级属性占比（每次升阶段占总属性的百分之多少，填累加值，结果向下取整）（第1个数据是0星属性）"	
"id"	"kind"	"item_id"	"item_num"	"item_num_total"	"attr"	"level_percent"	
"int"	"int"	"int"	"int"	"int"	"int[]"	"float[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1"	"110301"	"2"	"4"	"0,3176,1,159,2,79,8,16,10,16,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"2"	"1"	"110301"	"2"	"4"	"0,6352,1,318,2,159,8,32,10,32,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"3"	"1"	"110301"	"2"	"4"	"0,9527,1,476,2,238,8,48,10,48,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"4"	"1"	"110301"	"2"	"4"	"0,12703,1,635,2,318,8,64,10,64,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"5"	"1"	"110301"	"2"	"4"	"0,15879,1,794,2,397,8,79,10,79,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"6"	"1"	"110301"	"2"	"4"	"0,19055,1,953,2,476,8,95,10,95,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"7"	"1"	"110301"	"2"	"4"	"0,22231,1,1112,2,556,8,111,10,111,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"8"	"1"	"110301"	"2"	"4"	"0,25406,1,1270,2,635,8,127,10,127,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"9"	"1"	"110301"	"2"	"4"	"0,28582,1,1429,2,715,8,143,10,143,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
"10"	"1"	"110301"	"2"	"4"	"0,31758,1,1588,2,794,8,159,10,159,18,0,16,0"	"0.4,0.5,0.6,0.7,0.8,0.9,1"	
