"层数"	"奖励物品"	"消耗物品"	"挑战时间（秒）"	"显示在列表中文本"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"id"	"reward_items"	"cost_items"	"time_limit"	"display_inlist"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"int[]"	"int[]"	"int"	"int"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cs"	"cs"	"cs"	"cs"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10"	"410158,1"	"400259,1"	"30"	"43113"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"13"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"14"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"15"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"16"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"17"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"18"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"19"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20"	"410159,1"	"400259,1"	"30"	"43114"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"22"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"23"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"24"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"25"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"27"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"28"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"29"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"30"	"410158,1"	"400259,1"	"30"	"43115"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"31"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"32"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"33"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"34"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"35"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"36"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"37"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"38"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"39"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"40"	"410158,1"	"400259,1"	"30"	"43116"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"41"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"42"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"43"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"44"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"45"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"46"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"47"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"48"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"49"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"50"	"410158,1"	"400259,1"	"30"	"43117"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"51"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"52"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"53"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"54"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"55"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"56"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"57"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"58"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"59"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"60"	"410158,1"	"400259,1"	"30"	"43118"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"61"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"62"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"63"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"64"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"65"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"66"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"67"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"68"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"69"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"70"	"410158,1"	"400259,1"	"30"	"43119"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"71"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"72"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"73"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"74"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"75"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"76"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"77"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"78"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"79"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"80"	"410158,1"	"400259,1"	"30"	"43120"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"81"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"82"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"83"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"84"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"85"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"86"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"87"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"88"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"89"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"90"	"410158,1"	"400259,1"	"30"	"43121"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"91"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"92"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"93"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"94"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"95"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"96"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"97"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"98"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"99"	"400014,1"	""	"30"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100"	"410158,1"	"400259,1"	"30"	"43122"	""	""	""	""	""	""	""	""	""	""	""	""	""	
