"索引ID"	"属性类型,1=角色属性2=触发效果"	"属性ID或效果ID(指向CombatTriggerConfig)"	"描述"	"初始属性值"	"属性取值方式0=基值1=基值%"	"效果0修正参数0=几率1=nparam12=nparam23=fparam14=fparam2"	"效果1修正参数0=几率1=nparam12=nparam23=fparam14=fparam2"	"属性或效果描述中的数值显示方式：0=百分比显示1=向上取整显示2=小数显示"	"激活后属性或效果显示Tips描述"	"1-50级属性或效果修正"	"激活前属性或效果显示Tips描述"	
"id"	"effectType"	"effectId"	"name"	"effectValue"	"effectValueType"	"effectRevise0"	"effectRevise1"	"isRound"	"descTips"	"itemLevel_1"	"descTips2"	
"int"	"int"	"int[]"	"string"	"float"	"int"	"int"	"int[]"	"int"	"string"	"float[6]"	"string"	
"cs"	"cs"	"cs"	"csl"	"cs"	"cs"	"cs"	"c"	"c"	"csl"	"cs"	"cl"	
"1"	"1"	"8,9"	"物理攻击和魔法攻击"	"400.000000"	"0"	""	""	"1"	"提升自身的[green]物理攻击[-]和[green]魔法攻击[-]提高[green]{0}[-]点"	"160,240,320,320,320,320"	"提升自身的物理攻击和魔法攻击提高{0}点"	
"2"	"1"	"2"	"体质"	"100.000000"	"0"	""	""	"1"	"提升自身[green]体质[-]提高[green]{0}[-]点"	"40,60,80,80,80,80"	"提升自身体质提高{0}点"	
"3"	"1"	"29"	"全元素抗性"	"100.000000"	"0"	""	""	"1"	"提升自身的[green]全元素抗性[-]提高[green]{0}[-]点"	"40,60,80,80,80,80"	"提升自身的全元素抗性提高{0}点"	
"4"	"1"	"10,11"	"物理防御和魔法防御"	"100.000000"	"0"	""	""	"1"	"提升自身的[green]物理防御[-]和[green]魔法防御[-]提高[green]{0}[-]点"	"40,60,80,80,80,80"	"提升自身的物理防御和魔法防御提高{0}点"	
"5"	"1"	"22"	"格挡值"	"200.000000"	"0"	""	""	"1"	"提升自身的[green]格挡值[-]提高[green]{0}[-]点"	"50,75,100,100,100,100"	"提升自身的格挡值提高{0}点"	
"6"	"1"	"0,1"	"力量和智力"	"80.000000"	"0"	""	""	"1"	"提升自身的[green]力量[-]和[green]智力[-]提高[green]{0}[-]点"	"30,45,60,60,60,60"	"提升自身的力量和智力提高{0}点"	
"7"	"1"	"16"	"暴击值"	"200.000000"	"0"	""	""	"1"	"提升自身的[green]暴击值[-]提高[green]{0}[-]点"	"50,75,100,100,100,100"	"提升自身的暴击值提高{0}点"	
"8"	"1"	"14"	"闪避值"	"200.000000"	"0"	""	""	"1"	"提升自身的[green]闪避值[-]提高[green]{0}[-]点"	"50,75,100,100,100,100"	"提升自身的闪避值提高{0}点"	
"9"	"2"	"85000"	"击中时有15%几率忽视敌人20%的物防和魔防"	"0.200000"	"1"	"3"	"0"	"0"	"击中时有[green]{1}[-]几率忽视敌人[green]{0}[-]的物理魔法防御"	""	"击中时有{1}几率忽视敌人{0}的物理魔法防御"	
"10"	"1"	"2"	"体质+25%"	"0.250000"	"1"	""	""	"0"	"龙斗士的[green]体质[-]提高[green]{0}[-]"	""	"龙斗士的体质提高{0}"	
"11"	"1"	"30,31,32,33"	"全元素伤害+500"	"500.000000"	"0"	""	""	"1"	"龙斗士的[green]全元素伤害[-]提高[green]{0}[-]点"	""	"龙斗士的全元素伤害提高{0}点"	
"12"	"2"	"85080"	"生命值低于20%时，受到所有伤害降低15%"	"0.150000"	"1"	"3"	""	"0"	"龙斗士生命低于[green]20%[-]时，你受到的所有伤害降低[green]{0}[-]"	""	"龙斗士生命低于20%时，你受到的所有伤害降低{0}"	
"13"	"2"	"85020"	"受到伤害时有15%几率触发，使你在格挡时会反弹20%的伤害，持续5秒（内置CD15s）"	""	""	"-1"	""	"0"	"受伤时[green]15%[-]几率格挡时反弹[green]20%[-]伤害，持续[green]5[-]秒"	""	"受伤时15%几率格挡时反弹20%伤害，持续5秒"	
"14"	"1"	"62"	"生命偷取+3%"	"0.030000"	"0"	""	""	"0"	"[green]生命偷取比例[-]提高[green]{0}[-]"	""	"生命偷取比例提高{0}"	
"15"	"2"	"85060"	"暴击时会使敌人中毒，在10秒内受到50%的毒素伤害"	""	""	"-1"	""	"0"	"暴击时会使敌人在[green]10[-]秒内受到[green]50%[-]的毒素伤害"	""	"暴击时会使敌人在10秒内受到50%的毒素伤害"	
"16"	"2"	"85100"	"闪避敌人攻击时，有20%几率使你的暴击伤害率增加100%，持续3秒（内置CD15s）"	""	""	"2"	"0"	"0"	"闪避攻击时，[green]{1}[-]几率提高暴伤率[green]{0}[-]，持续[green]3[-]秒"	""	"闪避攻击时，{1}几率提高暴伤率{0}，持续3秒"	
"17"	"2"	"85001"	"击中时有15%几率忽视敌人30%的物防和魔防"	"0.300000"	"1"	"3"	"0"	"0"	"击中时有[green]{1}[-]几率忽视敌人[green]{0}[-]的物理魔法防御"	""	"击中时有{1}几率忽视敌人{0}的物理魔法防御"	
"18"	"1"	"2"	"体质+30%"	"0.300000"	"1"	""	""	"0"	"龙斗士的[green]体质[-]提高[green]{0}[-]"	""	"龙斗士的体质提高{0}"	
