"ID"	"需求等级"	"副本ID"	"刷怪次数"	"可能得到的物品"	"经验奖励"	"金钱奖励"	"重置花费金币"	"金币重置次数"	"重置花费物品"	"重置花费物品个数"	"奖励物品ID"	"奖励物品数量(每一层奖励数量，元素个数与wave_num相同)"	"补领次数"	"普通补领比例"	"金币补领比例"	"金币补领单次消耗物品ID和数量"	
"id"	"require_lv"	"dungeon_id"	"wave_num"	"items"	"exp"	"gold"	"reset_gold"	"reset_cnt"	"reset_item"	"reset_item_num"	"reward_item_id"	"reward_item_num"	"reward_again_cnt"	"reward_again_common_rate"	"reward_again_gold_rate"	"reward_again_gold_spend"	
"int"	"int"	"int"	"int"	"int[]"	"int[]"	"int[]"	"int"	"int"	"int[]"	"int[]"	"int"	"int[]"	"int"	"float"	"float"	"int[2]"	
"cs"	"cs"	"cs"	"cs"	"c"	"c"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"15"	"2025"	"10"	"1100001,1101001,1102001,1103001"	"103000,114000,125000,136000,147000,158000,169000,180000,191000,202000"	"12900,13500,14000,14500,15100,15600,16200,16800,17400,18000"	"200"	"1"	"420001,420002"	"1,1"	"100002"	"10000,10000,10000,10000,50000,10000,10000,10000,10000,50000"	"1"	"0.6"	"1"	"100003,20"	
"2"	"20"	"2026"	"15"	"1100001,1101001,1102001,1103001"	"103000,114000,125000,136000,147000,158000,169000,180000,191000,202000"	"12900,13500,14000,14500,15100,15600,16200,16800,17400,18000"	"200"	"1"	"420001,420002"	"1,1"	"100002"	"20000,20000,20000,20000,60000,20000,20000,20000,20000,60000,20000,20000,20000,20000,60000"	"1"	"0.6"	"1"	"100003,20"	
"3"	"30"	"2004"	"25"	"1100001,1101001,1102001,1103001"	"103000,114000,125000,136000,147000,158000,169000,180000,191000,202000"	"12900,13500,14000,14500,15100,15600,16200,16800,17400,18000"	"200"	"1"	"420001,420002"	"1,1"	"100002"	"45000,45000,45000,45000,180000,45000,45000,45000,45000,180000,45000,45000,45000,45000,180000,45000,45000,45000,45000,180000,45000,45000,45000,45000,180000"	"1"	"0.6"	"1"	"100003,20"	
"4"	"40"	"2008"	"25"	"1100002,1101002,1102002,1103002"	"291000,311000,330000,350000,369000,388000,408000,427000,447000,466000"	"18600,19300,19900,20600,21300,21900,22600,23400,24100,24800"	"200"	"1"	"420001,420002"	"1,1"	"100002"	"100000,100000,100000,100000,440000,100000,100000,100000,100000,440000,100000,100000,100000,100000,440000,100000,100000,100000,100000,440000,100000,100000,100000,100000,440000"	"1"	"0.6"	"1"	"100003,20"	
"5"	"50"	"2009"	"25"	"1100003,1101003,1102003,1103003"	"513000,553000,592000,632000,671000,711000,750000,789000,829000,868000"	"25500,26300,27100,27900,28600,29400,30300,31100,31900,32800"	"200"	"1"	"420001,420002"	"1,1"	"100002"	"200000,200000,200000,200000,800000,200000,200000,200000,200000,800000,200000,200000,200000,200000,800000,200000,200000,200000,200000,800000,200000,200000,200000,200000,800000"	"1"	"0.6"	"1"	"100003,20"	
"6"	"60"	"2024"	"25"	"1100003,1101003,1102003,1103003"	"513000,553000,592000,632000,671000,711000,750000,789000,829000,868000"	"25500,26300,27100,27900,28600,29400,30300,31100,31900,32800"	"200"	"1"	"420001,420002"	"1,1"	"100002"	"320000,320000,320000,320000,1520000,320000,320000,320000,320000,1520000,320000,320000,320000,320000,1520000,320000,320000,320000,320000,1520000,320000,320000,320000,320000,1520000"	"1"	"0.6"	"1"	"100003,20"	
"7"	"70"	"2027"	"25"	"1100003,1101003,1102003,1103003"	"513000,553000,592000,632000,671000,711000,750000,789000,829000,868000"	"25500,26300,27100,27900,28600,29400,30300,31100,31900,32800"	"200"	"1"	"420001,420002"	"1,1"	"100002"	"2500000,2500000,2500000,2500000,10000000,2500000,2500000,2500000,2500000,10000000,2500000,2500000,2500000,2500000,10000000,2500000,2500000,2500000,2500000,10000000,2500000,2500000,2500000,2500000,10000000"	"1"	"0.6"	"1"	"100003,20"	
