"侍从ID"	"好感度增长方式1=自动增长2=填入增长（道具ID，数量）"	"好感度等级（职责等级）"	"好感度升级所需出战时长(总分钟)"	"侍从碎片ID"	"激活类型1=等级激活（等级）2=道具激活（道具ID，数量）3=VIP激活（VIP等级）"	"排序权重"	"侍从升星所需碎片数量(第一个数据为1升2所需碎片数)"	"1星侍从附加属性（填总属性值，而非差值）（属性ID，属性值）"	"2星侍从附加属性（填总属性值，而非差值）（属性ID，属性值）"	"3星侍从附加属性（填总属性值，而非差值）（属性ID，属性值）"	"4星侍从附加属性（填总属性值，而非差值）（属性ID，属性值）"	"5星侍从附加属性（填总属性值，而非差值）（属性ID，属性值）"	
"id"	"sense_way"	"sense_level"	"fight_time"	"companion_pieces"	"activation_type"	"order_weight"	"pieces_num"	"attr_star1"	"attr_star2"	"attr_star3"	"attr_star4"	"attr_star5"	
"int"	"int[3]"	"int[]"	"int[]"	"int"	"int[3]"	"float"	"int[4]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"104001"	"1,0,0"	"2,3"	"120,1200"	"800011"	"2,800011,30"	"40010.000000"	"40,60,80,100"	"0,9308,1,910,2,218,8,282,10,176,12,197,14,148,16,169,18,197"	"0,93086,1,9103,2,2187,8,2822,10,1764,12,1976,14,1482,16,1693,18,1976"	"0,200135,1,19573,2,4703,8,6069,10,3793,12,4248,14,3186,16,3641,18,4248"	"0,325801,1,31863,2,7657,8,9880,10,6175,12,6916,14,5187,16,5928,18,6916"	"0,465431,1,45519,2,10938,8,14114,10,8821,12,9880,14,7410,16,8468,18,9880"	
"104002"	"1,0,0"	"2,3"	"120,1200"	"800021"	"2,800021,30"	"40020.000000"	"40,60,80,100"	"0,7967,1,1023,2,176,8,197,10,169,12,232,14,169,16,197,18,169"	"0,79677,1,10233,2,1764,8,1976,10,1693,12,2328,14,1693,16,1976,18,1693"	"0,171306,1,22001,2,3793,8,4248,10,3641,12,5007,14,3641,16,4248,18,3641"	"0,278870,1,35815,2,6175,8,6916,10,5928,12,8151,14,5928,16,6916,18,5928"	"0,398386,1,51165,2,8821,8,9880,10,8468,12,11644,14,8468,16,9880,18,8468"	
"103003"	"1,0,0"	"2,3"	"120,1200"	"800031"	"2,800031,30"	"30030.000000"	"40,60,80,100"	"0,6979,1,698,2,162,8,162,10,162,12,162,14,119,16,119,18,119"	"0,69797,1,6986,2,1623,8,1623,10,1623,12,1623,14,1199,16,1199,18,1199"	"0,150063,1,15021,2,3489,8,3489,10,3489,12,3489,14,2579,16,2579,18,2579"	"0,244289,1,24453,2,5681,8,5681,10,5681,12,5681,14,4199,16,4199,18,4199"	"0,348985,1,34933,2,8115,8,8115,10,8115,12,8115,14,5998,16,5998,18,5998"	
"103004"	"1,0,0"	"2,3"	"120,1200"	"800041"	"2,800041,30"	"30040.000000"	"40,60,80,100"	"0,7466,1,677,2,190,8,127,10,112,12,105,14,127,16,169,18,162"	"0,74666,1,6775,2,1905,8,1270,10,1129,12,1058,14,1270,16,1693,18,1623"	"0,160533,1,14566,2,4096,8,2731,10,2427,12,2275,14,2731,16,3641,18,3489"	"0,261333,1,23712,2,6669,8,4446,10,3952,12,3705,14,4446,16,5928,18,5681"	"0,373332,1,33875,2,9527,8,6351,10,5645,12,5293,14,6351,16,8468,18,8115"	
"104005"	"1,0,0"	"2,3"	"120,1200"	"800051"	"2,800051,30"	"40050"	"40,60,80,100"	"0,10303,1,875,2,296,8,162,10,105,12,176,14,232,16,225,18,211"	"0,103037,1,8751,2,2964,8,1623,10,1058,12,1764,14,2328,16,2258,18,2117"	"0,221529,1,18814,2,6372,8,3489,10,2275,12,3793,14,5007,16,4855,18,4551"	"0,360629,1,30628,2,10374,8,5681,10,3705,12,6175,14,8151,16,7904,18,7410"	"0,515185,1,43755,2,14820,8,8115,10,5293,12,8821,14,11644,16,11291,18,10586"	
"103006"	"1,0,0"	"2,3"	"120,1200"	"800061"	"2,800061,30"	"30060.000000"	"40,60,80,100"	"0,6492,1,733,2,155,8,127,10,134,12,218,14,105,16,119,18,105"	"0,64927,1,7339,2,1552,8,1270,10,1340,12,2187,14,1058,16,1199,18,1058"	"0,139594,1,15780,2,3338,8,2731,10,2882,12,4703,14,2275,16,2579,18,2275"	"0,227246,1,25688,2,5434,8,4446,10,4693,12,7657,14,3705,16,4199,18,3705"	"0,324637,1,36698,2,7763,8,6351,10,6704,12,10938,14,5293,16,5998,18,5293"	
"103007"	"1,0,0"	"2,3"	"120,1200"	"800071"	"2,800071,30"	"30070.000000"	"40,60,80,100"	"0,7572,1,1009,2,183,8,254,10,105,12,254,14,98,16,183,18,91"	"0,75725,1,10091,2,1834,8,2540,10,1058,12,2540,14,988,16,1834,18,917"	"0,162809,1,21697,2,3945,8,5462,10,2275,12,5462,14,2124,16,3945,18,1972"	"0,265038,1,35321,2,6422,8,8892,10,3705,12,8892,14,3458,16,6422,18,3211"	"0,378625,1,50459,2,9174,8,12703,10,5293,12,12703,14,4940,16,9174,18,4587"	
"103008"	"1,0,0"	"2,3"	"120,1200"	"800081"	"2,800081,30"	"30080.000000"	"40,60,80,100"	"0,6422,1,733,2,169,8,148,10,148,12,204,14,105,16,105,18,84"	"0,64221,1,7339,2,1693,8,1482,10,1482,12,2046,14,1058,16,1058,18,846"	"0,138076,1,15780,2,3641,8,3186,10,3186,12,4400,14,2275,16,2275,18,1820"	"0,224776,1,25688,2,5928,8,5187,10,5187,12,7163,14,3705,16,3705,18,2964"	"0,321108,1,36698,2,8468,8,7410,10,7410,12,10233,14,5293,16,5293,18,4234"	
"102009"	"1,0,0"	"2,3"	"120,1200"	"800091"	"2,800091,30"	"20090"	"40,60,80,100"	"0,5949,1,479,2,119,8,63,10,63,12,105,14,91,16,141,18,141"	"0,59493,1,4798,2,1199,8,635,10,635,12,1058,14,917,16,1411,18,1411"	"0,127910,1,10317,2,2579,8,1365,10,1365,12,2275,14,1972,16,3034,18,3034"	"0,208226,1,16796,2,4199,8,2223,10,2223,12,3705,14,3211,16,4940,18,4940"	"0,297466,1,23994,2,5998,8,3175,10,3175,12,5293,14,4587,16,7057,18,7057"	
"102010"	"1,0,0"	"2,3"	"120,1200"	"800101"	"2,800101,30"	"20100.000000"	"40,60,80,100"	"0,4636,1,515,2,119,8,105,10,91,12,134,14,84,16,127,18,63"	"0,46366,1,5151,2,1199,8,1058,10,917,12,1340,14,846,16,1270,18,635"	"0,99688,1,11076,2,2579,8,2275,10,1972,12,2882,14,1820,16,2731,18,1365"	"0,162283,1,18031,2,4199,8,3705,10,3211,12,4693,14,2964,16,4446,18,2223"	"0,231833,1,25759,2,5998,8,5293,10,4587,12,6704,14,4234,16,6351,18,3175"	
"102011"	"1,0,0"	"2,3"	"120,1200"	"800111"	"2,800111,30"	"20110.000000"	"40,60,80,100"	"0,4876,1,494,2,141,8,98,10,105,12,91,14,105,16,63,18,134"	"0,48766,1,4940,2,1411,8,988,10,1058,12,917,14,1058,16,635,18,1340"	"0,104847,1,10621,2,3034,8,2124,10,2275,12,1972,14,2275,16,1365,18,2882"	"0,170681,1,17290,2,4940,8,3458,10,3705,12,3211,14,3705,16,2223,18,4693"	"0,243830,1,24700,2,7057,8,4940,10,5293,12,4587,14,5293,16,3175,18,6704"	
"102012"	"1,0,0"	"2,3"	"120,1200"	"800121"	"2,800121,30"	"20120"	"40,60,80,100"	"0,5307,1,494,2,134,8,98,10,98,12,77,14,98,16,112,18,112"	"0,53071,1,4940,2,1340,8,988,10,988,12,776,14,988,16,1129,18,1129"	"0,114102,1,10621,2,2882,8,2124,10,2124,12,1669,14,2124,16,2427,18,2427"	"0,185749,1,17290,2,4693,8,3458,10,3458,12,2717,14,3458,16,3952,18,3952"	"0,265355,1,24700,2,6704,8,4940,10,4940,12,3881,14,4940,16,5645,18,5645"	
"102013"	"1,0,0"	"2,3"	"120,1200"	"800131"	"2,800131,30"	"20130.000000"	"40,60,80,100"	"0,5187,1,508,2,127,8,98,10,91,12,91,14,98,16,105,18,98"	"0,51871,1,5081,2,1270,8,988,10,917,12,917,14,988,16,1058,18,988"	"0,111523,1,10924,2,2731,8,2124,10,1972,12,1972,14,2124,16,2275,18,2124"	"0,181549,1,17784,2,4446,8,3458,10,3211,12,3211,14,3458,16,3705,18,3458"	"0,259357,1,25406,2,6351,8,4940,10,4587,12,4587,14,4940,16,5293,18,4940"	
"102014"	"1,0,0"	"2,3"	"120,1200"	"800141"	"2,800141,30"	"20140.000000"	"40,60,80,100"	"0,4707,1,472,2,105,8,134,10,162,12,105,14,141,16,77,18,84"	"0,47072,1,4728,2,1058,8,1340,10,1623,12,1058,14,1411,16,776,18,846"	"0,101205,1,10166,2,2275,8,2882,10,3489,12,2275,14,3034,16,1669,18,1820"	"0,164753,1,16549,2,3705,8,4693,10,5681,12,3705,14,4940,16,2717,18,2964"	"0,235362,1,23642,2,5293,8,6704,10,8115,12,5293,14,7057,16,3881,18,4234"	
"101017"	"1,0,0"	"2,3"	"120,1200"	"800171"	"2,800171,30"	"10170.000000"	"40,60,80,100"	"0,3803,1,374,2,77,8,84,10,84,12,56,14,77,16,70,18,49"	"0,38039,1,3740,2,776,8,846,10,846,12,564,14,776,16,705,18,494"	"0,81783,1,8041,2,1669,8,1820,10,1820,12,1213,14,1669,16,1517,18,1062"	"0,133136,1,13091,2,2717,8,2964,10,2964,12,1976,14,2717,16,2470,18,1729"	"0,190195,1,18701,2,3881,8,4234,10,4234,12,2822,14,3881,16,3528,18,2470"	
"101019"	"1,0,0"	"2,3"	"120,1200"	"800191"	"2,800191,30"	"10190.000000"	"40,60,80,100"	"0,4149,1,366,2,112,8,63,10,56,12,56,14,70,16,70,18,70"	"0,41497,1,3669,2,1129,8,635,10,564,12,564,14,705,16,705,18,705"	"0,89218,1,7890,2,2427,8,1365,10,1213,12,1213,14,1517,16,1517,18,1517"	"0,145239,1,12844,2,3952,8,2223,10,1976,12,1976,14,2470,16,2470,18,2470"	"0,207485,1,18349,2,5645,8,3175,10,2822,12,2822,14,3528,16,3528,18,3528"	
"101021"	"1,0,0"	"2,3"	"120,1200"	"800211"	"2,800211,30"	"10210.000000"	"40,60,80,100"	"0,3860,1,381,2,91,8,70,10,70,12,56,14,70,16,63,18,63"	"0,38603,1,3810,2,917,8,705,10,705,12,564,14,705,16,635,18,635"	"0,82997,1,8193,2,1972,8,1517,10,1517,12,1213,14,1517,16,1365,18,1365"	"0,135112,1,13338,2,3211,8,2470,10,2470,12,1976,14,2470,16,2223,18,2223"	"0,193018,1,19054,2,4587,8,3528,10,3528,12,2822,14,3528,16,3175,18,3175"	
"103023"	"1,0,0"	"2,3"	"120,1200"	"800231"	"2,800231,30"	"30230.000000"	"40,60,80,100"	"0,7918,1,663,2,190,8,112,10,119,12,134,14,127,16,162,18,134"	"0,79183,1,6633,2,1905,8,1129,10,1199,12,1340,14,1270,16,1623,18,1340"	"0,170244,1,14262,2,4096,8,2427,10,2579,12,2882,14,2731,16,3489,18,2882"	"0,277141,1,23218,2,6669,8,3952,10,4199,12,4693,14,4446,16,5681,18,4693"	"0,395916,1,33169,2,9527,8,5645,10,5998,12,6704,14,6351,16,8115,18,6704"	
"104024"	"1,0,0"	"2,3"	"120,1200"	"800241"	"2,800241,30"	"40240"	"40,60,80,100"	"0,8913,1,959,2,204,8,232,10,247,12,310,14,141,16,127,18,91"	"0,89134,1,9597,2,2046,8,2328,10,2470,12,3105,14,1411,16,1270,18,917"	"0,191638,1,20635,2,4400,8,5007,10,5310,12,6676,14,3034,16,2731,18,1972"	"0,311969,1,33592,2,7163,8,8151,10,8645,12,10868,14,4940,16,4446,18,3211"	"0,445670,1,47989,2,10233,8,11644,10,12350,12,15526,14,7057,16,6351,18,4587"	
