"ID"	"说明，策划注释用，不读"	"属性ID"	"附加属性品质等级"	"选中这条附加属性的概率"	"区间1概率"	"区间1取值"	"区间2概率"	"区间2取值"	"区间3概率"	"区间3取值"	"区间4概率"	"区间4取值"	"区间5概率"	"区间5取值"	"区间6概率"	"区间6取值"	"区间7概率"	"区间7取值"	"区间8概率"	"区间8取值"	"区间9概率"	"区间9取值"	"区间10概率"	"区间10取值"	
"id"	""	"effectAttr"	"effectLevel"	"effectChance"	"effectValChance_1"	"effectVal_1"	"effectValChance_2"	"effectVal_2"	"effectValChance_3"	"effectVal_3"	"effectValChance_4"	"effectVal_4"	"effectValChance_5"	"effectVal_5"	"effectValChance_6"	"effectVal_6"	"effectValChance_7"	"effectVal_7"	"effectValChance_8"	"effectVal_8"	"effectValChance_9"	"effectVal_9"	"effectValChance_10"	"effectVal_10"	
"int"	""	"int"	"int"	"float"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	
"cs"	""	"cs"	"sc"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	
"1"	"攻击"	"1"	"1"	""	"10000"	"100,100"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	
"2"	"防御"	"2"	"1"	""	"5000"	"100,100"	"5000"	"200,250"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	
"3"	"生命"	"0"	"1"	""	"5000"	"100,100"	"5000"	"200,250"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	
"4"	"命中"	"8"	"1"	""	"3000"	"100,100"	"3000"	"200,250"	"4000"	"300,400"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	
"5"	"闪避"	"9"	"1"	""	"5000"	"100,100"	"5000"	"200,250"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	
"6"	"穿透"	"10"	"1"	""	"5000"	"100,100"	"5000"	"200,250"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	
"7"	"攻击"	"1"	"2"	""	"10000"	"100,100"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	
"8"	"防御"	"2"	"2"	""	"5000"	"100,100"	"5000"	"200,250"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	
"9"	"生命"	"0"	"2"	""	"5000"	"100,100"	"5000"	"200,250"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	
"10"	"命中"	"8"	"2"	""	"3000"	"100,100"	"3000"	"200,250"	"4000"	"300,400"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	
"11"	"闪避"	"9"	"2"	""	"5000"	"100,100"	"5000"	"200,250"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	
"12"	"穿透"	"10"	"2"	""	"5000"	"100,100"	"5000"	"200,250"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	
