"ID"	"场景ID"	"可能得到的物品"	"首次奖励"	"首次奖励数量"	"基础奖励"	"基础奖励数量"	"怪物名称（可能显示多个）"	"特征技能（可能显示多个）"	"攻略"	
"id"	"scene"	"items"	"reward_first"	"num_first"	"reward_basics"	"num_basics"	"monster_name"	"skill"	"guide"	
"int"	"int"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int"	
"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"c"	
"1"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42011"	"70000100"	"4009"	
"2"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42021"	"70000200"	"4010"	
"3"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42031"	"70000300"	"4011"	
"4"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42041"	"70000400"	"4012"	
"5"	"4003"	"800271,100102,100101"	"800271,100004,100001"	"10,20,10000"	"100102,100101,100001"	"1,10,1000"	"42051"	"70000100"	"4009"	
"6"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42061"	"70000200"	"4010"	
"7"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42071"	"70000300"	"4011"	
"8"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42081"	"70000400"	"4012"	
"9"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42091"	"70000100"	"4009"	
"10"	"4003"	"800271,100102,100101"	"800271,100004,100001"	"10,20,10000"	"100102,100101,100001"	"1,10,1000"	"42101"	"70000200"	"4010"	
"11"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42111"	"70000300"	"4011"	
"12"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42121"	"70000400"	"4012"	
"13"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42131"	"70000100"	"4009"	
"14"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42141"	"70000200"	"4010"	
"15"	"4003"	"800271,100102,100101"	"800271,100004,100001"	"10,20,10000"	"100102,100101,100001"	"1,10,1000"	"42151"	"70000300"	"4011"	
"16"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42161"	"70000400"	"4012"	
"17"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42171"	"70000100"	"4009"	
"18"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42181"	"70000200"	"4010"	
"19"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42191"	"70000300"	"4011"	
"20"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"10,20,1"	"100102,100101,100001"	"1,10,1000"	"42201"	"70000400"	"4012"	
"21"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42211"	"70000100"	"4009"	
"22"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42221"	"70000200"	"4010"	
"23"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42231"	"70000300"	"4011"	
"24"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42241"	"70000400"	"4012"	
"25"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"10,20,1"	"100102,100101,100001"	"1,10,1000"	"42251"	"70000100"	"4009"	
"26"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42261"	"70000200"	"4010"	
"27"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42271"	"70000300"	"4011"	
"28"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42281"	"70000400"	"4012"	
"29"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42291"	"70000100"	"4009"	
"30"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"10,25,1"	"100102,100101,100001"	"1,10,1000"	"42301"	"70000200"	"4010"	
"31"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42311"	"70000300"	"4011"	
"32"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42321"	"70000400"	"4012"	
"33"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42331"	"70000100"	"4009"	
"34"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42341"	"70000200"	"4010"	
"35"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"10,25,1"	"100102,100101,100001"	"1,10,1000"	"42351"	"70000300"	"4011"	
"36"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42361"	"70000400"	"4012"	
"37"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42371"	"70000100"	"4009"	
"38"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42381"	"70000200"	"4010"	
"39"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42391"	"70000300"	"4011"	
"40"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"15,30,2"	"100102,100101,100001"	"1,10,1000"	"42401"	"70000400"	"4012"	
"41"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42411"	"70000100"	"4009"	
"42"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42421"	"70000200"	"4010"	
"43"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42431"	"70000300"	"4011"	
"44"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42441"	"70000400"	"4012"	
"45"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"15,30,2"	"100102,100101,100001"	"1,10,1000"	"42451"	"70000100"	"4009"	
"46"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42461"	"70000200"	"4010"	
"47"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42471"	"70000300"	"4011"	
"48"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42481"	"70000400"	"4012"	
"49"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42491"	"70000100"	"4009"	
"50"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"15,40,2"	"100102,100101,100001"	"1,10,1000"	"42501"	"70000200"	"4010"	
"51"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42511"	"70000300"	"4011"	
"52"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42521"	"70000400"	"4012"	
"53"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42531"	"70000100"	"4009"	
"54"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42541"	"70000200"	"4010"	
"55"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"15,40,2"	"100102,100101,100001"	"1,10,1000"	"42551"	"70000300"	"4011"	
"56"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42561"	"70000400"	"4012"	
"57"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42571"	"70000100"	"4009"	
"58"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42581"	"70000200"	"4010"	
"59"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42591"	"70000300"	"4011"	
"60"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"20,45,3"	"100102,100101,100001"	"1,10,1000"	"42601"	"70000400"	"4012"	
"61"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42611"	"70000100"	"4009"	
"62"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42621"	"70000200"	"4010"	
"63"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42631"	"70000300"	"4011"	
"64"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42641"	"70000400"	"4012"	
"65"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"20,50,3"	"100102,100101,100001"	"1,10,1000"	"42651"	"70000100"	"4009"	
"66"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42661"	"70000200"	"4010"	
"67"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42671"	"70000300"	"4011"	
"68"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42681"	"70000400"	"4012"	
"69"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42691"	"70000100"	"4009"	
"70"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"20,60,3"	"100102,100101,100001"	"1,10,1000"	"42701"	"70000200"	"4010"	
"71"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42711"	"70000300"	"4011"	
"72"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42721"	"70000400"	"4012"	
"73"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42731"	"70000100"	"4009"	
"74"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42741"	"70000200"	"4010"	
"75"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"20,70,3"	"100102,100101,100001"	"1,10,1000"	"42751"	"70000300"	"4011"	
"76"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42761"	"70000400"	"4012"	
"77"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42771"	"70000100"	"4009"	
"78"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42781"	"70000200"	"4010"	
"79"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42791"	"70000300"	"4011"	
"80"	"4003"	"800271,100102,100101"	"800271,100004,110103"	"25,80,4"	"100102,100101,100001"	"1,10,1000"	"42801"	"70000400"	"4012"	
"81"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42811"	"70000100"	"4009"	
"82"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42821"	"70000200"	"4010"	
"83"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42831"	"70000300"	"4011"	
"84"	"4003"	"800271,100102,100101"	""	""	"100102,100101,100001"	"1,10,1000"	"42841"	"70000400"	"4012"	
