"索引"	"数值"	""	
"id"	"value"	""	
"int"	"string"	""	
"cs"	"c"	""	
"99"	"3"	"首冲模型展示-武器-转剑-男-模型id指向模型表"	
"100"	"1.2"	"首冲模型展示-武器-转剑-男-大小缩放"	
"101"	"0,0"	"首冲模型展示-武器-转剑-男-位置"	
"102"	"0,0,-35"	"首冲模型展示-武器-转剑-男-旋转Z轴程序控制"	
"103"	"4"	"首冲模型展示-武器-转剑-女-模型id指向模型表"	
"104"	"1.2"	"首冲模型展示-武器-转剑-女-大小缩放"	
"105"	"0,0"	"首冲模型展示-武器-转剑-女-位置"	
"106"	"0,0,-35"	"首冲模型展示-武器-转剑-女-旋转Z轴程序控制"	
"107"	"5"	"首冲模型展示-武器-云锦-男-模型id指向模型表"	
"108"	"1.3"	"首冲模型展示-武器-云锦-男-大小缩放"	
"109"	"0,0"	"首冲模型展示-武器-云锦-男-位置"	
"110"	"0,0,-35"	"首冲模型展示-武器-云锦-男-旋转Z轴程序控制"	
"111"	"6"	"首冲模型展示-武器-云锦-女-模型id指向模型表"	
"112"	"1.3"	"首冲模型展示-武器-云锦-女-大小缩放"	
"113"	"0,0"	"首冲模型展示-武器-云锦-女-位置"	
"114"	"0,0,-35"	"首冲模型展示-武器-云锦-女-旋转Z轴程序控制"	
"115"	"7"	"首冲模型展示-武器-天威-男-模型id指向模型表"	
"116"	"2.4"	"首冲模型展示-武器-天威-男-大小缩放"	
"117"	"0,0"	"首冲模型展示-武器-天威-男-位置"	
"118"	"0,0,-35"	"首冲模型展示-武器-天威-男-旋转Z轴程序控制"	
"119"	"8"	"首冲模型展示-武器-天威-女-模型id指向模型表"	
"120"	"2.4"	"首冲模型展示-武器-天威-女-大小缩放"	
"121"	"0,0"	"首冲模型展示-武器-天威-女-位置"	
"122"	"0,0,-35"	"首冲模型展示-武器-天威-女-旋转Z轴程序控制"	
"123"	"3"	"首冲按钮鼠标移动上去出现界面-武器-转剑-男-模型id指向模型表"	
"124"	"1.2"	"首冲按钮鼠标移动上去出现界面-武器-转剑-男-大小缩放"	
"125"	"0,0"	"首冲按钮鼠标移动上去出现界面-武器-转剑-男-位置"	
