"ID(对应CreatureTypeConfig表索引ID)这里的顺序就是显示在界面中的顺序"	"寻路ID（对应MarkListConfig表）"	"BOSS注释（策划使用）"	"BOSS组（同一时间刷新的同组BOSS只会出现其中一个）"	"BOSS头像（图集，图片名）"	"BOSS刷新地图ID"	"BOSS刷新地图名称"	"刷新坐标X"	"刷新坐标Y"	"刷新坐标Z"	"初始朝向(Z方向的旋转度数)"	"BOSS推荐战力"	"模型缩放"	"模型上下位移"	"模型初始朝向"	"BOSS背景介绍"	"最后一击掉落物品显示（最多四个）"	"参与击杀掉落物品显示（最多四个）这个字段留空，客户端不会显示，实际也不会掉落，废物——张彤"	"BOSS刷新时间(hh:mm:ss)"	"BOSS刷新日期（0-6分别为周日-周六）"	"刷新公告ID--聊天频道（对应ServerStrConfig表ID）"	"刷新公告ID--屏幕中央（对应ServerStrConfig表ID）"	"刷新公告ID--备用（对应ServerStrConfig表ID）"	"提示公告ID（对应ServerStrConfig表ID）"	"提示间隔时间（秒）"	"击杀公告ID（对应ServerStrConfig表ID）"	"对应掉落物品（当该物品出现时才播放掉落公告，对应ItemCommonConfig表,可能对应多个）"	"掉落公告ID（对应ServerStrConfig表ID,可能对应多个）"	
"id"	"refresh_id"	"index"	"category"	"icon"	"map_id"	"map_name"	"location_x"	"location_y"	"location_z"	"orientation"	"elo_rcmd"	"scale"	"pos_y"	"direction"	"story"	"Notify_dropID_1"	"Notify_dropID_2"	"refresh_time"	"refresh_interval"	"notification_id1"	"notification_id2"	"notification_id3"	"reminder_id"	"reminder_int"	"kill_id"	"drop_id"	"dropNoti_id"	
"int"	"int"	"string"	"int"	"string[2]"	"int"	"string"	"float"	"float"	"float"	"float"	"int"	"float"	"float"	"float[3]"	"string"	"int[]"	"int[]"	"string[]"	"int[]"	"int"	"int"	"int"	"int"	"int"	"int"	"int[]"	"int[]"	
"cs"	"cs"	"c"	"cs"	"c"	"s"	"sl"	"s"	"s"	"s"	"s"	"c"	"c"	"c"	"c"	"cl"	"c"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"s"	"cs"	"cs"	"cs"	
"46001"	"46001"	"轻烟鹞子"	"1"	"Icon_sc,boss_wumeinvzi"	"1002"	"建康"	"96.300000"	"40.100000"	"413.000000"	"240.000000"	"60000"	"8.5"	"-5.8"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011"	""	"10:00:00"	"0,1,2,3,4,5,6"	"901001"	"902001"	""	"903001"	"10800"	"905001"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011,20342101,20342102,20342103,20342112,20342201,20342202,20342203,20342212,20342301,20342302,20342303,20342312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46002"	"46002"	"快刀大侠"	"2"	"Icon_sc,boss_shanzeitouling"	"1002"	"建康"	"466.000000"	"39.600000"	"264.700000"	"30.000000"	"60000"	"5"	"-3.5"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011"	""	"13:00:00"	"0,1,2,3,4,5,6"	"901002"	"902001"	""	"903002"	"10800"	"905001"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011,20342101,20342102,20342103,20342112,20342201,20342202,20342203,20342212,20342301,20342302,20342303,20342312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46003"	"46003"	"一指盗"	"3"	"Icon_sc,boss_jiefeishouling"	"1002"	"建康"	"181.700000"	"40.000000"	"176.900000"	"30.000000"	"60000"	"5"	"-3.5"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011"	""	"15:00:00"	"0,1,2,3,4,5,6"	"901003"	"902001"	""	"903003"	"10800"	"905001"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011,20342101,20342102,20342103,20342112,20342201,20342202,20342203,20342212,20342301,20342302,20342303,20342312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46004"	"46004"	"黄山鬼影儿"	"4"	"Icon_sc,boss_huwang"	"1002"	"建康"	"189.000000"	"40.000000"	"48.000000"	"30.000000"	"60000"	"5"	"-3.5"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011"	""	"17:30:00"	"0,1,2,3,4,5,6"	"901004"	"902001"	""	"903004"	"10800"	"905001"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011,20342101,20342102,20342103,20342112,20342201,20342202,20342203,20342212,20342301,20342302,20342303,20342312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46005"	"46005"	"半面天王"	"5"	"Icon_sc,boss_taotie"	"1002"	"建康"	"349.100000"	"39.100000"	"75.500000"	"30.000000"	"60000"	"5"	"-3.5"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011"	""	"20:00:00"	"0,1,2,3,4,5,6"	"901005"	"902001"	""	"903005"	"10800"	"905001"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011,20342101,20342102,20342103,20342112,20342201,20342202,20342203,20342212,20342301,20342302,20342303,20342312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46006"	"46006"	"杀人煞"	"6"	"Icon_sc,boss_yemanlingzhu"	"1002"	"建康"	"100.000000"	"40.200000"	"182.300000"	"30.000000"	"60000"	"5"	"-3.5"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011"	""	"22:30:00"	"0,1,2,3,4,5,6"	"901006"	"902001"	""	"903006"	"10800"	"905001"	"20342004,20342005,20342006,20342007,20342008,20342009,20342010,20342011,20342101,20342102,20342103,20342112,20342201,20342202,20342203,20342212,20342301,20342302,20342303,20342312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
"46007"	"46007"	"东方白霜"	"7"	"Icon_sc,boss_modaoshi"	"1003"	"会稽"	"370.800000"	"40.400000"	"361.200000"	"240.000000"	"180000"	"4.8"	"-3.3"	"0.0,180.0,0.0"	"在野外盘桓多年的他一直威胁着过往商贾的生命安全，公主府曾重金悬赏其性命，然而不知有多少豪气干云的侠客就此一去不归。"	"20442004,20442005,20442006,20442007,20442008,20442009,20442010,20442011"	""	"10:00:00"	"0,1,2,3,4,5,6"	"901007"	"902001"	""	"903007"	"10800"	"905001"	"20442004,20442005,20442006,20442007,20442008,20442009,20442010,20442011,20442101,20442102,20442103,20442112,20442201,20442202,20442203,20442212,20442301,20442302,20442303,20442312"	"904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001,904001"	
