"奖池ID"	"玩家分类0：全部1：等级2：尊爵"	"玩家分类参数"	"奖池数"	"奖池容量"	"礼包ID"	
"id"	"player_cond"	"player_cond_params"	"reward_pool_count"	"reward_pool_size"	"gift_item"	
"int"	"int"	"int[2]"	"int"	"int"	"int"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"0"	"0,0"	"3"	"100"	"810058"	
"2"	"0"	"0,0"	"3"	"50"	"810084"	
"3"	"0"	"0,0"	"3"	"20"	"810100"	
"4"	"0"	"0,0"	"3"	"20"	"810102"	
"5"	"0"	"0,0"	"3"	"20"	"810101"	
"6"	"0"	"0,0"	"3"	"100"	"810105"	
"7"	"0"	"0,0"	"3"	"100"	"810106"	
"8"	"0"	"0,0"	"3"	"100"	"810107"	
"9"	"0"	"0,0"	"3"	"500"	"810108"	
"10"	"0"	"0,0"	"3"	"500"	"810109"	
"11"	"0"	"0,0"	"3"	"500"	"810110"	
"12"	"0"	"0,0"	"5"	"20"	"570002"	
"13"	"0"	"0,0"	"3"	"50"	"570003"	
"14"	"0"	"0,0"	"3"	"100"	"570900"	
"15"	"0"	"0,0"	"3"	"100"	"570901"	
"16"	"0"	"0,0"	"3"	"100"	"570902"	
"17"	"0"	"0,0"	"3"	"100"	"570903"	
"18"	"0"	"0,0"	"3"	"100"	"570904"	
"19"	"0"	"0,0"	"3"	"100"	"570905"	
"20"	"0"	"0,0"	"3"	"100"	"570906"	
"21"	"0"	"0,0"	"3"	"100"	"570907"	
"22"	"0"	"0,0"	"3"	"100"	"570908"	
"23"	"0"	"0,0"	"3"	"200"	"570909"	
"24"	"0"	"0,0"	"3"	"100"	"570910"	
"25"	"0"	"0,0"	"3"	"100"	"570911"	
