"道具ID："	"物品名称20ABCD0E装备A=第几套B=职业（0通用1丐帮2少林3全真）C=套装（0无属性1阴2阳3内4外）D=品质E=装备subType700101开始是宝石"	"图标ID。填入icon的资源的名称"	"掉落模型ID"	"分类。1=货币，2=装备,3=消耗品，4=宝物，5=礼包，6=宝石，7=任务,8=英雄,9=材料"	"子类型，标识道具子类对于装备，1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品对于消耗品1=一般玩法消耗（用于跟道具类型无关的消耗），2=强化药剂，3=鉴定符,4=龙经验丹，5=自动使用血瓶，6=经验丹，7=喇叭8升级丹9=迷城重置符10=大血包11=大魔包12大魔瓶13尊爵体验卡，14=合成材料，15=合成符石，16=时装碎片，17=坐骑碎片19=宠物碎片20=秘籍升阶道具21=秘籍技能格开启道具,22=华山论剑卷轴,23单人首领卷轴=,24=叱咤王府卷轴,25=海上洪涛卷轴,26=千刃绝顶卷轴,27=大军西征卷轴,28=柔然入寇卷轴,29=未鉴定宝图,29=已鉴定宝图，31=再入琅琊卷轴32=280组队本33=300组队本对于宝物，1=坐骑10=宠物11=背旗12=法阵对于宝石，数字表示宝石种类，共9种对于礼包：1=普通礼包，2=时装包对于英雄：1.英雄碎片2.根骨丹3.助战相关道具4.武魂相关道具5.秘籍相关道具."	"使用等级"	"品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色"	"职业限制。1=丐帮可用，2=少林可用，4=全真可用。填入和值"	"物品规则读ItemRuleConfig里的定义必填项"	"出售价格"	"叠加数量叠加多个与可计时冲突，警告！"	"拾取方式。0=手动拾取，1=自动拾取，2=自动拾取即使用，3=拾取进公会仓库，4=购买并自动使用（时装礼包）"	"物品描述"	"物品使用脚本"	"物品使用条件，[type,param0,param1]，type=1物品ID，物品数量type=2金币，所有金币，充值金币"	"特定场景中使用。0=副本，1=野外地图，2=主城"	"物品寿命（分）与ItemRuleConfig表中的计时规则配合生效"	"掉落拾取时是否有成就提示"	"是否记录log"	"是否批量使用"	"是否连续使用"	"是否快捷使用"	"装备显示"	"装备显示"	"装备显示"	"特殊显示"	"使用时打开功能界面"	"使用性别0=通用1=男2=女"	"获得途径"	""	""	""	""	
"id"	"name"	"icon"	"dropModel"	"type"	"subType"	"levelLimit"	"color"	"profLimit"	"itemRule"	"salePrice"	"overlapNum"	"pickType"	"description"	"useScript"	"useCondition"	"useScene"	"life"	"AchievementTip"	"recordLog"	"isBatchUse"	"isContiUse"	"isquickUse"	"war_equipID"	"mag_equipID"	"arc_equipID"	"Sp_modelID"	"open_ui"	"sexLimit"	"acquisition"	""	""	""	""	
"int"	"string"	"string[]"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"string"	"string[]"	"int[3]"	"int[]"	"int"	"bool"	"bool"	"bool"	"bool"	"bool"	"int"	"int"	"int"	"int"	"int[]"	"int"	"string"	""	""	""	""	
"cs"	"cl"	"c"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cl"	"cs"	"cs"	"cs"	"cs"	"c"	"s"	"cs"	"cs"	"cs"	"c"	"c"	"c"	"c"	"c"	"cs"	"cl"	""	""	""	""	
"100001"	"铜钱"	"icon_item_png,tongqian"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"2"	"游戏中的基础货币，广泛用于技能升级、装备升星、宝石合成、随机商店、铜钱商店等多种途径\n[green]产出途径：铜币副本、押镖、藏金阁等"	"OnItemUse_AddMisc"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"游戏内产出的重要货币之一，通过游戏内的玩法来获取"	""	""	""	""	
"100002"	"经验"	"icon_item_png,exp"	""	"1"	""	""	"3"	""	"3"	"0"	"1"	"1"	"可用于角色升级的重要资源\n[green]产出途径：经验副本、环任务、篝火狂欢、挂机杀怪、离线奖励"	""	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"角色升级需要大量经验，可通过游戏内的玩法来获取"	""	""	""	""	
"100003"	"元宝"	"icon_item_png,yuanbao1"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"1"	"稀有货币，可用于购买商城道具\n[green]产出途径：充值获得"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"金币是充值获得的一种货币，可用于购买商城道具"	""	""	""	""	
"100004"	"绑定元宝"	"icon_item_png,yuanbao2"	"100004"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"2"	"稀有货币，可用于购买商城道具\n[green]产出途径：活跃度、章节奖励、挑战副本等"	"OnItemUse_AddMisc"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"游戏中产出或系统赠送金币，广泛应用与日常所需"	""	""	""	""	
"100005"	"声望"	"icon_item_png,shengwang"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"1"	"个人影响力的象征，可用于购买帮派商城中的物品可用于购买商城道具\n[green]产出途径：帮派贡献&任务."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"个人影响力的象征，声望影响到爵位的获取，以及一些与爵位相关的福利"	""	""	""	""	
"100006"	"体力"	"item,miss_tili"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"1"	"进入副本的必备条件，每半小时回复1点"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"进入副本的必备条件，每半小时回复1点"	""	""	""	""	
"100007"	"友好度"	"item,miss_haogan"	"100001"	"1"	""	"1"	"3"	"7"	"3"	"0"	"1"	"1"	"与朋友亲密度的象征，友好度越高，与朋友互动时获得的收益越高"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"与朋友亲密度的象征，友好度越高，与朋友互动时获得的收益越高"	""	""	""	""	
