"尊爵特权id"	"特权表现内容"	"参数类型（1,int。2，float。3，bool。）"	"尊爵特权对应属性注：增删改特权功能需要告知相关程序人员"	"排序"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"id"	"privilege"	"privilegefunc1"	"stat"	"order"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"string"	"int"	"string"	"int"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cl"	"c"	"s"	"c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1"	"英雄高级抽取开启"	"3"	"STAT_VIP_BONUS_HERO_COLLECT"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"VIP增加签到次数"	"1"	"STAT_VIP_BONUS_DAILY_SIGN"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"单人首领额外次数"	"1"	"STAT_VIP_BONUS_DARKARENA_FREE_COUNT"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"试剑云锦购买次数"	"1"	"STAT_VIP_BONUS_WARLORD_BUG_COUNT"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"离线打坐经验"	"2"	"STAT_VIP_BONUS_OFFLINE_MEDITATION_REWARD"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	"在线打坐经验"	"2"	"STAT_VIP_BONUS_ONLINE_MEDITATION_REWARD"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	"经验本额外进入次数"	"1"	"STAT_VIP_BONUS_EXP_INSTANCE_TIMES"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8"	"跨服副本购买次数"	"1"	"STAT_VIP_BONUS_TEAM_INSTANCE_TIMES"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9"	"铜币本额外进入次数"	"1"	"STAT_VIP_BONUS_COIN_TIMES"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10"	"试剑云锦免重置时间"	"3"	"STAT_VIP_BONUS_WARLORD_CANCEL_RESET"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11"	"环任务一键完成"	"1"	"STAT_VIP_BONUS_CYCLE_TAST"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12"	"帮派捐赠次数"	"1"	"STAT_VIP_BONUS_GUILD_DONATE_TIMES"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"13"	"资源本扫荡权限"	"3"	"STAT_VIP_BONUS_DUNGEON_SWEEP"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"14"	"铜币本额外购买次数"	"1"	"STAT_VIP_BONUS_COIN_BUY_TIMES"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"15"	"挑战本vip扫荡权限"	"3"	"STAT_VIP_BONUS_CHALLENGE_OTHER_SWEEP"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"16"	"侍从扫荡最大时长"	"1"	"STAT_VIP_BONUS_EXPLORE_TIME"	"16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"17"	"免费传送"	"3"	"STAT_VIP_BONUS_FREE_TRANSFER"	"17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"18"	"坐骑本额外进入次数"	"1"	"STAT_VIP_BONUS_RIDE_INSTANCE_TIMES"	"18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"19"	"宠物本额外进入次数"	"1"	"STAT_VIP_BONUS_PET_INSTANCE_TIMES"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20"	"背旗本额外进入次数"	"1"	"STAT_VIP_BONUS_FLAG_INSTANCE_TIMES"	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21"	"法阵本额外进入次数"	"1"	"STAT_VIP_BONUS_MAGICCIRCLE_INSTANCE_TIMES"	"21"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
