"背旗类别（首位，1为普通背旗，2为幻形背旗）"	"背旗名字"	"背旗级别1=初级背旗；2=中级背旗；3=高级背旗；4=龙背旗；5=限时背旗"	"背旗类别（首位，1为普通背旗，2为幻形背旗，3为多人背旗）"	"有效期（天数永久填-1）"	"每个背旗装备槽最大等级（不判断填-1）"	"背旗最大阶（不判断填-1）"	"背旗最大级（不判断填-1）"	"等阶"	"背旗属性（针对幻形，其他背旗不读取填-1）（属性ID，属性值）"	"背旗头像图标"	"模型ID"	"背旗界面坐标"	"背旗界面角度"	"模型缩放"	"背旗展示动作id(ActionGroupConfig表)"	"背旗展示动作(ActionGroupConfig表)"	"背旗获得途径"	"背旗头像"	"新获得界面名称美术字"	"列表名称美术字"	"获取途径美术字"	"是否商城购买（若是敬请期待，此列填0）"	"跳转界面-1:不跳转数字：Gui表中的ID（若是敬请期待，此列填0）"	"标签页id-1:无数字：Gui表中的ID"	"新获得时位置"	"新获得时角度"	"新获得时尺寸"	""	""	""	""	""	""	""	""	""	""	""	""	
"id"	"flag_name"	"grade"	"sort"	"validity"	"itemhole_max"	"class_max"	"level_max"	"rank"	"attr"	"flag_icon"	"avatar_id"	"ui_position"	"ui_rotation"	"model_scale"	"flag_act_id"	"flag_act"	"flag_get"	"portrait"	"name_icon"	"list_icon"	"achieve_icon"	"mall_buy"	"ui_id"	"ui_tab_id"	"get_position"	"get_rotation"	"get_size"	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"string"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int[]"	"string[2]"	"int"	"float[2]"	"float[3]"	"float"	"int"	"string"	"string"	"string[2]"	"string[2]"	"string[2]"	"string[2]"	"int"	"int"	"int"	"float[2]"	"float[3]"	"float"	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"csl"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"c"	"c"	"c"	"cs"	"c"	"cl"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	""	""	""	""	""	""	""	""	""	""	""	""	
"1001"	"护背旗"	"1"	"1001"	"-1"	"50"	"5"	"100"	"1"	"-1"	"icon_pet_png,flag_jingyunqi2"	"80014"	"0,-0.7"	"0,-120,0"	"1.000000"	"20001"	""	"获得途径:商城&活动"	"head_hero_png,head_guojing"	"shenqiname,flag_name_01"	"shenqiname,s_flag_name_01"	""	"0"	""	""	"0,-0.7"	"0,-120,0"	"0.800000"	""	""	""	""	""	""	""	""	""	""	""	""	
"1002"	"靠甲旗"	"1"	"1002"	"-1"	"50"	"5"	"100"	"2"	"-1"	"icon_pet_png,flag_jingyunqi4"	"80015"	"0,-0.7"	"0,-125,0"	"1.000000"	"20000"	""	"获得途径:跨服战场"	"head_hero_png,head_guojing"	"shenqiname,flag_name_02"	"shenqiname,s_flag_name_02"	""	""	""	""	"0,-0.7"	"0,-125,0"	"0.800000"	""	""	""	""	""	""	""	""	""	""	""	""	
"1003"	"龙纹旗"	"1"	"1003"	"-1"	"50"	"5"	"100"	"3"	"-1"	"icon_pet_png,flag_xueyueqi4"	"80021"	"0,-0.5"	"0,-149,0"	"1.000000"	"20001"	""	"获得途径:挑战副本"	"head_hero_png,head_guojing"	"shenqiname,flag_name_03"	"shenqiname,s_flag_name_03"	""	""	""	""	"0,-0.5"	"0,-149,0"	"0.800000"	""	""	""	""	""	""	""	""	""	""	""	""	
"1004"	"江涯旗"	"1"	"1004"	"-1"	"50"	"5"	"100"	"4"	"-1"	"icon_pet_png,flag_jingyunqi6"	"80016"	"0,-0.7"	"0,-126,0"	"1.000000"	"20000"	""	"获得途径:竞技场"	"head_hero_png,head_guojing"	"shenqiname,flag_name_04"	"shenqiname,s_flag_name_04"	""	""	""	""	"0,-0.7"	"0,-126,0"	"0.800000"	""	""	""	""	""	""	""	""	""	""	""	""	
"1005"	"天威旗"	"2"	"1005"	"-1"	"50"	"5"	"100"	"5"	"-1"	"icon_pet_png,flag_xueyueqi6"	"80022"	"0,-0.5"	"0,-150,0"	"1.000000"	"20001"	""	"获得途径:商城&豪侠"	"head_hero_png,head_guojing"	"shenqiname,flag_name_05"	"shenqiname,s_flag_name_05"	""	""	""	""	"0,-0.5"	"0,-150,0"	"0.800000"	""	""	""	""	""	""	""	""	""	""	""	""	
"2001"	"山河扇(幻形)"	"2"	"2001"	"-1"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,2000,2,1000,12,1000,14,1000"	"icon_pet_png,flag_2"	"80005"	"0,-0.5"	""	"1.000000"	"20000"	""	"获得途径:商城&豪侠"	"head_hero_png,head_guojing"	"shenqiname,flag_name_06"	"shenqiname,s_flag_name_06"	"Pic_sc,light_quanfuboss"	"0"	"200231"	"-1"	"0,-0.5"	""	"1.000000"	""	""	""	""	""	""	""	""	""	""	""	""	
"2002"	"龙泉架(幻形)"	"2"	"2002"	"-1"	"-1"	"-1"	"-1"	"-1"	"0,50000,1,2000,2,2000,8,2000,10,2000"	"icon_pet_png,flag_3"	"80006"	"0,-0.5"	""	"1.000000"	"20000"	""	"获得途径:商城&豪侠"	"head_hero_png,head_guojing"	"shenqiname,flag_name_07"	"shenqiname,s_flag_name_07"	"Pic_sc,light_no"	"0"	"0"	""	"0,-0.5"	""	"1.000000"	""	""	""	""	""	""	""	""	""	""	""	""	
"2003"	"山河扇(限时)"	"5"	"2001"	"1"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,2000,2,1000,12,1000,14,1000"	"icon_pet_png,flag_2"	"80005"	"0,-0.5"	""	"1.000000"	"20000"	""	"获得途径:商城&豪侠"	"head_hero_png,head_guojing"	"shenqiname,flag_name_08"	"shenqiname,s_flag_name_08"	"Pic_sc,light_quanfuboss"	"0"	"200231"	"-1"	"0,-0.5"	""	"1.000000"	""	""	""	""	""	""	""	""	""	""	""	""	
