"成就目标id"	"目标描述"	"目标类型101开启背包格子102玩家等级103统计技术104累积计数105VIP等级106三星通关某个副本107完成特定任务108超过某个特定数值触发109挑战副本层数"	"目标计数上限（101类型：填目标数103类型：目标数104类型：目标数109类型：目标数107类型：1其他为空）"	"整数参数1（102类型：填目标数103类型：1=击杀怪物2=竞技场胜利次数3=战场获胜4=古墓迷宫完成5=完成襄阳守卫战6=完成整环任务104类型：1=累计获得元宝2=累计获得金币3=累计消费元宝4=累积消费金币105类型：填VIP等级数106类型：填副本ID107类型：任务ID）（）"	"整数参数2"	"整数参数3"	"数组参数1"	"字符串参数1"	"是否显示计数"	
"id"	"des"	"type"	"counter_max"	"nparam1"	"nparam2"	"nparam3"	"vparam1"	"sparam1"	"count_visible"	
"int"	"string"	"int"	"int"	"int"	"int"	"int"	"int[]"	"string"	"bool"	
"cs"	"csl"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"101001"	"新开启背包格子10个"	"101"	"10"	""	""	""	""	""	"1"	
"101002"	"新开启背包格子50个"	"101"	"50"	""	""	""	""	""	"1"	
"102001"	"角色等级达到60级"	"102"	""	"60"	""	""	""	""	"0"	
"102002"	"角色等级达到80级"	"102"	""	"80"	""	""	""	""	"0"	
"102003"	"角色等级达到100级"	"102"	""	"100"	""	""	""	""	"0"	
"102004"	"角色等级达到200级"	"102"	""	"200"	""	""	""	""	"0"	
"102005"	"角色等级达到300级"	"102"	""	"300"	""	""	""	""	"0"	
"104301"	"累积消费元宝1000"	"104"	"1000"	"3"	""	""	""	""	"1"	
"104302"	"累积消费元宝3000"	"104"	"3000"	"3"	""	""	""	""	"1"	
"104303"	"累积消费元宝10000"	"104"	"10000"	"3"	""	""	""	""	"1"	
"104304"	"累积消费元宝100000"	"104"	"100000"	"3"	""	""	""	""	"1"	
"104305"	"累积消费元宝1000000"	"104"	"1000000"	"3"	""	""	""	""	"1"	
"103101"	"击杀怪物10000只"	"103"	"10000"	"1"	""	""	""	""	"1"	
"103102"	"击杀怪物100000只"	"103"	"100000"	"1"	""	""	""	""	"1"	
"103103"	"击杀怪物1000000只"	"103"	"1000000"	"1"	""	""	""	""	"1"	
"105005"	"变身为5级豪侠"	"105"	""	"5"	""	""	""	""	"0"	
"105008"	"变身为8级豪侠"	"105"	""	"8"	""	""	""	""	"0"	
"105010"	"变身为10级豪侠"	"105"	""	"10"	""	""	""	""	"0"	
"106001"	"豪值达到1000"	"110"	"1000"	""	""	""	""	""	"1"	
"106002"	"豪值达到4000"	"110"	"4000"	""	""	""	""	""	"1"	
"106003"	"豪值达到10000"	"110"	"10000"	""	""	""	""	""	"1"	
"106004"	"豪值达到20000"	"110"	"20000"	""	""	""	""	""	"1"	
"106005"	"豪值达到50000"	"110"	"50000"	""	""	""	""	""	"1"	
"106006"	"豪值达到100000"	"110"	"100000"	""	""	""	""	""	"1"	
"103201"	"竞技场获胜2场"	"103"	"2"	"2"	""	""	""	""	"1"	
"103202"	"竞技场获胜30场"	"103"	"30"	"2"	""	""	""	""	"1"	
"103203"	"竞技场获胜100场"	"103"	"100"	"2"	""	""	""	""	"1"	
"103301"	"跨服战场获胜1次"	"103"	"1"	"3"	""	""	""	""	"1"	
"103302"	"跨服战场获胜10次"	"103"	"10"	"3"	""	""	""	""	"1"	
"103303"	"跨服战场获胜30次"	"103"	"30"	"3"	""	""	""	""	"1"	
"103401"	"完成古墓迷宫1场"	"103"	"1"	"4"	""	""	""	""	"1"	
"103402"	"完成古墓迷宫10场"	"103"	"10"	"4"	""	""	""	""	"1"	
"103501"	"完成守卫战1场"	"103"	"1"	"5"	""	""	""	""	"1"	
"103502"	"完成守卫战10场"	"103"	"10"	"5"	""	""	""	""	"1"	
"109001"	"征服挑战副本第10层"	"109"	"10"	""	""	""	""	""	"0"	
"109002"	"征服挑战副本第20层"	"109"	"20"	""	""	""	""	""	"0"	
"109003"	"征服挑战副本第30层"	"109"	"30"	""	""	""	""	""	"0"	
"109004"	"征服挑战副本第40层"	"109"	"40"	""	""	""	""	""	"0"	
"109005"	"征服挑战副本第50层"	"109"	"50"	""	""	""	""	""	"0"	
"106101"	"通关经验副本"	"106"	"1"	"2100"	""	""	""	""	"0"	
"106401"	"3星通关组队副本"	"106"	"1"	"37401"	""	""	""	""	"0"	
"103601"	"完成环任务10次"	"103"	"10"	"6"	""	""	""	""	"1"	
"103602"	"完成环任务100次"	"103"	"100"	"6"	""	""	""	""	"1"	
"107101"	"完成强化装备支线任务"	"107"	"1"	"30005"	""	""	""	""	"0"	
"107102"	"完成侍从支线任务"	"107"	"1"	"30008"	""	""	""	""	"0"	
"107001"	"完成宝马良驹任务"	"107"	"1"	"1050"	""	""	""	""	"0"	
"107002"	"完成不知所措任务"	"107"	"1"	"1082"	""	""	""	""	"0"	
"107003"	"完成侍从升级任务"	"107"	"1"	"1502"	""	""	""	""	"0"	
"107004"	"完成城外约定任务"	"107"	"1"	"1239"	""	""	""	""	"0"	
"107005"	"完成大将沈庆之任务"	"107"	"1"	"1293"	""	""	""	""	"0"	
"107006"	"完成不辞而别任务"	"107"	"1"	"1422"	""	""	""	""	"0"	
"107007"	"完成启程任务"	"107"	"1"	"1429"	""	""	""	""	"0"	
"107008"	"完成团结一致任务"	"107"	"1"	"1747"	""	""	""	""	"0"	
"107009"	"完成一同离开任务"	"107"	"1"	"1914"	""	""	""	""	"0"	
