"ID"	"技能等级段"	"升级所需物品1(ID,数量)"	"升级所需物品2(ID,数量)"	"升级所需物品3(ID,数量)"	""	""	""	""	""	""	""	""	
"id"	"skill_level"	"lvlup_item_1"	"lvlup_item_2"	"lvlup_item_3"	""	""	""	""	""	""	""	""	
"int"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	""	""	""	""	""	""	""	""	
"cs"	"cs"	"cs"	"cs"	"cs"	""	""	""	""	""	""	""	""	
"1"	"1,1"	"100001,5000"	"100045,1"	""	""	""	""	""	""	""	""	""	
"2"	"2,2"	"100001,5100"	"100045,1"	""	""	""	""	""	""	""	""	""	
"3"	"3,3"	"100001,5200"	"100045,1"	""	""	""	""	""	""	""	""	""	
"4"	"4,4"	"100001,5300"	"100045,1"	""	""	""	""	""	""	""	""	""	
"5"	"5,5"	"100001,5400"	"100045,1"	""	""	""	""	""	""	""	""	""	
"6"	"6,6"	"100001,5500"	"100045,1"	""	""	""	""	""	""	""	""	""	
"7"	"7,7"	"100001,5600"	"100045,1"	""	""	""	""	""	""	""	""	""	
"8"	"8,8"	"100001,5700"	"100045,1"	""	""	""	""	""	""	""	""	""	
"9"	"9,9"	"100001,5800"	"100045,1"	""	""	""	""	""	""	""	""	""	
"10"	"10,10"	"100001,5900"	"100045,1"	""	""	""	""	""	""	""	""	""	
"11"	"11,11"	"100001,6000"	"100045,1"	""	""	""	""	""	""	""	""	""	
"12"	"12,12"	"100001,6100"	"100045,1"	""	""	""	""	""	""	""	""	""	
"13"	"13,13"	"100001,6200"	"100045,1"	""	""	""	""	""	""	""	""	""	
"14"	"14,14"	"100001,6300"	"100045,1"	""	""	""	""	""	""	""	""	""	
"15"	"15,15"	"100001,6400"	"100045,1"	""	""	""	""	""	""	""	""	""	
"16"	"16,16"	"100001,6500"	"100045,1"	""	""	""	""	""	""	""	""	""	
"17"	"17,17"	"100001,6600"	"100045,1"	""	""	""	""	""	""	""	""	""	
