"任务id（唯一，顺次递增）"	"任务名称（日志，追踪面板显示）"	"任务分类（0=传统任务，1=联盟任务，2=家园任务,3=7日任务,新增其他后续递增）"	"任务放弃标识（是否可放弃）"	"任务可接描述（索引字典）"	"任务已接未完成描述（索引字典）"	"任务可完成描述（索引字典）"	"任务已完成描述（索引字典）"	"接受等级（显示为可接任务的条件，接受任务的条件）"	"杀怪类(怪id)"	"杀怪类(怪数量)"	"功能类(功能id,5使用龙笛,8点金,9通关任意副本,10通关暗黑擂台,11通关魔王本,12野外场景杀人,13竞技场获胜,14探险,15宝石合成升级,16野外场景杀怪,17野外场景杀精英怪,18龙技能升级,19鉴定装备,20培养坐骑,21融合血脉,22升级技能,23喝血瓶或血球,24竞技场结束(无论输赢),25修炼所领取术力,26塔罗牌翻牌,27收取果实,28龙祝福操作,29龙祭炼操作,30龙参悟操作,31挑战暗黑擂台(无论输赢)，32挑战魔王本(无论输赢),33挑战武神(无论输赢)）,1001所有技能升到指定等级,1002玩家升到指定等级,1003任意龙升到指定等级,1004加入联盟)"	"功能类(功能次数,任务计数上限值)"	"功能类(功能参数)"	"通关副本类(副本ID)"	"通过副本类(通关评分D=1,C=2,B=3,A=4,S=5)"	"升级龙技能(技能ID)"	"升级龙技能(技能等级)"	"7日任务职业限制(1=战士可接;2=弓手可接;4=法师可接;0或7=所有职业可接)"	"7日任务奖励1"	"7日任务奖励2"	"7日任务奖励3"	"7日任务奖励4"	"7日任务奖励5"	"7日任务奖励6"	"7日任务天(任务出现在第几天)"	"7日任务界面显示顺序"	"7日任务难度1=容易2=普通3=困难"	"任务图片"	""	
"id"	"name"	"type"	"idDiscard"	"acceptableStrID"	"underwayStrID"	"completedStrID"	"doneStrID"	"acceptLv"	"killMonsterID"	"killMonsterCount"	"functionID"	"functionCount"	"functionParam1"	"crossDungeonID"	"crossDungeonScore"	"dragonMagicID"	"dragonMagicLevel"	"day7ProLimit"	"day7Reward1"	"day7Reward2"	"day7Reward3"	"day7Reward4"	"day7Reward5"	"day7Reward6"	"day7Day"	"day7Index"	"day7Level"	"taskImg"	""	
"int"	"string"	"int"	"bool"	"int"	"int"	"int"	"int"	"int"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int"	"int"	"int"	"string[]"	""	
"cs"	"csl"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"c"	"c"	""	
"20374"	"加入1个帮派"	"3"	"1"	"114311"	"114311"	"114231"	"114231"	""	""	""	"9"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"1"	"1"	"3"	"dengluIcon,dl_baoshi"	""	
"20375"	"达到67级"	"3"	"1"	"114312"	"114312"	"114231"	"114231"	""	""	""	"1"	"67"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"1"	"2"	"3"	"dengluIcon,day_wuqi"	""	
"20376"	"完成20环环任务"	"3"	"1"	"114313"	"114313"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"1"	"3"	"2"	"dengluIcon,day_fenghuolun"	""	
"20377"	"技能总等级达到300"	"3"	"1"	"114314"	"114314"	"114231"	"114231"	""	""	""	"22"	"300"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"1"	"4"	"2"	"dengluIcon,dl_shediao"	""	
"20378"	"主角战力达到30000"	"3"	"1"	"114315"	"114315"	"114231"	"114231"	""	""	""	"1004"	"1"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"1"	"5"	"1"	"dengluIcon,day_lu"	""	
"20379"	"通关第一组最后一个剧情本"	"3"	"1"	"114316"	"114316"	"114231"	"114231"	""	""	""	""	""	""	"50006"	"1"	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"1"	"6"	"1"	"dengluIcon,dl_baoshidai"	""	
"20380"	"任意挑战本通关7层"	"3"	"1"	"114317"	"114317"	"114231"	"114231"	""	""	""	"58"	"7"	"0"	""	""	""	""	""	"530101,5"	"530102,5"	"530103,5"	""	""	""	"1"	"7"	"1"	"dengluIcon,dl_jiezhi"	""	
