"索引"	"活动ID"	"充值月数"	"活动礼包"	"是否唯一"	"文本ID"	""	""	""	""	
"index"	"aid"	"month"	"giftbag"	"unique"	"str_id"	""	""	""	""	
"int"	"string"	"int"	"int"	"bool"	"int"	""	""	""	""	
"cs"	"cs"	"cs"	"cs"	"s"	"c"	""	""	""	""	
"1"	"UM150615225155698"	"1"	"530894"	""	"133200"	""	""	""	""	
"2"	"UM150615225155698"	"12"	"530895"	""	"133200"	""	""	""	""	
"3"	"UM150609142941422"	"1"	"530900"	""	"133200"	""	""	""	""	
"4"	"UM150609142941422"	"3"	"530901"	""	"133200"	""	""	""	""	
"5"	"UM150609142941422"	"6"	"530902"	""	"133200"	""	""	""	""	
"6"	"UM150609142941422"	"9"	"530903"	""	"133200"	""	""	""	""	
"7"	"UM150609142941422"	"12"	"530904"	""	"133200"	""	""	""	""	
