"装备ID。第一位数字一定要保证是2，不能重复"	"装备名称"	"穿戴模型,ID规则是装备ID+标记位"	"默认升级等级"	"模板起始ID(EquipTemplateConfig)"	"可升星等级"	"套装ID"	"随机技能池"	"技能出现几率"	"斩位值"	"斩位强化值"	"精炼银币消耗"	"装备类型对应的底图"	"可开放宝石孔数目"	"是否为MF顶级进阶装备，橙装才填是"	"装备品质是否固定，全固定和半固定必须填是"	"时装翅膀是否可升级（只针对时装翅膀）"	"附加属性ID（对应ItemEquipExtend表）"	"是否可升级"	"是否可升星"	"是否可洗练"	"基础属性1"	"基础属性1数值"	"基础属性2"	"基础属性2数值"	""	""	
"id"	""	"wearModel"	"StrLevel"	"templetID"	"starNum"	"suitID"	"skillID"	"skill_pro"	"choppedBits"	"choppedBitsPlus"	"refine_silver"	"image"	"gemHoleNum"	"isOrangeProduct"	"isColorFixed"	"isWingLevelup"	"extendID"	"iscanLevelup"	"iscanStar"	"isCanWash"	"basicID1"	"basicVal1"	"basicID2"	"basicVal2"	""	""	
"int"	""	"int[]"	"int"	"int"	"int"	"int"	"int[]"	"int[]"	"int"	"int"	"int"	"string[]"	"int"	"bool"	"bool"	"bool"	"int"	"bool"	"bool"	"bool"	"int"	"float[2]"	"int"	"float[2]"	""	""	
"cs"	""	"c"	"cs"	"cs"	"cs"	"cs"	"s"	"s"	"cs"	"cs"	"cs"	"c"	"cs"	"s"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	""	""	
"250004"	"护肩"	""	""	"10400"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,jian"	"1"	""	"1"	""	"5"	"1"	"0"	"1"	""	""	""	""	""	""	
"250005"	"腰带"	""	""	"10500"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,jian"	"1"	""	"1"	""	"5"	"1"	"0"	"1"	""	""	""	""	""	""	
"250006"	"裤子"	""	""	"10600"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,yifu"	"1"	""	"1"	""	"6"	"1"	"0"	"1"	""	""	""	""	""	""	
"250007"	"靴子"	""	""	"10700"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,kuzi"	"1"	""	"1"	""	"7"	"1"	"0"	"1"	""	""	""	""	""	""	
"250008"	"项链"	""	""	"10800"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,xianglian"	"1"	""	"1"	""	"8"	"1"	"0"	"1"	""	""	""	""	""	""	
"250009"	"护腕"	""	""	"10900"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,ring"	"1"	""	"1"	""	"9"	"1"	"0"	"1"	""	""	""	""	""	""	
"250010"	"左戒指"	""	""	"11000"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,xianglian"	"1"	""	"1"	""	"10"	"1"	"0"	"1"	""	""	""	""	""	""	
"250011"	"右戒指"	""	""	"11100"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,xianglian"	"1"	""	"1"	""	"10"	"1"	"0"	"1"	""	""	""	""	""	""	
"200011"	"全真武器"	"101"	""	"10100"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,sword"	"0"	""	""	""	"101"	"0"	"1"	"0"	""	""	""	""	""	""	
"200012"	"全真头盔"	"102"	""	"10200"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,bow"	"0"	""	""	""	"102"	"0"	"1"	"0"	""	""	""	""	""	""	
"200013"	"全真衣服"	"103"	""	"10300"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,fazhang"	"0"	""	""	""	"103"	"0"	"1"	"0"	""	""	""	""	""	""	
"200014"	"全真挂件"	"104"	""	"11200"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,tou"	"0"	""	""	""	"104"	"0"	"1"	"0"	""	""	""	""	""	""	
"200021"	"少林武器"	"101"	""	"10100"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,jian"	"0"	""	""	""	"101"	"0"	"1"	"0"	""	""	""	""	""	""	
"200022"	"少林头盔"	"102"	""	"10200"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,yifu"	"0"	""	""	""	"102"	"0"	"1"	"0"	""	""	""	""	""	""	
"200023"	"少林衣服"	"103"	""	"10300"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,kuzi"	"0"	""	""	""	"103"	"0"	"1"	"0"	""	""	""	""	""	""	
"200024"	"少林挂件"	"104"	""	"11200"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,xianglian"	"0"	""	""	""	"104"	"0"	"1"	"0"	""	""	""	""	""	""	
"200031"	"丐帮武器"	"101"	""	"10100"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,ring"	"0"	""	""	""	"101"	"0"	"1"	"0"	""	""	""	""	""	""	
"200032"	"丐帮头盔"	"102"	""	"10200"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,xianglian"	"0"	""	""	""	"102"	"0"	"1"	"0"	""	""	""	""	""	""	
"200033"	"丐帮衣服"	"103"	""	"10300"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,sword"	"0"	""	"1"	""	"103"	"0"	"1"	"0"	""	""	""	""	""	""	
"200034"	"丐帮挂件"	"104"	""	"11200"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,bow"	"0"	""	"1"	""	"104"	"0"	"1"	"0"	""	""	""	""	""	""	
"201011"	"全真武器II"	"201"	""	"10100"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,fazhang"	"0"	""	"1"	""	"201"	"0"	"1"	"0"	""	""	""	""	""	""	
"201012"	"全真头盔II"	"202"	""	"10200"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,tou"	"0"	""	"1"	""	"202"	"0"	"1"	"0"	""	""	""	""	""	""	
"201013"	"全真衣服II"	"203"	""	"10300"	"3"	""	""	""	"0"	"0"	"0"	"2013.1,jian"	"0"	""	"1"	""	"203"	"0"	"1"	"0"	""	""	""	""	""	""	
