"ID号"	"名称"	"适用怪类型(0=精英怪,1=稀有怪/首领怪/超级首领怪,2=龙域守护专用)"	"特殊能力id(索引到TalentConfig)"	"附加说明"	
"id"	"name"	"monster_type"	"talent_id"	"buff_text"	
"int"	"string"	"int"	"int"	"string"	
"cs"	"csl"	"s"	"cs"	"cl"	
"1000"	"冠军的"	"0"	"1000"	""	
"1001"	"幽灵的"	"0"	"1010"	""	
"1002"	"狂热的"	"0"	"1020"	""	
"1003"	"狂暴的"	"0"	"1030"	""	
"1004"	"强壮的"	"0"	"1040"	""	
"2000"	"削弱护甲"	"1"	"2000"	""	
"2010"	"冰霜强化"	"1"	"2010"	""	
"2020"	"火焰强化"	"1"	"2020"	""	
"2030"	"闪电强化"	"1"	"2030"	""	
"2040"	"元素抵抗"	"0"	"2040"	""	
"2050"	"快速"	"1"	"2050"	""	
"2060"	"魔化皮肤"	"0"	"2060"	""	
"2070"	"石头皮肤"	"0"	"2070"	""	
"2080"	"生命吸取"	"1"	"2080"	""	
"2090"	"术元燃烧"	"1"	"2090"	""	
"2100"	"沼泽"	"1"	"2100"	""	
"3000"	"冰霜易伤"	"2"	"3000"	"冰龙"	
"3010"	"火焰易伤"	"2"	"3010"	"火龙"	
"3020"	"雷电易伤"	"2"	"3020"	"雷龙"	
"3030"	"毒性易伤"	"2"	"3030"	"毒龙"	
"3040"	"魔物易伤"	"2"	"3040"	"红龙、精灵龙"	
