"装备位*1000+等级"	"装备名称"	"玩家等级限制"	"品质。0=白色，1=绿,2=蓝色，3=紫色,4=金色，5=橙色"	"图标ID。填入icon的资源的名称"	"基础属性1数值"	"基础属性2数值"	"附加属性1上限"	"附加属性2上限"	"附加属性3上限"	"附加属性4上限"	"可开放宝石孔数目"	"消耗物品1（类型，数量）"	"消耗物品2（类型，数量）"	
"id"	"itemName"	"level"	"color"	"icon"	"basicVal1"	"basicVal2"	"extendVal1"	"extendVal2"	"extendVal3"	"extendVal4"	"gemHoleNum"	"consume1"	"consume2"	
"int"	"string"	"int"	"int"	"string[]"	"float"	"float"	"float"	"float"	"float"	"float"	"int"	"int[2]"	"int[2]"	
"cs"	"c"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"5001"	"1级项链"	"1"	"0"	"item_equip,xianglian1"	"100.000000"	"0.000000"	"100.000000"	"100.000000"	"100.000000"	"100.000000"	"1"	"100001,10"	"300001,10"	
"5002"	"2级项链"	"2"	"0"	"item_equip,xianglian1"	"110.000000"	"0.000000"	"110.000000"	"110.000000"	"110.000000"	"110.000000"	"1"	"100001,11"	"300001,11"	
"5003"	"3级项链"	"3"	"0"	"item_equip,xianglian1"	"120.000000"	"0.000000"	"120.000000"	"120.000000"	"120.000000"	"120.000000"	"1"	"100001,12"	"300001,12"	
"5004"	"4级项链"	"4"	"1"	"item_equip,xianglian2"	"200.000000"	"0.000000"	"200.000000"	"200.000000"	"200.000000"	"200.000000"	"2"	"100001,13"	"300001,13"	
"5005"	"5级项链"	"5"	"1"	"item_equip,xianglian2"	"210.000000"	"0.000000"	"210.000000"	"210.000000"	"210.000000"	"210.000000"	"2"	"100001,14"	"300001,14"	
"5006"	"6级项链"	"6"	"1"	"item_equip,xianglian2"	"220.000000"	"0.000000"	"220.000000"	"220.000000"	"220.000000"	"220.000000"	"2"	"100001,15"	"300001,15"	
"5007"	"7级项链"	"7"	"2"	"item_equip,xianglian1"	"300.000000"	"0.000000"	"300.000000"	"300.000000"	"300.000000"	"300.000000"	"3"	"100001,16"	"300001,16"	
"5008"	"8级项链"	"8"	"2"	"item_equip,xianglian1"	"310.000000"	"0.000000"	"310.000000"	"310.000000"	"310.000000"	"310.000000"	"3"	"100001,17"	"300001,17"	
"5009"	"9级项链"	"9"	"2"	"item_equip,xianglian1"	"320.000000"	"0.000000"	"320.000000"	"320.000000"	"320.000000"	"320.000000"	"3"	"100001,18"	"300001,18"	
"5010"	"10级项链"	"10"	"3"	"item_equip,xianglian2"	"400.000000"	"0.000000"	"400.000000"	"400.000000"	"400.000000"	"400.000000"	"4"	"100001,19"	"300001,19"	
"5011"	"11级项链"	"11"	"3"	"item_equip,xianglian2"	"410.000000"	"0.000000"	"410.000000"	"410.000000"	"410.000000"	"410.000000"	"4"	"100001,20"	"300001,20"	
