"ID第1位：注灵位ID，1头2胸3脚4武器第2位：预留，填0第3，4，5,位：等级，每阶段单独计算"	"注灵位品质（1=绿，2=蓝，3=紫，4=金，5=橙）实质上是阶段，每阶段等级单独结算"	"注灵所需材料ID"	"单次注灵所需材料数量（不能升级时必须为0）"	"注灵所需总材料数量（不能升级时必须为0）"	"注灵增加属性（填总属性值，而非差值）（属性ID，属性值）"	
"id"	"quality_id"	"level_item_id"	"level_item_single"	"level_item_total"	"level_attr"	
"int"	"int"	"int"	"int"	"int"	"int[]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"10001"	"1"	"100111"	"1"	"1"	"0,0,1,0,8,0,12,0,14,0"	
"10002"	"1"	"100111"	"2"	"2"	"0,3710,1,74,8,66,12,66,14,66"	
"10003"	"1"	"100111"	"2"	"2"	"0,7420,1,148,8,132,12,132,14,132"	
"10004"	"1"	"100111"	"2"	"2"	"0,11131,1,222,8,198,12,198,14,198"	
"10005"	"1"	"100111"	"2"	"2"	"0,14841,1,296,8,265,12,265,14,265"	
"10006"	"1"	"100111"	"2"	"2"	"0,18552,1,371,8,331,12,331,14,331"	
"10007"	"1"	"100111"	"2"	"2"	"0,22262,1,445,8,397,12,397,14,397"	
"10008"	"1"	"100111"	"2"	"2"	"0,25973,1,519,8,463,12,463,14,463"	
"10009"	"1"	"100111"	"2"	"2"	"0,29683,1,593,8,530,12,530,14,530"	
"10010"	"1"	"100111"	"2"	"2"	"0,33394,1,667,8,596,12,596,14,596"	
"10011"	"1"	"100111"	"2"	"2"	"0,37104,1,742,8,662,12,662,14,662"	
"10012"	"1"	"100111"	"2"	"2"	"0,40815,1,816,8,728,12,728,14,728"	
"10013"	"1"	"100111"	"2"	"2"	"0,44525,1,890,8,795,12,795,14,795"	
"10014"	"1"	"100111"	"2"	"2"	"0,48236,1,964,8,861,12,861,14,861"	
"10015"	"1"	"100111"	"2"	"2"	"0,51946,1,1038,8,927,12,927,14,927"	
"10016"	"1"	"100111"	"2"	"2"	"0,55656,1,1113,8,993,12,993,14,993"	
"10017"	"1"	"100111"	"2"	"2"	"0,59367,1,1187,8,1060,12,1060,14,1060"	
"10018"	"1"	"100111"	"2"	"2"	"0,63077,1,1261,8,1126,12,1126,14,1126"	
"10019"	"1"	"100111"	"2"	"2"	"0,66788,1,1335,8,1192,12,1192,14,1192"	
"10020"	"1"	"100111"	"2"	"2"	"0,70498,1,1409,8,1258,12,1258,14,1258"	
"10021"	"1"	"100111"	"3"	"3"	"0,74209,1,1484,8,1325,12,1325,14,1325"	
"10022"	"1"	"100111"	"3"	"3"	"0,77919,1,1558,8,1391,12,1391,14,1391"	
"10023"	"1"	"100111"	"3"	"3"	"0,81630,1,1632,8,1457,12,1457,14,1457"	
"10024"	"1"	"100111"	"3"	"3"	"0,85340,1,1706,8,1523,12,1523,14,1523"	
"10025"	"1"	"100111"	"3"	"3"	"0,89051,1,1781,8,1590,12,1590,14,1590"	
"10026"	"1"	"100111"	"3"	"3"	"0,92761,1,1855,8,1656,12,1656,14,1656"	
"10027"	"1"	"100111"	"3"	"3"	"0,96472,1,1929,8,1722,12,1722,14,1722"	
"10028"	"1"	"100111"	"3"	"3"	"0,100182,1,2003,8,1788,12,1788,14,1788"	
"10029"	"1"	"100111"	"3"	"3"	"0,103892,1,2077,8,1855,12,1855,14,1855"	
"10030"	"1"	"100111"	"3"	"3"	"0,107603,1,2152,8,1921,12,1921,14,1921"	
"10031"	"1"	"100111"	"3"	"3"	"0,111313,1,2226,8,1987,12,1987,14,1987"	
"10032"	"1"	"100111"	"3"	"3"	"0,115024,1,2300,8,2054,12,2054,14,2054"	
"10033"	"1"	"100111"	"3"	"3"	"0,118734,1,2374,8,2120,12,2120,14,2120"	
"10034"	"1"	"100111"	"3"	"3"	"0,122445,1,2448,8,2186,12,2186,14,2186"	
"10035"	"1"	"100111"	"4"	"4"	"0,126155,1,2523,8,2252,12,2252,14,2252"	
"10036"	"1"	"100111"	"4"	"4"	"0,129866,1,2597,8,2319,12,2319,14,2319"	
"10037"	"1"	"100111"	"4"	"4"	"0,133576,1,2671,8,2385,12,2385,14,2385"	
"10038"	"1"	"100111"	"4"	"4"	"0,137287,1,2745,8,2451,12,2451,14,2451"	
"10039"	"1"	"100111"	"4"	"4"	"0,140997,1,2819,8,2517,12,2517,14,2517"	
"10040"	"1"	"100111"	"4"	"4"	"0,144708,1,2894,8,2584,12,2584,14,2584"	
"10041"	"1"	"100111"	"4"	"4"	"0,148418,1,2968,8,2650,12,2650,14,2650"	
"10042"	"1"	"100111"	"4"	"4"	"0,152128,1,3042,8,2716,12,2716,14,2716"	
"10043"	"1"	"100111"	"4"	"4"	"0,155839,1,3116,8,2782,12,2782,14,2782"	
"10044"	"1"	"100111"	"4"	"4"	"0,159549,1,3190,8,2849,12,2849,14,2849"	
"10045"	"1"	"100111"	"5"	"5"	"0,163260,1,3265,8,2915,12,2915,14,2915"	
"10046"	"1"	"100111"	"5"	"5"	"0,166970,1,3339,8,2981,12,2981,14,2981"	
"10047"	"1"	"100111"	"5"	"5"	"0,170681,1,3413,8,3047,12,3047,14,3047"	
"10048"	"1"	"100111"	"5"	"5"	"0,174391,1,3487,8,3114,12,3114,14,3114"	
"10049"	"1"	"100111"	"5"	"5"	"0,178102,1,3562,8,3180,12,3180,14,3180"	
"10050"	"1"	"100111"	"5"	"5"	"0,181812,1,3636,8,3246,12,3246,14,3246"	
"10051"	"2"	"100121"	"2"	"2"	"0,185523,1,3710,8,3312,12,3312,14,3312"	
"10052"	"2"	"100121"	"2"	"2"	"0,189942,1,3798,8,3391,12,3391,14,3391"	
"10053"	"2"	"100121"	"2"	"2"	"0,194362,1,3887,8,3470,12,3470,14,3470"	
"10054"	"2"	"100121"	"2"	"2"	"0,198781,1,3975,8,3549,12,3549,14,3549"	
"10055"	"2"	"100121"	"2"	"2"	"0,203201,1,4064,8,3628,12,3628,14,3628"	
"10056"	"2"	"100121"	"2"	"2"	"0,207621,1,4152,8,3707,12,3707,14,3707"	
"10057"	"2"	"100121"	"2"	"2"	"0,212040,1,4240,8,3786,12,3786,14,3786"	
"10058"	"2"	"100121"	"2"	"2"	"0,216460,1,4329,8,3865,12,3865,14,3865"	
"10059"	"2"	"100121"	"2"	"2"	"0,220879,1,4417,8,3944,12,3944,14,3944"	
"10060"	"2"	"100121"	"2"	"2"	"0,225299,1,4505,8,4023,12,4023,14,4023"	
"10061"	"2"	"100121"	"2"	"2"	"0,229719,1,4594,8,4102,12,4102,14,4102"	
"10062"	"2"	"100121"	"2"	"2"	"0,234138,1,4682,8,4181,12,4181,14,4181"	
"10063"	"2"	"100121"	"2"	"2"	"0,238558,1,4771,8,4259,12,4259,14,4259"	
"10064"	"2"	"100121"	"2"	"2"	"0,242977,1,4859,8,4338,12,4338,14,4338"	
"10065"	"2"	"100121"	"3"	"3"	"0,247397,1,4947,8,4417,12,4417,14,4417"	
"10066"	"2"	"100121"	"3"	"3"	"0,251817,1,5036,8,4496,12,4496,14,4496"	
"10067"	"2"	"100121"	"3"	"3"	"0,256236,1,5124,8,4575,12,4575,14,4575"	
"10068"	"2"	"100121"	"3"	"3"	"0,260656,1,5213,8,4654,12,4654,14,4654"	
"10069"	"2"	"100121"	"3"	"3"	"0,265076,1,5301,8,4733,12,4733,14,4733"	
"10070"	"2"	"100121"	"3"	"3"	"0,269495,1,5389,8,4812,12,4812,14,4812"	
"10071"	"2"	"100121"	"3"	"3"	"0,273915,1,5478,8,4891,12,4891,14,4891"	
"10072"	"2"	"100121"	"3"	"3"	"0,278334,1,5566,8,4970,12,4970,14,4970"	
"10073"	"2"	"100121"	"3"	"3"	"0,282754,1,5655,8,5049,12,5049,14,5049"	
"10074"	"2"	"100121"	"3"	"3"	"0,287174,1,5743,8,5128,12,5128,14,5128"	
"10075"	"2"	"100121"	"3"	"3"	"0,291593,1,5831,8,5207,12,5207,14,5207"	
"10076"	"2"	"100121"	"3"	"3"	"0,296013,1,5920,8,5285,12,5285,14,5285"	
"10077"	"2"	"100121"	"3"	"3"	"0,300432,1,6008,8,5364,12,5364,14,5364"	
"10078"	"2"	"100121"	"3"	"3"	"0,304852,1,6097,8,5443,12,5443,14,5443"	
"10079"	"2"	"100121"	"3"	"3"	"0,309272,1,6185,8,5522,12,5522,14,5522"	
"10080"	"2"	"100121"	"3"	"3"	"0,313691,1,6273,8,5601,12,5601,14,5601"	
"10081"	"2"	"100121"	"3"	"3"	"0,318111,1,6362,8,5680,12,5680,14,5680"	
"10082"	"2"	"100121"	"4"	"4"	"0,322530,1,6450,8,5759,12,5759,14,5759"	
"10083"	"2"	"100121"	"4"	"4"	"0,326950,1,6539,8,5838,12,5838,14,5838"	
"10084"	"2"	"100121"	"4"	"4"	"0,331370,1,6627,8,5917,12,5917,14,5917"	
"10085"	"2"	"100121"	"4"	"4"	"0,335789,1,6715,8,5996,12,5996,14,5996"	
"10086"	"2"	"100121"	"4"	"4"	"0,340209,1,6804,8,6075,12,6075,14,6075"	
"10087"	"2"	"100121"	"4"	"4"	"0,344628,1,6892,8,6154,12,6154,14,6154"	
"10088"	"2"	"100121"	"4"	"4"	"0,349048,1,6980,8,6233,12,6233,14,6233"	
"10089"	"2"	"100121"	"4"	"4"	"0,353468,1,7069,8,6311,12,6311,14,6311"	
"10090"	"2"	"100121"	"4"	"4"	"0,357887,1,7157,8,6390,12,6390,14,6390"	
"10091"	"2"	"100121"	"4"	"4"	"0,362307,1,7246,8,6469,12,6469,14,6469"	
"10092"	"2"	"100121"	"4"	"4"	"0,366727,1,7334,8,6548,12,6548,14,6548"	
"10093"	"2"	"100121"	"4"	"4"	"0,371146,1,7422,8,6627,12,6627,14,6627"	
"10094"	"2"	"100121"	"4"	"4"	"0,375566,1,7511,8,6706,12,6706,14,6706"	
"10095"	"2"	"100121"	"5"	"5"	"0,379985,1,7599,8,6785,12,6785,14,6785"	
