"id"	"desc，在下面的状态中，是否可以加上右面的状态"	"group(0=无意义(不用),1=冲抵,2=免疫,3=共存)"	"硬直"	"眩晕（冻结）"	"霸体（免疫硬直，眩晕，减速）"	"小霸体（硬直免疫）"	"减速"	"可被打断buff（旋风斩等）"	"无冲抵buff"	"击退冲抵用buff"	"其他buff"	"公会buff用"	"龙域守护用"	"好友buff用"	"法宝"	"法宝"	"法宝"	"法宝"	"法宝"	
"id"	"desc"	"group"	"g0"	"g1"	"g2"	"g3"	"g4"	"g5"	"g6"	"g7"	"g8"	"g9"	"g10"	"g11"	"g12"	"g13"	"g14"	"g15"	"g16"	
"int"	"string"	"string"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	
"cs"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"硬直"	"g0"	"0"	"1"	"1"	"1"	"3"	"2"	"3"	"1"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	
"2"	"眩晕"	"g1"	"2"	"0"	"1"	"3"	"3"	"2"	"3"	"2"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	
"3"	"霸体"	"g2"	"2"	"2"	"0"	"2"	"2"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	
"4"	"小霸体"	"g3"	"2"	"3"	"1"	"0"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	
"5"	"减速"	"g4"	"3"	"3"	"1"	"3"	"0"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	
"6"	"可被打断buff"	"g5"	"1"	"1"	"3"	"3"	"3"	"0"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	
"7"	"无冲抵buff"	"g6"	"3"	"3"	"3"	"3"	"3"	"3"	"0"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	
"8"	"击退冲抵用buff"	"g7"	"2"	"1"	"3"	"3"	"3"	"3"	"3"	"0"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	
"9"	"其他buff"	"g8"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"0"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	
"10"	"公会buff用"	"g9"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"0"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	
"11"	"龙域守护用"	"g10"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"0"	"3"	"3"	"3"	"3"	"3"	"3"	
"12"	"好友buff用"	"g11"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"0"	"3"	"3"	"3"	"3"	"3"	
"13"	"法宝"	"g12"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"0"	"3"	"3"	"3"	"3"	
"14"	"法宝"	"g13"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"0"	"3"	"3"	"3"	
"15"	"法宝"	"g14"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"0"	"3"	"3"	
"16"	"法宝"	"g15"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"0"	"3"	
"17"	"法宝"	"g16"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"0"	
