"源道具id"	"源道具数量"	"目标道具id"	"互斥道具id"	"互斥类型id"	"互斥类型id"	""	
"srcitem_tid"	"srcitem_count"	"dstitem_tid"	"exclitem_tid"	"exclride_tid"	"exclpet_tid"	""	
"int"	"int"	"int"	"int"	"int"	"int"	""	
"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	""	
"510101"	"30"	"510001"	"510001"	""	"1001"	""	
"510102"	"30"	"510002"	"510002"	""	"1002"	""	
"510103"	"30"	"510003"	"510003"	""	"1003"	""	
"510104"	"30"	"510004"	"510004"	""	"1004"	""	
"510105"	"30"	"510005"	"510005"	""	"1005"	""	
"510106"	"30"	"510006"	"510006"	""	"1006"	""	
"510107"	"30"	"510007"	"510007"	""	"1007"	""	
"510108"	"30"	"510008"	"510008"	""	"1008"	""	
"510109"	"30"	"510009"	"510009"	""	"1009"	""	
"510110"	"30"	"510010"	"510010"	""	"1010"	""	
