"波数"	"生命比例"	"物理攻击力比例"	"物理防御力比例"	"魔法攻击力比例"	"魔法防御力比例"	"命中值比例"	"闪避值比例"	"暴击值比例"	"韧性值比例"	"穿透值比例"	"格挡值比例"	"暴击伤害值比例"	"暴击抵抗值比例"	"火抗比例"	"冰抗比例"	"电抗比例"	"毒抗比例"	
"id"	"attr_1"	"attr_2"	"attr_3"	"attr_4"	"attr_5"	"attr_6"	"attr_7"	"attr_8"	"attr_9"	"attr_10"	"attr_11"	"attr_12"	"attr_13"	"attr_14"	"attr_15"	"attr_16"	"attr_17"	
"int"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	
"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	
"1"	"6,1,1"	"8,1,1"	"10,1,1"	"9,1,1"	"11,1,1"	"12,1,1"	"14,1,1"	"16,1,1"	"18,1,1"	"20,1,1"	"22,1,1"	"24,1,1"	"26,1,1"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"2"	"6,1,1.09"	"8,1,1.07"	"10,1,1"	"9,1,1.07"	"11,1,1"	"12,1,1.04"	"14,1,1.04"	"16,1,1.04"	"18,1,1.04"	"20,1,1.04"	"22,1,1.04"	"24,1,1.04"	"26,1,1.04"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"3"	"6,1,1.18"	"8,1,1.14"	"10,1,1"	"9,1,1.14"	"11,1,1"	"12,1,1.08"	"14,1,1.08"	"16,1,1.08"	"18,1,1.08"	"20,1,1.08"	"22,1,1.08"	"24,1,1.08"	"26,1,1.08"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"4"	"6,1,1.28"	"8,1,1.23"	"10,1,1"	"9,1,1.23"	"11,1,1"	"12,1,1.12"	"14,1,1.12"	"16,1,1.12"	"18,1,1.12"	"20,1,1.12"	"22,1,1.12"	"24,1,1.12"	"26,1,1.12"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"5"	"6,1,1.39"	"8,1,1.31"	"10,1,1"	"9,1,1.31"	"11,1,1"	"12,1,1.17"	"14,1,1.17"	"16,1,1.17"	"18,1,1.17"	"20,1,1.17"	"22,1,1.17"	"24,1,1.17"	"26,1,1.17"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"6"	"6,1,1.5"	"8,1,1.4"	"10,1,1"	"9,1,1.4"	"11,1,1"	"12,1,1.22"	"14,1,1.22"	"16,1,1.22"	"18,1,1.22"	"20,1,1.22"	"22,1,1.22"	"24,1,1.22"	"26,1,1.22"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"7"	"6,1,1.63"	"8,1,1.5"	"10,1,1"	"9,1,1.5"	"11,1,1"	"12,1,1.27"	"14,1,1.27"	"16,1,1.27"	"18,1,1.27"	"20,1,1.27"	"22,1,1.27"	"24,1,1.27"	"26,1,1.27"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"8"	"6,1,1.77"	"8,1,1.61"	"10,1,1"	"9,1,1.61"	"11,1,1"	"12,1,1.32"	"14,1,1.32"	"16,1,1.32"	"18,1,1.32"	"20,1,1.32"	"22,1,1.32"	"24,1,1.32"	"26,1,1.32"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"9"	"6,1,1.92"	"8,1,1.72"	"10,1,1"	"9,1,1.72"	"11,1,1"	"12,1,1.37"	"14,1,1.37"	"16,1,1.37"	"18,1,1.37"	"20,1,1.37"	"22,1,1.37"	"24,1,1.37"	"26,1,1.37"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"10"	"6,1,2.08"	"8,1,1.84"	"10,1,1"	"9,1,1.84"	"11,1,1"	"12,1,1.42"	"14,1,1.42"	"16,1,1.42"	"18,1,1.42"	"20,1,1.42"	"22,1,1.42"	"24,1,1.42"	"26,1,1.42"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"11"	"6,1,2.26"	"8,1,1.97"	"10,1,1"	"9,1,1.97"	"11,1,1"	"12,1,1.48"	"14,1,1.48"	"16,1,1.48"	"18,1,1.48"	"20,1,1.48"	"22,1,1.48"	"24,1,1.48"	"26,1,1.48"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"12"	"6,1,2.45"	"8,1,2.1"	"10,1,1"	"9,1,2.1"	"11,1,1"	"12,1,1.54"	"14,1,1.54"	"16,1,1.54"	"18,1,1.54"	"20,1,1.54"	"22,1,1.54"	"24,1,1.54"	"26,1,1.54"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"13"	"6,1,2.66"	"8,1,2.25"	"10,1,1"	"9,1,2.25"	"11,1,1"	"12,1,1.6"	"14,1,1.6"	"16,1,1.6"	"18,1,1.6"	"20,1,1.6"	"22,1,1.6"	"24,1,1.6"	"26,1,1.6"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"14"	"6,1,2.89"	"8,1,2.41"	"10,1,1"	"9,1,2.41"	"11,1,1"	"12,1,1.67"	"14,1,1.67"	"16,1,1.67"	"18,1,1.67"	"20,1,1.67"	"22,1,1.67"	"24,1,1.67"	"26,1,1.67"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"15"	"6,1,3.13"	"8,1,2.58"	"10,1,1"	"9,1,2.58"	"11,1,1"	"12,1,1.73"	"14,1,1.73"	"16,1,1.73"	"18,1,1.73"	"20,1,1.73"	"22,1,1.73"	"24,1,1.73"	"26,1,1.73"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"16"	"6,1,3.4"	"8,1,2.76"	"10,1,1"	"9,1,2.76"	"11,1,1"	"12,1,1.8"	"14,1,1.8"	"16,1,1.8"	"18,1,1.8"	"20,1,1.8"	"22,1,1.8"	"24,1,1.8"	"26,1,1.8"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"17"	"6,1,3.69"	"8,1,2.95"	"10,1,1"	"9,1,2.95"	"11,1,1"	"12,1,1.87"	"14,1,1.87"	"16,1,1.87"	"18,1,1.87"	"20,1,1.87"	"22,1,1.87"	"24,1,1.87"	"26,1,1.87"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"18"	"6,1,4"	"8,1,3.16"	"10,1,1"	"9,1,3.16"	"11,1,1"	"12,1,1.95"	"14,1,1.95"	"16,1,1.95"	"18,1,1.95"	"20,1,1.95"	"22,1,1.95"	"24,1,1.95"	"26,1,1.95"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"19"	"6,1,4.34"	"8,1,3.38"	"10,1,1"	"9,1,3.38"	"11,1,1"	"12,1,2.03"	"14,1,2.03"	"16,1,2.03"	"18,1,2.03"	"20,1,2.03"	"22,1,2.03"	"24,1,2.03"	"26,1,2.03"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"20"	"6,1,4.71"	"8,1,3.62"	"10,1,1"	"9,1,3.62"	"11,1,1"	"12,1,2.11"	"14,1,2.11"	"16,1,2.11"	"18,1,2.11"	"20,1,2.11"	"22,1,2.11"	"24,1,2.11"	"26,1,2.11"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"21"	"6,1,5.11"	"8,1,3.87"	"10,1,1"	"9,1,3.87"	"11,1,1"	"12,1,2.19"	"14,1,2.19"	"16,1,2.19"	"18,1,2.19"	"20,1,2.19"	"22,1,2.19"	"24,1,2.19"	"26,1,2.19"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"22"	"6,1,5.55"	"8,1,4.14"	"10,1,1"	"9,1,4.14"	"11,1,1"	"12,1,2.28"	"14,1,2.28"	"16,1,2.28"	"18,1,2.28"	"20,1,2.28"	"22,1,2.28"	"24,1,2.28"	"26,1,2.28"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"23"	"6,1,6.02"	"8,1,4.43"	"10,1,1"	"9,1,4.43"	"11,1,1"	"12,1,2.37"	"14,1,2.37"	"16,1,2.37"	"18,1,2.37"	"20,1,2.37"	"22,1,2.37"	"24,1,2.37"	"26,1,2.37"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"24"	"6,1,6.53"	"8,1,4.74"	"10,1,1"	"9,1,4.74"	"11,1,1"	"12,1,2.46"	"14,1,2.46"	"16,1,2.46"	"18,1,2.46"	"20,1,2.46"	"22,1,2.46"	"24,1,2.46"	"26,1,2.46"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"25"	"6,1,7.08"	"8,1,5.07"	"10,1,1"	"9,1,5.07"	"11,1,1"	"12,1,2.56"	"14,1,2.56"	"16,1,2.56"	"18,1,2.56"	"20,1,2.56"	"22,1,2.56"	"24,1,2.56"	"26,1,2.56"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
"26"	"6,1,7.69"	"8,1,5.43"	"10,1,1"	"9,1,5.43"	"11,1,1"	"12,1,2.67"	"14,1,2.67"	"16,1,2.67"	"18,1,2.67"	"20,1,2.67"	"22,1,2.67"	"24,1,2.67"	"26,1,2.67"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	
