"次数(最大127次，需要扩充找程序)"	"家园任务购买次数花费"	"家园任务购买次数花费"	"魔王本购买次数花费"	"华山论剑购买次数花费"	"单人首领购买次数花费"	"龙域守护购买次数花费"	"华山论剑购买次数花费道具"	"单人首领购买次数花费道具"	"叱咤王府购买次数花费道具"	"叱咤王府购买次数花费道具"	"叱咤王府购买次数花费道具"	"叱咤王府购买次数花费道具"	"跨服组队200购买次数花费道具"	"跨服组队240购买次数花费道具"	"跨服组队280购买次数花费道具"	"跨服组队300购买次数花费道具"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"count"	"home_quest"	"guild_quest"	"mowang"	"warlord"	"darkarena"	"dragon_guard"	"warlord_useitem"	"darkarena_useitem"	"mowang40_useitem"	"mowang80_useitem"	"mowang120_useitem"	"mowang160_useitem"	"mowang200_useitem"	"mowang240_useitem"	"mowang280_useitem"	"mowang300_useitem"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1"	"10"	"10"	"50"	"20"	"50"	"50"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"10"	"10"	"100"	"20"	"100"	"50"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"10"	"10"	"150"	"20"	"150"	"100"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"10"	"10"	"200"	"20"	"200"	"100"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"10"	"10"	"250"	"20"	"250"	"100"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	"20"	"20"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	"20"	"20"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8"	"20"	"20"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9"	"20"	"20"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10"	"20"	"20"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"13"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"14"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"15"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"16"	"100"	"100"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"17"	"100"	"100"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"18"	"100"	"100"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"19"	"100"	"100"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20"	"100"	"100"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21"	"200"	"200"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"22"	"200"	"200"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"23"	"200"	"200"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"24"	"200"	"200"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"25"	"200"	"200"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26"	"200"	"200"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"27"	"200"	"200"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"28"	"200"	"200"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"29"	"200"	"200"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"30"	"200"	"200"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"31"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"32"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"33"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"34"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"35"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"36"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"37"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"38"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"39"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"40"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"41"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"42"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"43"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"44"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"45"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"46"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"47"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"48"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"49"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"50"	"300"	"300"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"51"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"52"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"53"	"50"	"50"	"300"	"20"	"300"	"200"	"100051"	"100052"	"100053"	"100054"	"100055"	"100056"	"100073"	"100077"	"100078"	"100079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
