"ID"	"术门觉醒名称"	"对应术门"	"图标(战士)"	"图标(弓手)"	"图标(法师)"	"激活的勇者试炼波数"	"特殊属性的解锁等级Lv1"	"特殊属性的解锁等级Lv2"	"可升级等级上限"	"基础属性"	"Lv1等级解锁效果2"	"Lv2等级解锁效果2"	
"id"	"name"	"equip_index"	"icon"	"icon1"	"icon2"	"activate_round"	"unlock_level"	"unlock_level2"	"max_level"	"effect_1"	"effect_2"	"effect_3"	
"int"	"string"	"int"	"string[]"	"string[]"	"string[]"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	
"cs"	"cl"	"cs"	"c"	"c"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"武器术门觉醒"	"0"	"baoshishumen_jpg,9"	"baoshishumen_jpg,11"	"baoshishumen_jpg,10"	"1"	"15"	"40"	"60"	"1"	"9"	"17"	
"2"	"头盔术门觉醒"	"1"	"baoshishumen_jpg,8"	"baoshishumen_jpg,8"	"baoshishumen_jpg,8"	"10"	"20"	"45"	"60"	"2"	"10"	"18"	
"3"	"护肩术门觉醒"	"2"	"baoshishumen_jpg,7"	"baoshishumen_jpg,7"	"baoshishumen_jpg,7"	"15"	"25"	"45"	"60"	"3"	"11"	"19"	
"4"	"铠甲术门觉醒"	"3"	"baoshishumen_jpg,6"	"baoshishumen_jpg,6"	"baoshishumen_jpg,6"	"20"	"30"	"50"	"60"	"4"	"12"	"20"	
"5"	"护腿术门觉醒"	"4"	"baoshishumen_jpg,2"	"baoshishumen_jpg,2"	"baoshishumen_jpg,2"	"25"	"35"	"50"	"60"	"5"	"13"	"21"	
"6"	"项链术门觉醒"	"5"	"baoshishumen_jpg,3"	"baoshishumen_jpg,3"	"baoshishumen_jpg,3"	"30"	"40"	"55"	"60"	"6"	"14"	"22"	
"7"	"戒指术门觉醒"	"6"	"baoshishumen_jpg,5"	"baoshishumen_jpg,5"	"baoshishumen_jpg,5"	"35"	"45"	"55"	"60"	"7"	"15"	"23"	
"8"	"护符术门觉醒"	"7"	"baoshishumen_jpg,4"	"baoshishumen_jpg,4"	"baoshishumen_jpg,4"	"40"	"50"	"60"	"60"	"8"	"16"	"24"	
