"ID(侍从ID的100倍加职责ID)"	"策划备注"	"攻击距离，估量值因算法原因，这个估量值应比射程最近的技能还要更近一些，近战少0.5以上，远程少1以上"	"治疗距离估量值"	"索敌距离"	"避战血量"	"活动范围半径"	"视野范围"	
"id"	"describe"	"attackRange"	"cureRange"	"scopeRange"	"escapeHP"	"ActiveRange"	"ViewRange"	
"int"	"string"	"float"	"float"	"float"	"float"	"float"	"float"	
"cs"	""	"s"	"s"	"s"	"cs"	"s"	"s"	
"10400101"	"容止AI1"	"4.000000"	"4.000000"	"20.000000"	"0.150000"	"10.000000"	"30.000000"	
"10400102"	"容止AI2"	"4.000000"	"4.000000"	"20.000000"	"0.150000"	"10.000000"	"30.000000"	
"10400103"	"容止AI3"	"4.000000"	"4.000000"	"20.000000"	"0.150000"	"10.000000"	"30.000000"	
"10400201"	"楚玉AI1"	"11.000000"	"11.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10400202"	"楚玉AI2"	"11.000000"	"11.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10400203"	"楚玉AI3"	"11.000000"	"11.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10300301"	"花错AI1"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10300302"	"花错AI2"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10300303"	"花错AI3"	"1.800000"	"1.800000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10300401"	"天如镜AI1"	"11.000000"	"11.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10300402"	"天如镜AI2"	"11.000000"	"11.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10300403"	"天如镜AI3"	"11.000000"	"11.000000"	"20.000000"	"0.200000"	"10.000000"	"30.000000"	
"10400501"	"花木兰AI1"	"4.000000"	"4.000000"	"20.000000"	"0.100000"	"10.000000"	"30.000000"	
"10400502"	"花木兰AI2"	"4.000000"	"4.000000"	"20.000000"	"0.100000"	"10.000000"	"30.000000"	
"10400503"	"花木兰AI3"	"4.000000"	"4.000000"	"20.000000"	"0.100000"	"10.000000"	"30.000000"	
