"节点ID唯一性标示，暂时无逻辑使用"	"阶段图集"	"阶段图片"	"节点隶属阶"	"最大阶所有行都应该一样"	"阶内数量涉及前端显示，不能随便填目前仅支持4、6、8、10"	"所有节点顺序"	"转剑BuffID阶内最后一个才有Buff-1表示没有区分职业，仅转剑有效"	"天威BuffID阶内最后一个才有Buff-1表示没有区分职业，仅天威有效"	"云锦BuffID阶内最后一个才有Buff-1表示没有区分职业，仅云锦有效"	"道具1数量"	"道具1数量"	"单次修炼获得能量基础值"	"能量随机范围作为系数直接乘给基础值1代表100%，0.1代表90%"	"暴击率，暴击倍数"	"当前阶段坐骑突破所需总能量数量"	"该节点属性"	
"id"	"imageSet"	"icon"	"group"	"max_group"	"num_of_group"	"order"	"buff_zhuanjian"	"buff_tianwei"	"buff_yunjin"	"item1"	"item1_num"	"power_single"	"power_rand"	"power_strike"	"power_need"	"attr"	
"int"	"string"	"string"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"float[2]"	"float[2]"	"int"	"int[]"	
"cs"	"c"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"s"	"s"	"s"	"cs"	"cs"	
"100000"	"shenqiname"	"+1"	"1"	"9"	"4"	"0"	"-1"	"-1"	"-1"	"100076"	"2"	"75"	"0.8,1.2"	"0.3,2.5"	"300"	"0,0,1,0,2,0,8,0,10,0,12,0,14,0,16,0,18,0"	
"100010"	"shenqiname"	"+1"	"1"	"9"	"4"	"1"	"-1"	"-1"	"-1"	"100076"	"2"	"75"	"0.8,1.2"	"0.3,2.5"	"300"	"0,0,1,72,2,0,8,13,10,0,12,0,14,0,16,0,18,0"	
"100020"	"shenqiname"	"+1"	"1"	"9"	"4"	"2"	"-1"	"-1"	"-1"	"100076"	"2"	"75"	"0.8,1.2"	"0.3,2.5"	"300"	"0,2170,1,72,2,0,8,13,10,13,12,0,14,0,16,0,18,0"	
"100030"	"shenqiname"	"+1"	"1"	"9"	"4"	"3"	"-1"	"-1"	"-1"	"100076"	"2"	"75"	"0.8,1.2"	"0.3,2.5"	"300"	"0,2170,1,72,2,108,8,13,10,13,12,13,14,0,16,0,18,0"	
"100040"	"shenqiname"	"+1"	"1"	"9"	"4"	"4"	"19011010"	"19012010"	"19013010"	"100076"	"3"	"75"	"0.8,1.2"	"0.3,2.5"	"600"	"0,2170,1,144,2,108,8,13,10,13,12,13,14,13,16,0,18,0"	
"200010"	"shenqiname"	"+2"	"2"	"9"	"6"	"1"	"-1"	"-1"	"-1"	"100076"	"3"	"75"	"0.8,1.2"	"0.3,2.5"	"600"	"0,8682,1,144,2,108,8,13,10,13,12,13,14,13,16,39,18,0"	
"200020"	"shenqiname"	"+2"	"2"	"9"	"6"	"2"	"-1"	"-1"	"-1"	"100076"	"3"	"75"	"0.8,1.2"	"0.3,2.5"	"600"	"0,8682,1,361,2,108,8,13,10,13,12,13,14,13,16,39,18,39"	
