"免疫组id（对应AuraImmuneConfig表中group列）"	"角色组"	"控制时间减免上限"	""	""	""	""	""	""	""	""	""	
"id"	"desc"	"controlresistance"	""	""	""	""	""	""	""	""	""	
"int"	"string"	"float"	""	""	""	""	""	""	""	""	""	
"s"	"s"	"s"	""	""	""	""	""	""	""	""	""	
"0"	"玩家职业0"	"0.500000"	""	""	""	""	""	""	""	""	""	
"1"	"玩家职业1"	"0.500000"	""	""	""	""	""	""	""	""	""	
"2"	"玩家职业2"	"0.500000"	""	""	""	""	""	""	""	""	""	
"10"	"小怪"	"0.500000"	""	""	""	""	""	""	""	""	""	
"11"	"精英小怪"	"0.500000"	""	""	""	""	""	""	""	""	""	
"12"	"小怪2"	"0.500000"	""	""	""	""	""	""	""	""	""	
"13"	"不硬直小怪"	"0.500000"	""	""	""	""	""	""	""	""	""	
"100"	"boss"	"0.500000"	""	""	""	""	""	""	""	""	""	
"101"	"不吃控boss"	"0.500000"	""	""	""	""	""	""	""	""	""	
"102"	"不吃减速boss"	"0.500000"	""	""	""	""	""	""	""	""	""	
"103"	"魔王boss"	"0.500000"	""	""	""	""	""	""	""	""	""	
"104"	"野外boss"	"0.500000"	""	""	""	""	""	""	""	""	""	
