"id"	"名字"	"自动激活等级"	"所在地图"	"坐标"	"朝向"	"静物id(索引到CreatureType表)"	""	""	""	""	""	
"id"	"name"	"autoActiveLevel"	"map"	"position"	"direction"	"staticobj"	""	""	""	""	""	
"int"	"string"	"int"	"int"	"float[3]"	"float"	"int"	""	""	""	""	""	
"cs"	"csl"	"cs"	"cs"	"cs"	"cs"	"cs"	""	""	""	""	""	
"1"	"公主府后山"	"1"	"1001"	"185.61,45.04,54.74"	"0.000000"	"513"	""	""	""	""	""	
"2"	"建康"	"25"	"1002"	"288.9,40.0,228.1"	"0.000000"	"513"	""	""	""	""	""	
"3"	"会稽"	"40"	"1003"	"438.8,39.8,273.8"	"0.000000"	"513"	""	""	""	""	""	
"4"	"洛阳"	"120"	"1004"	"358.4,11.3,47.9"	"0.000000"	"502"	""	""	""	""	""	
"5"	"烟云一"	"50"	"2070"	"207.8,23,215.6"	"0.000000"	"502"	""	""	""	""	""	
"6"	"烟云二"	"100"	"2071"	"207.8,23,215.6"	"0.000000"	"502"	""	""	""	""	""	
"7"	"烟云三"	"140"	"2072"	"207.8,23,215.6"	"0.000000"	"502"	""	""	""	""	""	
"8"	"烟云四"	"180"	"2073"	"207.8,23,215.6"	"0.000000"	"502"	""	""	""	""	""	
"9"	"烟云五"	"220"	"2074"	"207.8,23,215.6"	"0.000000"	"502"	""	""	""	""	""	
"10"	"三十六岗"	"1"	"1005"	"152.1,14.9,45.2"	"0.000000"	"513"	""	""	""	""	""	
"11"	"公主府别院"	"1"	"1001"	"115.8,51.6,62.8"	""	"513"	""	""	""	""	""	
"12"	"千秋城"	"150"	"1006"	"201.2,72.9,258.0"	"0.000000"	"513"	""	""	""	""	""	
