"id"	"个人积分上限"	"个人积分下限"	"完成次数上限"	"完成次数下限"	"匹配积分上限"	"匹配积分下限"	"匹配扩大间隔"	"匹配积分扩大值"	"匹配等级扩大值"	"匹配等级扩大次数上限"	"获得积分上限"	"获胜时胜率"	"失败时胜率"	"平局时胜率"	"是否减分"	"奖励1"	"奖励2"	"奖励3"	"奖励4"	"奖励5"	"每日奖励次数"	"首胜奖励倍率"	
"id"	"max_point"	"min_point"	"max_compete_num"	"min_compete_num"	"max_match_point"	"min_match_point"	"match_inc_second"	"match_inc_point"	"match_inc_level"	"match_inc_level_count"	"max_gain_point"	"win_rate"	"lose_rate"	"draw_rate"	"is_dec_point"	"prize_1"	"prize_2"	"prize_3"	"prize_4"	"prize_5"	"prize_times"	"first_win_rate"	
"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"float"	"float"	"float"	"bool"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int"	"int"	
"cs"	"cs"	"cs"	"cs"	"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1199"	"0"	""	""	"1300"	"0"	"20"	"100"	"4"	"10"	"60"	"1.400000"	"0.000000"	"0.500000"	"1"	"100001,10000"	"100014,1000"	""	""	""	"10"	"2"	
"2"	"1499"	"1200"	""	""	"1600"	"1000"	"20"	"100"	"4"	"10"	"55"	"1.400000"	"-0.100000"	"0.500000"	"1"	"100001,10000"	"100014,1000"	""	""	""	"10"	"2"	
"3"	"1799"	"1500"	""	""	"1900"	"1300"	"20"	"100"	"4"	"10"	"50"	"1.300000"	"-0.200000"	"0.500000"	"1"	"100001,10000"	"100014,1000"	""	""	""	"10"	"2"	
"4"	"1999"	"1800"	""	""	"2200"	"1600"	"20"	"100"	"4"	"10"	"45"	"1.300000"	"-0.300000"	"0.500000"	"1"	"100001,10000"	"100014,1000"	""	""	""	"10"	"2"	
"5"	"2199"	"2000"	""	""	"2500"	"1900"	"20"	"100"	"4"	"10"	"40"	"1.200000"	"-0.200000"	"0.500000"	"1"	"100001,10000"	"100014,1000"	""	""	""	"10"	"2"	
"6"	"2399"	"2200"	""	""	"2800"	"2200"	"20"	"100"	"4"	"10"	"30"	"1.100000"	"-0.300000"	"0.500000"	"1"	"100001,10000"	"100014,1000"	""	""	""	"10"	"2"	
"7"	"2599"	"2400"	""	""	"3100"	"2500"	"20"	"100"	"4"	"10"	"25"	"1.000000"	"-0.300000"	"0.500000"	"1"	"100001,10000"	"100014,1000"	""	""	""	"10"	"2"	
"8"	"2799"	"2600"	""	""	"3400"	"2800"	"20"	"100"	"4"	"10"	"20"	"0.900000"	"-0.300000"	"0.500000"	"1"	"100001,10000"	"100014,1000"	""	""	""	"10"	"2"	
"9"	"2899"	"2800"	""	""	"3700"	"3100"	"20"	"100"	"4"	"10"	"15"	"0.800000"	"-0.300000"	"0.500000"	"1"	"100001,10000"	"100014,1000"	""	""	""	"10"	"2"	
"10"	"2999"	"2900"	""	""	"4000"	"3400"	"20"	"100"	"4"	"10"	"10"	"0.700000"	"-0.300000"	"0.500000"	"1"	"100001,10000"	"100014,1000"	""	""	""	"10"	"2"	
"11"	"6000"	"3000"	""	""	"4300"	"3700"	"20"	"100"	"4"	"10"	"10"	"0.600000"	"-0.300000"	"0.500000"	"1"	"100001,10000"	"100014,1000"	""	""	""	"10"	"2"	
