"ID,40000-44999给骑龙和龙的技能，45000到45999给坐骑"	"名称"	"描述"	"描述参数"	"图集ID"	"图标ID"	"是否显示图标"	"友好度0=良性,1=负面,2=中立"	"由Magic对象管理"	"切换场景结束"	"死亡结束"	"下线结束"	"下线计时"	"下龙消失(用于控制龙主动技能产生的buff)"	"组ID，注意如果是光环的话，代表被光环笼罩产生的buff的组"	"组中优先级0为最低"	"同id共存方式0=叠加,1=冲抵,2=免疫,3=共存(只用于龙的被动技)4=刷新已存的buff时间"	"光环标志0x01=可叠加，0x02=他人不可见"	"默认叠加层数"	"叠加层数上限"	"光环目标1=单体；2=敌人；4=友军；8=中立"	"光环持续时间"	"光环生效半径只对光环类型是计时型的起作用。次数型光环均是个人光环。"	"光环更新时间光环刷新时只修改目标列表"	"是否为限制效果"	"效果1ID"	"效果2ID"	"效果3ID"	"效果4ID"	"效果5ID"	"效果6ID"	"客户端效果"	"生效场景--不配表示所有场景中生效--否则仅在配置场景中生效"	"效果添加对象5：人2：dummy4：马"	"状态分类0=无1=定身状态2=中毒状态3=眩晕状态4=缓速状态"	"客户端效果是否叠加如果光环是多层的，那么表现效果是否按照层数叠加"	
"id"	"name"	"desc"	"descPara"	"iconGroup"	"icon"	"isIconDisplay"	"friendlyLevel"	"managerByMagic"	"isendSceneSwitch"	"isendDeath"	"isendOffline"	"isOfflineTiming"	"isendStopSummon"	"groupID"	"groupPriority"	"liveStyle"	"flags"	"defaultLayers"	"maxLayers"	"auraTarget"	"auraTime"	"auraRadius"	"auraUpdateTime"	"isAstrictEffect"	"effectID1"	"effectID2"	"effectID3"	"effectID4"	"effectID5"	"effectID6"	"ClientEffect"	"validStages"	"EffectTarget"	"type"	"ClientEffectOverlying"	
"int"	"string"	"string"	"string"	"string"	"string"	"bool"	"int"	"bool"	"bool"	"bool"	"bool"	"bool"	"bool"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"float"	"int"	"bool"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int[]"	"int"	"int"	"bool"	
"cs"	"cl"	"cl"	"c"	"c"	"c"	"c"	"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"cs"	"s"	"cs"	"s"	"cs"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"s"	"c"	"cs"	"c"	
"1"	"击退冲抵用光环"	"击退时添加此光环，用于冲抵掉正在使用的光环技能"	""	""	""	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"7"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"3"	"破甲动作8秒"	"破甲动作"	""	""	""	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"1"	"8000"	"0.000000"	"1000"	"0"	"1"	"4"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"4"	"破甲减甲"	"破甲状态"	""	""	""	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"8"	"0"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"100"	"101"	"0"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"5"	"不可被攻击永久无表现"	"不可被攻击永久无表现"	""	""	""	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"8"	"0"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"3"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"10"	"光环表现库。详见单元格备注"	"不可被攻击永久无表现"	""	""	""	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"0"	"1"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"11"	"减速1"	"脚下黄色光圈"	""	"BuffAtlas"	"newbuff24"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"4"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1001"	""	"5"	"4"	"0"	
"12"	"减速冰"	"脚下蓝色光圈"	""	"BuffAtlas"	"newbuff47"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"4"	"1000"	"1"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1002"	""	"5"	"4"	"0"	
