"英雄ID"	"英雄名称"	"技能ID（对应HeroCardConfig表id列）"	"技能名称备注（策划用）"	"英雄品质颜色(0=白，1=绿，2=蓝，3=紫，4=金，5=橙)"	"被动BUFFID（对应AuraConfig表id列，每级助战阶级对应一个BUFFID）"	"英雄武魂（对应HeroSpirit表id列）"	"英雄描述"	"英雄碎片ID"	"英雄升星所需碎片数量(第一个数据为合成英雄所需碎片数量)"	"1星英雄附加属性（填总属性值，而非差值）"	"2星英雄附加属性"	"3星英雄附加属性"	"4星英雄附加属性"	"5星英雄附加属性"	"英雄名称图片（图集，图片名）"	"英雄头像图片（图集，图片名）"	"模型ID"	"模型缩放"	"英雄选中时展示动作（act文件名）"	"获得英雄时名称图片（图集，图片名）"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"id"	"hero_name"	"skill_id"	"skill_name"	"color"	"passive_skill_id"	"hero_spirit"	"description"	"hero_pieces"	"pieces_req"	"attr_star1"	"attr_star2"	"attr_star3"	"attr_star4"	"attr_star5"	"hero_name_pic"	"hero_icon_pic"	"avatar_id"	"model_scale"	"hero_act_select"	"gethero_name_pic"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"string"	"int[3]"	"string"	"int"	"int[]"	"int[]"	"string"	"int"	"int[5]"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"string[]"	"string[]"	"int"	"float"	"string"	"string[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cl"	"cs"	"c"	"cs"	"cs"	"cs"	"cl"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"c"	"c"	"c"	"c"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1"	"郭靖"	"1,2,3"	"郭靖技能1，郭靖技能2，郭靖技能3"	"4"	"25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100"	"100401,100402,100403,100404,100405"	"群体伤害，控制"	"800011"	"50,40,50,70,100"	"0,36461,1,2279,2,1519"	"0,65629,1,4102,2,2735"	"0,97229,1,6077,2,4051"	"0,160428,1,10027,2,6684"	"0,243072,1,15192,2,10128"	"hero_name,guojing"	"head_hero_png,head_guojing"	"11017001"	"2.3"	"heroman_gj_zhanshi.act.txt"	"getnewitem,hero_guojing"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"一灯大师"	"4,5,6"	"一灯技能1，一灯技能2，一灯技能3"	"4"	"25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100"	"100401,100402,100403,100404,100405"	"单体伤害，控制"	"800021"	"50,40,50,70,100"	"0,36461,1,2279,2,1519"	"0,65629,1,4102,2,2735"	"0,97229,1,6077,2,4051"	"0,160428,1,10027,2,6684"	"0,243072,1,15192,2,10128"	"hero_name,yideng"	"head_hero_png,head_yideng"	"11044001"	"2.3"	"heroman_ydds_zhanshi.act.txt"	"getnewitem,hero_yideng"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"周伯通"	"7,8,9"	"周伯通技能1，周伯通技能2，周伯通技能3"	"4"	"25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100"	"100401,100402,100403,100404,100405"	"辅助，控制，治疗"	"800031"	"50,40,50,70,100"	"0,36461,1,2279,2,1519"	"0,65629,1,4102,2,2735"	"0,97229,1,6077,2,4051"	"0,160428,1,10027,2,6684"	"0,243072,1,15192,2,10128"	"hero_name,zhoubotong"	"head_hero_png,head_zhoubotong"	"11016001"	"2.3"	"heroman_zbt_zhanshi.act.txt"	"getnewitem,hero_zhoubotong"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"黄蓉"	"10,11,12"	"兰花拂穴手，横打双獒，漫天花雨"	"3"	"25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100"	"100301,100302,100303,100304,100305"	"群体伤害，控制"	"800041"	"50,40,50,70,100"	"0,14584,1,810,2,405"	"0,35002,1,1945,2,972"	"0,58337,1,3241,2,1620"	"0,96257,1,5348,2,2674"	"0,145843,1,8102,2,4051"	"hero_name,huangrong"	"head_hero_png,head_huangrong"	"11107001"	"2.3"	"herowoman_hr_zhanshi.act.txt"	"getnewitem,hero_huangrong"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"丘处机"	"13,14,15"	"剑指丹阳，天罡北斗，斗转星移"	"3"	"25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100"	"100301,100302,100303,100304,100305"	"辅助，治疗，群体伤害"	"800051"	"50,40,50,70,100"	"0,14584,1,810,2,405"	"0,35002,1,1945,2,972"	"0,58337,1,3241,2,1620"	"0,96257,1,5348,2,2674"	"0,145843,1,8102,2,4051"	"hero_name,qiuchuji"	"head_hero_png,head_qiuchuji"	"11011001"	"2.3"	"heroman_qcj_zhanshi.act.txt"	"getnewitem,hero_qiuchuji"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	"欧阳克"	"16,17,18"	"瞬息千里，神陀铁扇，灵蛇吐息"	"3"	"25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100"	"100301,100302,100303,100304,100305"	"单体伤害，持续伤害"	"800061"	"50,40,50,70,100"	"0,14584,1,810,2,405"	"0,35002,1,1945,2,972"	"0,58337,1,3241,2,1620"	"0,96257,1,5348,2,2674"	"0,145843,1,8102,2,4051"	"hero_name,ouyangke"	"head_hero_png,head_ouyangke"	"11024001"	"2.3"	"heroman_oyk_zhanshi.act.txt"	"getnewitem,hero_ouyangke"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	"梅超风"	"19,20,21"	"九阴白骨爪，幽冥鬼爪，移魂大法"	"3"	"25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100,25000100"	"100301,100302,100303,100304,100305"	"控制，单体伤害"	"800071"	"50,40,50,70,100"	"0,14584,1,810,2,405"	"0,35002,1,1945,2,972"	"0,58337,1,3241,2,1620"	"0,96257,1,5348,2,2674"	"0,145843,1,8102,2,4051"	"hero_name,meichaofeng"	"head_hero_png,head_meichaofeng"	"11108001"	"2.3"	"herowoman_mcf_zhanshi.act.txt"	"getnewitem,hero_meichaofeng"	""	""	""	""	""	""	""	""	""	""	""	""	""	
