"层数"	"生命比例"	"物理攻击力比例"	"物理防御力比例"	"魔法攻击力比例"	"魔法防御力比例"	"命中值比例"	"闪避值比例"	"暴击值比例"	"韧性值比例"	"穿透值比例"	"格挡值比例"	"暴击伤害值比例"	"暴击抵抗值比例"	"火抗比例"	"冰抗比例"	"电抗比例"	"毒抗比例"	""	""	""	""	
"id"	"attr_1"	"attr_2"	"attr_3"	"attr_4"	"attr_5"	"attr_6"	"attr_7"	"attr_8"	"attr_9"	"attr_10"	"attr_11"	"attr_12"	"attr_13"	"attr_14"	"attr_15"	"attr_16"	"attr_17"	""	""	""	""	
"int"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	""	""	""	""	
"cs"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	""	""	""	""	
"1"	"6,1,1"	"8,1,1"	"10,1,1"	"9,1,1"	"11,1,1"	"12,1,1"	"14,1,1"	"16,1,1"	"18,1,1"	"20,1,1"	"22,1,1"	"24,1,1"	"26,1,1"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"2"	"6,1,1.1"	"8,1,1.07"	"10,1,1"	"9,1,1.07"	"11,1,1"	"12,1,1.04"	"14,1,1.04"	"16,1,1.04"	"18,1,1.04"	"20,1,1.04"	"22,1,1.04"	"24,1,1.04"	"26,1,1.04"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"3"	"6,1,1.28"	"8,1,1.14"	"10,1,1"	"9,1,1.14"	"11,1,1"	"12,1,1.08"	"14,1,1.08"	"16,1,1.08"	"18,1,1.08"	"20,1,1.08"	"22,1,1.08"	"24,1,1.08"	"26,1,1.08"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"4"	"6,1,1.52"	"8,1,1.23"	"10,1,1"	"9,1,1.23"	"11,1,1"	"12,1,1.12"	"14,1,1.12"	"16,1,1.12"	"18,1,1.12"	"20,1,1.12"	"22,1,1.12"	"24,1,1.12"	"26,1,1.12"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"5"	"6,1,1.8"	"8,1,1.31"	"10,1,1"	"9,1,1.31"	"11,1,1"	"12,1,1.17"	"14,1,1.17"	"16,1,1.17"	"18,1,1.17"	"20,1,1.17"	"22,1,1.17"	"24,1,1.17"	"26,1,1.17"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"6"	"6,1,2.12"	"8,1,1.4"	"10,1,1"	"9,1,1.4"	"11,1,1"	"12,1,1.22"	"14,1,1.22"	"16,1,1.22"	"18,1,1.22"	"20,1,1.22"	"22,1,1.22"	"24,1,1.22"	"26,1,1.22"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"7"	"6,1,2.48"	"8,1,1.5"	"10,1,1"	"9,1,1.5"	"11,1,1"	"12,1,1.27"	"14,1,1.27"	"16,1,1.27"	"18,1,1.27"	"20,1,1.27"	"22,1,1.27"	"24,1,1.27"	"26,1,1.27"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"8"	"6,1,2.86"	"8,1,1.61"	"10,1,1"	"9,1,1.61"	"11,1,1"	"12,1,1.32"	"14,1,1.32"	"16,1,1.32"	"18,1,1.32"	"20,1,1.32"	"22,1,1.32"	"24,1,1.32"	"26,1,1.32"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"9"	"6,1,3.27"	"8,1,1.72"	"10,1,1"	"9,1,1.72"	"11,1,1"	"12,1,1.37"	"14,1,1.37"	"16,1,1.37"	"18,1,1.37"	"20,1,1.37"	"22,1,1.37"	"24,1,1.37"	"26,1,1.37"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"10"	"6,1,3.71"	"8,1,1.84"	"10,1,1"	"9,1,1.84"	"11,1,1"	"12,1,1.42"	"14,1,1.42"	"16,1,1.42"	"18,1,1.42"	"20,1,1.42"	"22,1,1.42"	"24,1,1.42"	"26,1,1.42"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"11"	"6,1,4.18"	"8,1,1"	"10,1,1"	"9,1,1"	"11,1,1"	"12,1,1"	"14,1,1"	"16,1,1"	"18,1,1"	"20,1,1"	"22,1,1"	"24,1,1"	"26,1,1"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"12"	"6,1,4.67"	"8,1,1.07"	"10,1,1"	"9,1,1.07"	"11,1,1"	"12,1,1.04"	"14,1,1.04"	"16,1,1.04"	"18,1,1.04"	"20,1,1.04"	"22,1,1.04"	"24,1,1.04"	"26,1,1.04"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"13"	"6,1,5.18"	"8,1,1.14"	"10,1,1"	"9,1,1.14"	"11,1,1"	"12,1,1.08"	"14,1,1.08"	"16,1,1.08"	"18,1,1.08"	"20,1,1.08"	"22,1,1.08"	"24,1,1.08"	"26,1,1.08"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"14"	"6,1,5.71"	"8,1,1.23"	"10,1,1"	"9,1,1.23"	"11,1,1"	"12,1,1.12"	"14,1,1.12"	"16,1,1.12"	"18,1,1.12"	"20,1,1.12"	"22,1,1.12"	"24,1,1.12"	"26,1,1.12"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"15"	"6,1,6.26"	"8,1,1.31"	"10,1,1"	"9,1,1.31"	"11,1,1"	"12,1,1.17"	"14,1,1.17"	"16,1,1.17"	"18,1,1.17"	"20,1,1.17"	"22,1,1.17"	"24,1,1.17"	"26,1,1.17"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"16"	"6,1,6.84"	"8,1,1.4"	"10,1,1"	"9,1,1.4"	"11,1,1"	"12,1,1.22"	"14,1,1.22"	"16,1,1.22"	"18,1,1.22"	"20,1,1.22"	"22,1,1.22"	"24,1,1.22"	"26,1,1.22"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"17"	"6,1,7.43"	"8,1,1.5"	"10,1,1"	"9,1,1.5"	"11,1,1"	"12,1,1.27"	"14,1,1.27"	"16,1,1.27"	"18,1,1.27"	"20,1,1.27"	"22,1,1.27"	"24,1,1.27"	"26,1,1.27"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"18"	"6,1,8.04"	"8,1,1.61"	"10,1,1"	"9,1,1.61"	"11,1,1"	"12,1,1.32"	"14,1,1.32"	"16,1,1.32"	"18,1,1.32"	"20,1,1.32"	"22,1,1.32"	"24,1,1.32"	"26,1,1.32"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"19"	"6,1,8.68"	"8,1,1.72"	"10,1,1"	"9,1,1.72"	"11,1,1"	"12,1,1.37"	"14,1,1.37"	"16,1,1.37"	"18,1,1.37"	"20,1,1.37"	"22,1,1.37"	"24,1,1.37"	"26,1,1.37"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"20"	"6,1,9.32"	"8,1,1.84"	"10,1,1"	"9,1,1.84"	"11,1,1"	"12,1,1.42"	"14,1,1.42"	"16,1,1.42"	"18,1,1.42"	"20,1,1.42"	"22,1,1.42"	"24,1,1.42"	"26,1,1.42"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"21"	"6,1,9.42"	"8,1,1"	"10,1,1"	"9,1,1"	"11,1,1"	"12,1,1"	"14,1,1"	"16,1,1"	"18,1,1"	"20,1,1"	"22,1,1"	"24,1,1"	"26,1,1"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"22"	"6,1,9.48"	"8,1,1.07"	"10,1,1"	"9,1,1.07"	"11,1,1"	"12,1,1.04"	"14,1,1.04"	"16,1,1.04"	"18,1,1.04"	"20,1,1.04"	"22,1,1.04"	"24,1,1.04"	"26,1,1.04"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"23"	"6,1,9.52"	"8,1,1.14"	"10,1,1"	"9,1,1.14"	"11,1,1"	"12,1,1.08"	"14,1,1.08"	"16,1,1.08"	"18,1,1.08"	"20,1,1.08"	"22,1,1.08"	"24,1,1.08"	"26,1,1.08"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"24"	"6,1,9.58"	"8,1,1.23"	"10,1,1"	"9,1,1.23"	"11,1,1"	"12,1,1.12"	"14,1,1.12"	"16,1,1.12"	"18,1,1.12"	"20,1,1.12"	"22,1,1.12"	"24,1,1.12"	"26,1,1.12"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
"25"	"6,1,9.62"	"8,1,1.31"	"10,1,1"	"9,1,1.31"	"11,1,1"	"12,1,1.17"	"14,1,1.17"	"16,1,1.17"	"18,1,1.17"	"20,1,1.17"	"22,1,1.17"	"24,1,1.17"	"26,1,1.17"	"34,1,1"	"35,1,1"	"36,1,1"	"37,1,1"	""	""	""	""	
