"提炼ID"	"提炼等级"	"提炼节点"	"升级经验"	"加成属性_1"	"加成属性_2"	"加成属性_3"	"加成属性_4"	"加成属性_5"	"加成属性_6"	"加成属性_7"	
"id"	"Level"	"stage"	"refine_exp"	"attr_1"	"attr_2"	"attr_3"	"attr_4"	"attr_5"	"attr_6"	"attr_7"	
"int"	"int"	"int"	"int"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"1"	"1"	"10"	"0,0,49"	"1,0,2"	"2,0,1"	"8,0,0"	"10,0,0"	"18,0,0"	"16,0,0"	
"2"	"1"	"2"	"10"	"0,0,104"	"1,0,5"	"2,0,2"	"8,0,0"	"10,0,0"	"18,0,0"	"16,0,0"	
"3"	"1"	"3"	"10"	"0,0,154"	"1,0,7"	"2,0,3"	"8,0,0"	"10,0,0"	"18,0,0"	"16,0,0"	
"4"	"1"	"4"	"10"	"0,0,209"	"1,0,10"	"2,0,5"	"8,0,0"	"10,0,0"	"18,0,0"	"16,0,0"	
"5"	"1"	"5"	"10"	"0,0,259"	"1,0,12"	"2,0,6"	"8,0,0"	"10,0,0"	"18,0,0"	"16,0,0"	
"6"	"1"	"6"	"10"	"0,0,314"	"1,0,15"	"2,0,7"	"8,0,0"	"10,0,0"	"18,0,0"	"16,0,0"	
"7"	"1"	"7"	"10"	"0,0,370"	"1,0,18"	"2,0,9"	"8,0,1"	"10,0,1"	"18,0,1"	"16,0,1"	
"8"	"1"	"8"	"10"	"0,0,419"	"1,0,20"	"2,0,10"	"8,0,1"	"10,0,1"	"18,0,1"	"16,0,1"	
"9"	"1"	"9"	"10"	"0,0,475"	"1,0,23"	"2,0,11"	"8,0,1"	"10,0,1"	"18,0,1"	"16,0,1"	
"10"	"1"	"10"	"10"	"0,0,524"	"1,0,26"	"2,0,13"	"8,0,1"	"10,0,1"	"18,0,1"	"16,0,1"	
"11"	"2"	"1"	"40"	"0,0,685"	"1,0,34"	"2,0,17"	"8,0,2"	"10,0,2"	"18,0,2"	"16,0,2"	
"12"	"2"	"2"	"40"	"0,0,845"	"1,0,42"	"2,0,21"	"8,0,2"	"10,0,2"	"18,0,2"	"16,0,2"	
"13"	"2"	"3"	"40"	"0,0,1000"	"1,0,50"	"2,0,25"	"8,0,3"	"10,0,3"	"18,0,3"	"16,0,3"	
"14"	"2"	"4"	"40"	"0,0,1160"	"1,0,58"	"2,0,29"	"8,0,3"	"10,0,3"	"18,0,3"	"16,0,3"	
