"索引ID"	"系统ID（1=法阵）"	"技能ID"	"等级"	"技能名称"	"技能图标"	"技能描述"	"激活条件"	"触发效果1"	"触发效果2"	"触发效果3"	"触发效果4"	"触发效果5"	"战士加成属性1"	"战士加成属性2"	"战士加成属性3"	"弓手加成属性1"	"弓手加成属性2"	"弓手加成属性3"	"法师加成属性1"	"法师加成属性2"	"法师加成属性3"	"属性效果1"	"属性效果2"	"属性效果3"	"属性效果4"	"属性效果5"	"是否开启"	
"index"	"id"	"skill"	"level"	"name"	"icon"	"desc"	"acti_mf_level"	"triggerid_1"	"triggerid_2"	"triggerid_3"	"triggerid_4"	"triggerid_5"	"w_attr_1"	"w_attr_2"	"w_attr_3"	"s_attr_1"	"s_attr_2"	"s_attr_3"	"m_attr_1"	"m_attr_2"	"m_attr_3"	"attrid_1"	"attrid_2"	"attrid_3"	"attrid_4"	"attrid_5"	"opennow"	
"int"	"int"	"int"	"int"	"string"	"string[]"	"string"	"int"	"int"	"int"	"int"	"int"	"int"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"float[3]"	"bool"	
"cs"	"cs"	"cs"	"cs"	"c"	"c"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	
"1"	"1"	"1"	"1"	"强效命中"	"pic_fazhenhuodong,jineng06"	"命中值增加100点"	"2"	""	""	""	""	""	"12,0,100"	""	""	"12,0,100"	""	""	"12,0,100"	""	""	""	""	""	""	""	"1"	
"2"	"1"	"2"	"1"	"强效韧性"	"pic_fazhenhuodong,jineng05"	"韧性值增加200点"	"4"	""	""	""	""	""	"18,0,200"	""	""	"18,0,200"	""	""	"18,0,200"	""	""	""	""	""	""	""	"1"	
"3"	"1"	"3"	"1"	"强效暴伤"	"pic_fazhenhuodong,jineng04"	"暴击加伤增加200点"	"6"	""	""	""	""	""	"24,0,200"	""	""	"24,0,200"	""	""	"24,0,200"	""	""	""	""	""	""	""	"1"	
"4"	"1"	"4"	"1"	"强效闪避"	"pic_fazhenhuodong,jineng03"	"闪避值增加200点"	"8"	""	""	""	""	""	"14,0,200"	""	""	"14,0,200"	""	""	"14,0,200"	""	""	""	""	""	""	""	"1"	
"5"	"1"	"5"	"1"	"强效全抗"	"pic_fazhenhuodong,jineng02"	"全元素抗性增加200点"	"10"	""	""	""	""	""	"29,0,200"	""	""	"29,0,200"	""	""	"29,0,200"	""	""	""	""	""	""	""	"1"	
"6"	"1"	"6"	"1"	"霜冻之体"	"pic_fazhenhuodong,jienng01"	"被击中时，有几率施放一次冰冻新星，将敌人冻结在原地"	"12"	"87003"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	
"7"	"2"	"1"	"1"	"强效生命"	"chongwujingling,jineng06"	"生命值增加1000点"	"2"	""	""	""	""	""	"6,0,1000"	""	""	"6,0,1000"	""	""	"6,0,1000"	""	""	""	""	""	""	""	"1"	
"8"	"2"	"2"	"1"	"强效物防"	"chongwujingling,jineng03"	"物理防御增加100点"	"4"	""	""	""	""	""	"10,0,100"	""	""	"10,0,100"	""	""	"10,0,100"	""	""	""	""	""	""	""	"1"	
"9"	"2"	"3"	"1"	"强效魔防"	"chongwujingling,jineng04"	"魔法防御增加100点"	"6"	""	""	""	""	""	"11,0,100"	""	""	"11,0,100"	""	""	"11,0,100"	""	""	""	""	""	""	""	"1"	
"10"	"2"	"4"	"1"	"强效暴免"	"chongwujingling,jineg01"	"暴击免伤增加200点"	"8"	""	""	""	""	""	"26,0,200"	""	""	"26,0,200"	""	""	"26,0,200"	""	""	""	""	""	""	""	"1"	
"11"	"2"	"5"	"1"	"强效体质"	"chongwujingling,jineng02"	"体质增加200点"	"10"	""	""	""	""	""	"2,0,200"	""	""	"2,0,200"	""	""	"2,0,200"	""	""	""	""	""	""	""	"1"	
"12"	"2"	"6"	"1"	"精灵低语"	"chongwujingling,jineng05"	"小精灵有几率帮助主人沉默敌人"	"12"	"87004"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	
