"坐骑ID"	"坐骑名字"	"坐骑级别1=初级坐骑；2=中级坐骑；3=高级坐骑；4=龙坐骑；5=限时坐骑"	"坐骑类别（首位，1为普通坐骑，2为幻形坐骑，3为多人坐骑）"	"有效期（天数永久填-1）"	"每个坐骑装备槽最大等级（不判断填-1）"	"坐骑最大阶（不判断填-1）"	"坐骑最大级（不判断填-1）"	"等阶"	"坐骑升级类型（对应RideLevelupConfig表中的类型，同类型可进行升级，0=未不可升级）"	"坐骑突破类型（对应RideBreakupConfig表中的类型，同类型可进行升级，0=未不可升级）"	"坐骑属性（针对幻形和多人，其他坐骑不读取填-1）（属性ID，属性值）"	"坐骑头像"	"新获得界面名称美术字"	"模型ID"	"坐骑界面坐标"	"坐骑界面角度"	"模型缩放"	"多人坐骑对应CreatureType的ID"	"坐骑主控者BUFF"	"跟随者BUFF（针对多人，其他坐骑不读取填-1）"	"基础移动速度"	"坐骑速度增量(百分比)"	"角色stand动画"	"角色srun动画"	"特效资源"	"特效挂点"	"排行榜中尺寸"	"排行榜中位置"	"排行榜中角度"	"商城中尺寸"	"商城中位置"	"商城中角度"	"新获得时尺寸"	"新获得时位置"	"新获得时角度"	"列表名称美术字"	"获取途径美术字"	"是否商城购买"	"跳转界面-1:不跳转数字：Gui表中的ID"	"标签页id-1:无数字：Gui表中的ID"	"法宝高度在玩家上坐骑后，法宝会抬起的高度，单位米比如上神雕后法宝高度就比普通马要高"	
"id"	"name"	"grade"	"sort"	"validity"	"itemhole_max"	"class_max"	"level_max"	"rank"	"levelsort"	"stagesort"	"attr"	"portrait"	"name_icon"	"character"	"ui_position"	"ui_rotation"	"model_scale"	"map_creature_id"	"ridebuff"	"followbuff"	"baseMoveSpeed"	"speed"	"stand"	"run"	"effectList"	"effectBandPointList"	"rank_size"	"rank_position"	"rank_rotation"	"mail_size"	"mail_position"	"mail_rotation"	"get_size"	"get_position"	"get_rotation"	"list_icon"	"achieve_icon"	"mall_buy"	"ui_id"	"ui_tab_id"	"fabao_height"	
"int"	"string"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int[]"	"string[2]"	"string[2]"	"int"	"float[2]"	"float[3]"	"float"	"int"	"int"	"int"	"float"	"float"	"string"	"string"	"string[]"	"string[]"	"float"	"float[2]"	"float[3]"	"float"	"float[2]"	"float[3]"	"float"	"float[2]"	"float[3]"	"string[2]"	"string[2]"	"int"	"int"	"int"	"float"	
"cs"	"csl"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"c"	"c"	"c"	"c"	"cs"	"cs"	"cs"	"c"	"cs"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	"c"	
"10001"	"刺天"	"1"	"1001"	"-1"	"50"	"10"	"100"	"1"	"1"	"1"	"-1"	"icon_pet_png,ridename_ct"	"shenqiname,ridename01"	"50003"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.2"	"0.1,-1.8"	""	"1.8"	"0.1,-1.5"	""	"2.2"	"0,-1.9"	""	"shenqiname,s_ridename01"	""	"0"	""	""	"0.8"	
"10002"	"爪皇飞电"	"1"	"1002"	"-1"	"50"	"10"	"100"	"2"	"0"	"0"	"-1"	"icon_pet_png,rideicon_zhfd"	"shenqiname,ridename03"	"50006"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3"	"0.1,-1.7"	""	"1.8"	"0.1,-1.5"	""	"2.2"	"0,-1.9"	""	"shenqiname,s_ridename03"	""	""	""	""	"0.8"	
"10003"	"乌骓"	"1"	"1003"	"-1"	"50"	"10"	"100"	"3"	"0"	"0"	"-1"	"icon_pet_png,rideicon_wy"	"shenqiname,ridename02"	"50005"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3"	"0.1,-1.7"	""	"1.8"	"0.1,-1.5"	""	"2.2"	"0,-1.9"	""	"shenqiname,s_ridename02"	""	""	""	""	"0.8"	
"10004"	"绝影"	"1"	"1004"	"-1"	"50"	"10"	"100"	"4"	"0"	"0"	"-1"	"icon_pet_png,rideicon_jy"	"shenqiname,ridename04"	"50007"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3"	"0.1,-1.7"	""	"1.8"	"0.1,-1.5"	""	"2.2"	"0,-1.9"	""	"shenqiname,s_ridename04"	""	""	""	""	"0.8"	
"10005"	"赤兔"	"2"	"1005"	"-1"	"50"	"10"	"100"	"5"	"0"	"0"	"-1"	"icon_pet_png,rideicon_cht"	"shenqiname,ridename05"	"50008"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3"	"0.1,-1.7"	""	"1.8"	"0.1,-1.5"	""	"2.2"	"0,-1.9"	""	"shenqiname,s_ridename05"	""	""	""	""	"0.8"	
"10006"	"驰电"	"2"	"1006"	"-1"	"50"	"10"	"100"	"6"	"0"	"0"	"-1"	"icon_pet_png,jingfan"	"shenqiname,ridename06"	"50010"	"0,-1.8"	""	"2.5"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3.5"	"0.2,-2"	""	"1.8"	"0.1,-1.5"	""	"2.2"	"0,-1.9"	""	"shenqiname,s_ridename06"	""	""	""	""	"0.8"	
"10007"	"白虎"	"2"	"1007"	"-1"	"50"	"10"	"100"	"7"	"0"	"0"	"-1"	"icon_pet_png,baihu"	"shenqiname,ridename07"	"50013"	""	""	"1.86"	""	"50000001"	"-1"	"8.500000"	"0.500000"	"ridestand"	"riding"	""	""	"3"	"-0.1,-1.65"	""	"1.8"	"0.1,-1.5"	""	"2.1"	"0,-1.8"	""	"shenqiname,s_ridename07"	""	""	""	""	"0.5"	
