"ID"	"节点名称"	"节点增加属性（属性ID对应AttributeFormat表）"	"激活所需物品1(ID,数量)"	"激活所需物品2(ID,数量)"	"激活所需物品3(ID,数量)"	"节点类型（0为小点，1为大点）"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"id"	"point_name"	"point_attr"	"activate_item_1"	"activate_item_2"	"activate_item_3"	"point_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"string"	"int[]"	"int[2]"	"int[2]"	"int[2]"	"int"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cl"	"cs"	"cs"	"cs"	"cs"	"c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1"	"貔貅之血"	"0,585"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"貔貅之力"	"1,33"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"貔貅之盾"	"2,33"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"貔貅之眼"	"8,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"貔貅之翼"	"10,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	"貔貅之怒"	"12,5"	"100001,1000"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	"貔貅之韧"	"14,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8"	"貔貅之心"	"16,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9"	"貔貅之刚"	"18,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10"	"貔貅之血2"	"0,1585"	"100001,10000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11"	"貔貅之力2"	"1,133"	"100001,10000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12"	"貔貅之盾2"	"2,133"	"100001,10000"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"13"	"貔貅之眼2"	"8,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"14"	"貔貅之翼2"	"10,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"15"	"貔貅之怒2"	"12,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"16"	"角端之血"	"0,585"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"17"	"角端之力"	"1,33"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"18"	"角端之盾"	"2,33"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"19"	"角端之眼"	"8,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20"	"角端之翼"	"10,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"21"	"角端之怒"	"12,5"	"100001,1000"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"22"	"角端之韧"	"14,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"23"	"角端之心"	"16,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"24"	"角端之刚"	"18,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"25"	"角端之血2"	"0,1585"	"100001,10000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26"	"角端之力2"	"1,133"	"100001,10000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"27"	"角端之盾2"	"2,133"	"100001,10000"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"28"	"角端之韧2"	"14,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"29"	"角端之心2"	"16,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"30"	"角端之刚2"	"18,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"31"	"陆吾之血"	"0,585"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"32"	"陆吾之力"	"1,33"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"33"	"陆吾之盾"	"2,33"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"34"	"陆吾之眼"	"8,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"35"	"陆吾之翼"	"10,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"36"	"陆吾之怒"	"12,5"	"100001,1000"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"37"	"陆吾之韧"	"14,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"38"	"陆吾之心"	"16,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"39"	"陆吾之刚"	"18,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"40"	"陆吾之血2"	"0,1585"	"100001,10000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"41"	"陆吾之力2"	"1,133"	"100001,10000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"42"	"陆吾之盾2"	"2,133"	"100001,10000"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"43"	"陆吾之眼2"	"8,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"44"	"陆吾之翼2"	"10,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"45"	"陆吾之怒2"	"12,12"	"100001,100000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"46"	"白泽之血"	"0,585"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"47"	"白泽之力"	"1,33"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"48"	"白泽之盾"	"2,33"	"100001,100"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"49"	"白泽之眼"	"8,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"50"	"白泽之翼"	"10,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"51"	"白泽之怒"	"12,5"	"100001,1000"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"52"	"白泽之韧"	"14,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"53"	"白泽之心"	"16,5"	"100001,1000"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
