"id"	"名字"	"图标"	"大图标"	"小图标"	"类别(同类别的天赋石不能出现在一头龙上)"	"品质"	"等级"	"最高等级"	"职业限制0x01=战士0x02=游侠0x04=法师"	"龙系别限制0x01=火0x02=冰0x04=雷0x08=毒"	"效果(索引到天赋石效果表中)"	"注释"	"技能tips"	"技能tips参数"	"影响的技能(客户端用)@xl填-1表示对所有技能都影响"	""	""	""	""	""	
"id"	"name"	"icon"	"icon_1"	"icon_2"	"type"	"quality"	"level"	"max_level"	"profession_mask"	"dragon_mask"	"effects"	"comment"	"tips"	"tipsAgrs"	"effected_skills"	""	""	""	""	""	
"int"	"string"	"string[]"	"string[]"	"string[]"	"int"	"int"	"int"	"int"	"int"	"int"	"int[]"	"int"	"string"	"string"	"int[]"	""	""	""	""	""	
"cs"	"cl"	"c"	"c"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"csl"	"c"	"c"	""	""	""	""	""	
"1"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"1"	""	""	""	""	""	""	""	""	""	
"2"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"2"	""	""	""	""	""	""	""	""	""	
"3"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"3"	""	""	""	""	""	""	""	""	""	
"4"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"4"	""	""	""	""	""	""	""	""	""	
"5"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"5"	""	""	""	""	""	""	""	""	""	
"6"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"6"	""	""	""	""	""	""	""	""	""	
"7"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"7"	""	""	""	""	""	""	""	""	""	
"8"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"8"	""	""	""	""	""	""	""	""	""	
"9"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"9"	""	""	""	""	""	""	""	""	""	
"10"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"10"	""	""	""	""	""	""	""	""	""	
"11"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"11"	""	""	""	""	""	""	""	""	""	
"12"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"12"	""	""	""	""	""	""	""	""	""	
"13"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"13"	""	""	""	""	""	""	""	""	""	
"14"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"14"	""	""	""	""	""	""	""	""	""	
"15"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"15"	""	""	""	""	""	""	""	""	""	
"16"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"16"	""	""	""	""	""	""	""	""	""	
"17"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"17"	""	""	""	""	""	""	""	""	""	
"18"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"18"	""	""	""	""	""	""	""	""	""	
"19"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"19"	""	""	""	""	""	""	""	""	""	
"20"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"20"	""	""	""	""	""	""	""	""	""	
"21"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"21"	""	""	""	""	""	""	""	""	""	
"22"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"22"	""	""	""	""	""	""	""	""	""	
"23"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"23"	""	""	""	""	""	""	""	""	""	
"24"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"24"	""	""	""	""	""	""	""	""	""	
"25"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"25"	""	""	""	""	""	""	""	""	""	
"26"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"26"	""	""	""	""	""	""	""	""	""	
"27"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"27"	""	""	""	""	""	""	""	""	""	
"28"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"28"	""	""	""	""	""	""	""	""	""	
"29"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"29"	""	""	""	""	""	""	""	""	""	
"30"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"30"	""	""	""	""	""	""	""	""	""	
"31"	""	""	""	""	"0"	"0"	"1"	""	"7"	"15"	"31"	""	""	""	""	""	""	""	""	""	
"100000"	"狂击-锋锐"	"skill2,suzhan"	"skill2,suzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1000"	"0"	"1"	""	"1"	"15"	"100000"	""	"[green]狂击[white]造成的物理伤害提升[green]${0},9$[white]"	"[[`talent_type_id`,2,100000,`oper_val`]]"	"1000"	""	""	""	""	""	
"100010"	"狂击-锋锐"	"skill2,suzhan"	"skill2,suzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1000"	"0"	"2"	""	"1"	"15"	"100010"	""	"[green]狂击[white]造成的物理伤害提升[green]${0},9$[white]"	"[[`talent_type_id`,2,100010,`oper_val`]]"	"1000"	""	""	""	""	""	
"100020"	"狂击-锋锐"	"skill2,suzhan"	"skill2,suzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1000"	"0"	"3"	""	"1"	"15"	"100020"	""	"[green]狂击[white]造成的物理伤害提升[green]${0},9$[white]"	"[[`talent_type_id`,2,100020,`oper_val`]]"	"1000"	""	""	""	""	""	
"100100"	"狂击-击晕"	"skill2,suzhan"	"skill2,suzhan"	"dragon_tianfu_2013.10,jiyunxiaoguo_l"	"1001"	"0"	"1"	""	"1"	"15"	"100100,100101"	""	"[green]狂击[white]有[green]${0},7$[white]几率造成[green]1[white]秒眩晕"	"[[`talent_type_id`,2,100101,`oper_val`]]"	"1000"	""	""	""	""	""	
"100200"	"狂击-强力"	"skill2,suzhan"	"skill2,suzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1002"	"0"	"1"	""	"1"	"15"	"100200,100201"	""	"[green]狂击[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,100200,`oper_val`]]"	"1000"	""	""	""	""	""	
"100210"	"狂击-强力"	"skill2,suzhan"	"skill2,suzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1002"	"0"	"2"	""	"1"	"15"	"100210,100211"	""	"[green]狂击[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,100210,`oper_val`]]"	"1000"	""	""	""	""	""	
"100220"	"狂击-强力"	"skill2,suzhan"	"skill2,suzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1002"	"0"	"3"	""	"1"	"15"	"100220,100221"	""	"[green]狂击[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,100220,`oper_val`]]"	"1000"	""	""	""	""	""	
"100230"	"狂击-强力"	"skill2,suzhan"	"skill2,suzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1002"	"0"	"4"	""	"1"	"15"	"100230,100231"	""	"[green]狂击[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,100230,`oper_val`]]"	"1000"	""	""	""	""	""	
"100240"	"狂击-强力"	"skill2,suzhan"	"skill2,suzhan"	"dragon_tianfu_2013.10,shanghaizengjia_l"	"1002"	"0"	"5"	""	"1"	"15"	"100240,100241"	""	"[green]狂击[white]造成的物理伤害提升[green]${0},1$[white]点"	"[[`talent_type_id`,2,100240,`oper_val`]]"	"1000"	""	""	""	""	""	
"101000"	"野蛮冲刺-蛮横撞击"	"skill2,chongfeng"	"skill2,chongfeng"	"dragon_tianfu_2013.10,jiansuxiaoguo_l"	"1010"	"0"	"1"	""	"1"	"15"	"101000,101001"	""	"[green]野蛮冲刺[white]会使目标减速[green]30%[white]，持续[green]2[white]秒"	""	"1010"	""	""	""	""	""	
"101100"	"野蛮冲刺-伺机待发"	"skill2,chongfeng"	"skill2,chongfeng"	"dragon_tianfu_2013.10,jiancd_l"	"1011"	"0"	"1"	""	"1"	"15"	"101100"	""	"[green]野蛮冲刺[white]的CD时间减少[green]${0},8$[white]秒"	"[[`talent_type_id`,2,101100,`oper_val`]]"	"1010"	""	""	""	""	""	
"102000"	"剑舞风暴-战魂"	"skill2,xuanfengzhan"	"skill2,xuanfengzhan"	"dragon_tianfu_2013.10,mianyikongzhi_l"	"1020"	"0"	"1"	""	"1"	"15"	"102000"	""	"[green]剑舞风暴[white]过程中免疫眩晕，冻结，减速效果"	""	"1020"	""	""	""	""	""	
"102100"	"剑舞风暴-疾走"	"skill2,xuanfengzhan"	"skill2,xuanfengzhan"	"dragon_tianfu_2013.10,suduzengjia_l"	"1021"	"0"	"1"	""	"1"	"15"	"102100"	""	"[green]剑舞风暴[white]过程中获得[green]30%[white]的加速，持续[green]3[white]秒"	""	"1020"	""	""	""	""	""	
"103000"	"死亡之握-震晕"	"skill2,lajin"	"skill2,lajin"	"dragon_tianfu_2013.10,jiyunxiaoguo_l"	"1030"	"0"	"1"	""	"1"	"15"	"103000,103001"	""	"[green]死亡之握[white]对拉到身边的目标造成[green]1[white]秒眩晕"	""	"1030"	""	""	""	""	""	
"103100"	"死亡之握-以一敌百"	"skill2,lajin"	"skill2,lajin"	"dragon_tianfu_2013.10,mubiaogeshu_l"	"1031"	"0"	"1"	""	"1"	"15"	"103100"	""	"[green]死亡之握[white]的目标个数上限提升为[green]${0},1$[white]个"	"[[`talent_type_id`,2,103100,`oper_val`]]"	"1030"	""	""	""	""	""	
"104000"	"圣躯燃烧-战士之怒"	"skill2,baoqi"	"skill2,baoqi"	"dragon_tianfu_2013.10,mubiaogeshu_l"	"1040"	"0"	"1"	""	"1"	"15"	"104000,104001"	""	"[green]圣躯燃烧[white]变成光环效果，毁灭术师身边半径范围[green]${0},1$[white]米之内的[green]${1},1$[white]个队友都会同时具备疯狂暴走效果"	"[[`talent_type_id`,2,104001,`oper_val`],[`talent_type_id`,2,104000,`oper_val`]]"	"1040"	""	""	""	""	""	
