"装备ID"	"装备说明，策划注释用，不读"	"指定需求部件1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品"	"区域底图及升阶提示暗/亮"	"阶段图标"	"属性1类型ID"	"属性1取值"	"属性1最小值"	"属性1最大值"	"属性2类型ID"	"属性2取值"	"属性2最小值"	"属性2最大值"	"属性3类型ID"	"属性3取值"	"属性3最小值"	"属性3最大值"	"低级道具"	"低级道具数量"	"中级道具"	"中级道具数量"	"高级道具"	"高级道具属性"	"固定属性指向EquipExttendEffect索引ID"	"属性1取值"	"固定属性2"	"属性2取值"	"固定属性3"	"属性3取值"	"固定属性4"	"属性4取值"	"固定属性5"	"属性5取值"	"固定属性6"	"属性6取值"	"固定属性7"	"属性7取值"	"固定属性8"	"属性8取值"	"固定属性9"	"属性9取值"	"固定属性10"	"属性10取值"	"附加属性品质等级(对应ItemEquipExtendRandom表）"	"附加属性条数"	"使用等级修正区间，固定装填0,0"	"物品等级修正区间，固定装填0,0"	"装备出未鉴定几率10000为100%品质和等级判断通过后，出现未鉴定的几率"	"附加属性生成规则，0为全随机1为全固定2为半固定时装必须1"	"魂链生成几率白，蓝，紫，金，橙"	"魂集合：绿=1白=2蓝=4紫=8黄=16橙=32红=64"	"额外魂几率"	"指定自身魂印"	"指定自身魂链"	"指定需求魂印"	
"id"	""	"fixedPartDemand"	"picture"	"picture_stage"	"effectID1"	"effectVal1"	"Val_min_1"	"Val_max_1"	"effectID2"	"effectVal2"	"Val_min_2"	"Val_max_2"	"effectID3"	"effectVal3"	"Val_min_3"	"Val_max_3"	"itemUse_1"	"itemNum_1"	"itemUse_2"	"itemNum_2"	"itemUse_3"	"itemNum_3"	"effectID_1"	"effectVal_1"	"effectID_2"	"effectVal_2"	"effectID_3"	"effectVal_3"	"effectID_4"	"effectVal_4"	"effectID_5"	"effectVal_5"	"effectID_6"	"effectVal_6"	"effectID_7"	"effectVal_7"	"effectID_8"	"effectVal_8"	"effectID_9"	"effectVal_9"	"effectID_10"	"effectVal_10"	"effectLevel"	"effectNum"	"useLevelRevise"	"itemLevelRevise"	"identifyRate"	"effectRule"	"chainRate"	"soulGather"	"extraSoulRate"	"fixedSoul"	"fixedChain"	"fixedSoulDemand"	
"int"	""	"int"	"string[]"	"string[]"	"int"	"float"	"float"	"float"	"int"	"float"	"float"	"float"	"int"	"float"	"float"	"float"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"float[2]"	"int"	"int"	"int[]"	"int[]"	"int"	"int"	"float[5]"	"int[]"	"float[]"	"int"	"int"	"int"	
"cs"	""	"s"	"c"	"c"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"s"	"s"	"s"	"sc"	"s"	"sc"	"s"	"s"	"s"	"s"	"s"	"s"	
"1"	"1级武器-绿1灯"	"1"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"100.000000"	"2.000000"	"12.000000"	"0"	"3000.000000"	"100.000000"	"320.000000"	"12"	"30.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"0"	"2000,2000"	"1"	"2013,2013"	"2"	"2013,2013"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	""	"3"	"0,0"	"650650"	"0"	"1"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"2"	"20级武器-绿2灯"	"1"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"200.000000"	"2.000000"	"12.000000"	"0"	"6000.000000"	"100.000000"	"320.000000"	"12"	"60.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"0"	"2013,2013"	"1"	"2013,2013"	"2"	"2013,2013"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	""	"3"	"0,0"	"650650"	"0"	"1"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"3"	"40级武器-绿3灯"	"1"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"300.000000"	"2.000000"	"12.000000"	"0"	"9000.000000"	"100.000000"	"320.000000"	"12"	"90.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"0"	"2013,2013"	"1"	"2013,2013"	"2"	"2013,2013"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	""	"3"	"0,0"	"650650"	"0"	"1"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"4"	"60级武器-绿4灯"	"1"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"483.000000"	"2.000000"	"12.000000"	"0"	"14500.000000"	"100.000000"	"320.000000"	"12"	"136.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"0"	"2013,2013"	"1"	"2013,2013"	"2"	"2013,2013"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	""	"3"	"0,0"	"650650"	"0"	"1"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"5"	"80级武器-绿5灯"	"1"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"735.000000"	"2.000000"	"12.000000"	"0"	"22050.000000"	"100.000000"	"320.000000"	"12"	"211.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"9"	"2013,2013"	"8"	"2013,2013"	"1"	"2013,2013"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	""	"3"	"0,0"	"650650"	"0"	"1"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"6"	"100级武器-蓝1灯"	"1"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1122.000000"	"2.000000"	"12.000000"	"0"	"33675.000000"	"100.000000"	"320.000000"	"12"	"330.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"9"	"2013,2013"	"8"	"2013,2013"	"1"	"2013,2013"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	""	"3"	"0,0"	"650650"	"0"	"1"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
"7"	"120级武器-蓝2灯"	"1"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1705.000000"	"2.000000"	"12.000000"	"0"	"51175.000000"	"100.000000"	"320.000000"	"12"	"532.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"-1"	"0,0"	"1"	"3"	"0,0"	"650650"	"0"	"0"	"0,0,0,0,0"	"1,2,4"	"0,0"	""	""	""	
