"帮派等级"	"容纳人数"	"长老人数"	"所需活跃度"	"银币捐献消耗(0=银币1=元宝2=贡献)"	"银币捐献收益"	"元宝捐献消耗(0=银币1=元宝2=贡献)"	"元宝捐献收益"	"至尊捐献消耗(0=银币1=元宝2=贡献)"	"至尊权限收益"	"功能开放捐献=1果树=2商店=4仓库=8升级=16飞龙=32任务=64试炼之地=128"	"本级开放捐献=1果树=2商店=4仓库=8升级=16飞龙=32任务=64试炼之地=128"	"帮派日常任务环数"	"帮派日常奖励"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"level"	"member_count"	"elite_count"	"development"	"silver_donate_cost"	"silver_donate_gain"	"gold_donate_cost"	"gold_donate_gain"	"prime_donate_cost"	"prime_donate_gain"	"func_open"	"curr_func_open"	"guildquest_round"	"guildquest_reward"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"int"	"int"	"int"	"int[]"	"int"	"int[]"	"int"	"int[]"	"int"	"int"	"int"	"int"	"int[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1"	"20"	"4"	"100000"	"100001,50000"	"300"	"100003,20"	"400"	"100003,100"	"1000"	"71"	"71"	"1"	"100001,1000"	"捐献，任务，矿洞,试炼之地，商店"	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"22"	"4"	"500000"	"100001,50000"	"300"	"100003,20"	"400"	"100003,100"	"1000"	"71"	"71"	"1"	"100001,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"24"	"4"	"1000000"	"100001,50000"	"300"	"100003,20"	"400"	"100003,100"	"1000"	"71"	""	"1"	"100001,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"26"	"4"	"2000000"	"100001,50000"	"300"	"100003,20"	"400"	"100003,100"	"1000"	"71"	""	"1"	"100001,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"28"	"4"	"5000000"	"100001,50000"	"300"	"100003,20"	"400"	"100003,100"	"1000"	"71"	""	"1"	"100001,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	"30"	"4"	"10000000"	"100001,50000"	"300"	"100003,20"	"400"	"100003,100"	"1000"	"71"	""	"1"	"100001,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	"32"	"4"	"15000000"	"100001,50000"	"300"	"100003,20"	"400"	"100003,100"	"1000"	"71"	""	"1"	"100001,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8"	"34"	"4"	"20000000"	"100001,50000"	"300"	"100003,20"	"400"	"100003,100"	"1000"	"71"	""	"1"	"100001,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9"	"37"	"4"	"25000000"	"100001,50000"	"300"	"100003,20"	"400"	"100003,100"	"1000"	"71"	""	"1"	"100001,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10"	"40"	"4"	"99999999"	"100001,50000"	"300"	"100003,20"	"400"	"100003,100"	"1000"	"71"	""	"1"	"100001,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	
