"等级（最细碎的等级）"	"升级所需材料ID"	"单次修炼所需材料数量（不能升级时必须为0）"	"升下阶段所需总材料数量（在第n级的行中填写的是从n升到n+1所需材料数量）"	"等级倍数"	
"id"	"item_id"	"item_single"	"item_total"	"multiple"	
"int"	"int"	"int"	"int"	"float"	
"cs"	"cs"	"cs"	"cs"	"cs"	
"1"	"100101"	"1"	"1"	"1.100000"	
"2"	"100101"	"1"	"1"	"1.200000"	
"3"	"100101"	"1"	"1"	"1.300000"	
"4"	"100101"	"1"	"1"	"1.400000"	
"5"	"100101"	"1"	"1"	"1.500000"	
"6"	"100101"	"1"	"1"	"1.600000"	
"7"	"100101"	"1"	"1"	"1.700000"	
"8"	"100101"	"1"	"1"	"1.800000"	
"9"	"100101"	"1"	"1"	"1.900000"	
"10"	"100101"	"1"	"1"	"2.000000"	
"11"	"100101"	"1"	"1"	"2.100000"	
"12"	"100101"	"1"	"1"	"2.200000"	
"13"	"100101"	"1"	"1"	"2.300000"	
"14"	"100101"	"1"	"1"	"2.400000"	
"15"	"100101"	"1"	"1"	"2.500000"	
"16"	"100101"	"1"	"1"	"2.600000"	
"17"	"100101"	"1"	"1"	"2.700000"	
"18"	"100101"	"1"	"1"	"2.800000"	
"19"	"100101"	"1"	"1"	"2.900000"	
"20"	"100101"	"1"	"1"	"3.000000"	
"21"	"100101"	"1"	"1"	"3.100000"	
"22"	"100101"	"1"	"1"	"3.200000"	
"23"	"100101"	"1"	"1"	"3.300000"	
"24"	"100101"	"1"	"1"	"3.400000"	
"25"	"100101"	"1"	"1"	"3.500000"	
"26"	"100101"	"1"	"1"	"3.600000"	
"27"	"100101"	"1"	"1"	"3.700000"	
"28"	"100101"	"1"	"1"	"3.800000"	
"29"	"100101"	"1"	"1"	"3.900000"	
"30"	"100101"	"1"	"1"	"4.000000"	
"31"	"100101"	"1"	"1"	"4.100000"	
"32"	"100101"	"1"	"1"	"4.200000"	
"33"	"100101"	"1"	"1"	"4.300000"	
"34"	"100101"	"1"	"1"	"4.400000"	
"35"	"100101"	"1"	"1"	"4.500000"	
"36"	"100101"	"1"	"1"	"4.600000"	
"37"	"100101"	"1"	"1"	"4.700000"	
"38"	"100101"	"1"	"1"	"4.800000"	
"39"	"100101"	"1"	"1"	"4.900000"	
"40"	"100101"	"1"	"1"	"5.000000"	
"41"	"100101"	"1"	"1"	"5.100000"	
"42"	"100101"	"1"	"1"	"5.200000"	
"43"	"100101"	"1"	"1"	"5.300000"	
"44"	"100101"	"1"	"1"	"5.400000"	
"45"	"100101"	"1"	"1"	"5.500000"	
"46"	"100101"	"1"	"1"	"5.600000"	
"47"	"100101"	"1"	"1"	"5.700000"	
"48"	"100101"	"1"	"1"	"5.800000"	
"49"	"100101"	"1"	"1"	"5.900000"	
"50"	"100101"	"1"	"1"	"6.000000"	
"51"	"100101"	"1"	"1"	"6.100000"	
"52"	"100101"	"1"	"1"	"6.200000"	
"53"	"100101"	"1"	"1"	"6.300000"	
"54"	"100101"	"1"	"1"	"6.400000"	
"55"	"100101"	"1"	"1"	"6.500000"	
"56"	"100101"	"1"	"1"	"6.600000"	
"57"	"100101"	"1"	"1"	"6.700000"	
"58"	"100101"	"1"	"1"	"6.800000"	
"59"	"100101"	"1"	"1"	"6.900000"	
"60"	"100101"	"1"	"1"	"7.000000"	
"61"	"100101"	"1"	"1"	"7.100000"	
"62"	"100101"	"1"	"1"	"7.200000"	
"63"	"100101"	"1"	"1"	"7.300000"	
"64"	"100101"	"1"	"1"	"7.400000"	
