"ID"	"场景ID"	"副本时间(秒)"	"可能得到的物品"	"首次奖励"	"首次奖励数量"	"基础奖励"	"基础奖励数量"	"随机Boss1"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能1"	"BOSS攻略1"	"推荐英雄组1"	"随机Boss2"	"新获得时位置xyRenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能2"	"BOSS攻略2"	"推荐英雄组2"	"随机Boss3"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能3"	"BOSS攻略3"	"推荐英雄组3"	"随机Boss4"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能4"	"BOSS攻略4"	"推荐英雄组4"	"随机Boss5"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能5"	"BOSS攻略5"	"推荐英雄组5"	"随机Boss6"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能6"	"BOSS攻略6"	"推荐英雄组6"	"随机Boss7"	"易伤技能7"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"BOSS攻略7"	"推荐英雄组7"	"随机Boss8"	"新获得时位置RenderTextureNew中模型Transform负责"	"新获得时尺寸CameraXXSize负责"	"易伤技能8"	"BOSS攻略8"	"推荐英雄组8"	
"id"	"scene"	"time"	"items"	"reward_first"	"num_first"	"reward_basics"	"num_basics"	"boss_1"	"get_position1"	"get_size1"	"skill_1"	"guide_1"	"hero_1"	"boss_2"	"get_position2"	"get_size2"	"skill_2"	"guide_2"	"hero_2"	"boss_3"	"get_position3"	"get_size3"	"skill_3"	"guide_3"	"hero_3"	"boss_4"	"get_position4"	"get_size4"	"skill_4"	"guide_4"	"hero_4"	"boss_5"	"get_position5"	"get_size5"	"skill_5"	"guide_5"	"hero_5"	"boss_6"	"get_position6"	"get_size6"	"skill_6"	"guide_6"	"hero_6"	"boss_7"	"skill_7"	"get_position7"	"get_size7"	"guide_7"	"hero_7"	"boss_8"	"get_position8"	"get_size8"	"skill_8"	"guide_8"	"hero_8"	
"int"	"int"	"int"	"int[]"	"int[]"	"int[]"	"int[]"	"int[]"	"int"	"float[2]"	"float"	"int[]"	"int"	"int[]"	"int"	"float[2]"	"float"	"int[]"	"int"	"int[]"	"int"	"float[2]"	"float"	"int[]"	"int"	"int[]"	"int"	"float[2]"	"float"	"int[]"	"int"	"int[]"	"int"	"float[2]"	"float"	"int[]"	"int"	"int[]"	"int"	"float[2]"	"float"	"int[]"	"int"	"int[]"	"int"	"int[]"	"float[2]"	"float"	"int"	"int[]"	"int"	"float[2]"	"float"	"int[]"	"int"	"int[]"	
"cs"	"cs"	"cs"	"c"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"cs"	"c"	"cs"	"cs"	"c"	"c"	"cs"	"c"	"cs"	"cs"	"c"	"c"	"cs"	"c"	"cs"	"cs"	"c"	"c"	"cs"	"c"	"cs"	"cs"	"c"	"c"	"cs"	"c"	"cs"	"cs"	"c"	"c"	"cs"	"c"	"cs"	"cs"	"cs"	"c"	"c"	"c"	"cs"	"cs"	"c"	"c"	"cs"	"c"	"cs"	
"1"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40011"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40012"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40013"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40014"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40021"	"0,-2.2"	"5.2"	"70000100"	"4009"	"104029,102009,103023"	"40022"	"0,-3.2"	"7.7"	"70000200"	"4010"	"104001,103008,103004"	"40023"	"0,-3.1"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40024"	"0,-2.5"	"6"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40031"	"0,-2.2"	"5.5"	"70000100"	"4009"	"104029,102009,103023"	"40032"	"0,-2.9"	"7"	"70000200"	"4010"	"104001,103008,103004"	"40033"	"0,-2.9"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40034"	"0,-3.1"	"7.7"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40041"	"0,-2.5"	"6"	"70000100"	"4009"	"104029,102009,103023"	"40042"	"0,-1.2"	"3"	"70000200"	"4010"	"104001,103008,103004"	"40043"	"0,-2"	"5"	"70000300"	"4011"	"104024,103003,103007"	"40044"	"0,-2.7"	"6.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"4000"	"60"	"800081,100102,100101"	"800081,100004,100002"	"5,20,200000"	"100102,100101,100001"	"1,5,1000"	"40051"	"0,-2.3"	"5.7"	"70000100"	"4009"	"104029,102009,103023"	"40052"	"0,-4"	"9"	"70000200"	"4010"	"104001,103008,103004"	"40053"	"0,-2.8"	"7"	"70000300"	"4011"	"104024,103003,103007"	"40054"	"0,-1"	"2.5"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40061"	"0,-5.7"	"14"	"70000100"	"4009"	"104029,102009,103023"	"40062"	"0,-3.3"	"8"	"70000200"	"4010"	"104001,103008,103004"	"40063"	"0,-3.3"	"8"	"70000300"	"4011"	"104024,103003,103007"	"40064"	"0,-3.3"	"8"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7"	"4000"	"60"	"800081,100102,100101"	""	""	"100102,100101,100001"	"1,5,1000"	"40071"	"0,-2.2"	"5.2"	"70000100"	"4009"	"104029,102009,103023"	"40072"	"0,-3.2"	"7.7"	"70000200"	"4010"	"104001,103008,103004"	"40073"	"0,-3.1"	"7.7"	"70000300"	"4011"	"104024,103003,103007"	"40074"	"0,-2.5"	"6"	"70000400"	"4012"	"104002,103006,103027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
