"id"	"备注"	"关联id(本行可领时,关联id的奖励也会变成可领"	"开放条件:职业需求0=无要求1=战2=弓3=法"	"类型0=每日领取1=VIP每日领取2=祈愿大奖"	"VIP等级要求0为无要求"	"奖励物品"	"奖励数量"	"领取条件(当天在线秒数)0=无条件"	"领取条件:注册天数0=无条件"	"注册天数条件类型0=大等于1=必须整除"	"清空配置0=不清配为1表示每日清配为4表示注册天数能整除4时触发"	
"id"	"desc"	"link"	"cond_pro"	"type"	"cond_vip"	"items"	"counts"	"cond_online_seconds"	"cond_day"	"cond_day_type"	"loop_day"	
"int"	"string"	"int"	"int"	"int"	"int"	"int[4]"	"int[4]"	"int"	"int"	"int"	"int"	
"s"	"h"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	"s"	
"1"	"普通玩家每日领取"	"12"	"0"	"0"	"0"	",410014,600017,400014,600002"	",1,1,4,1"	"0"	"0"	"0"	"1"	
"2"	"普通玩家每日领取"	"13"	"0"	"0"	"0"	",410014,600017,400014,600002"	",1,1,4,1"	"240"	"0"	"0"	"1"	
"3"	"普通玩家每日领取"	"14"	"0"	"0"	"0"	",410014,600017,400014,600002"	",1,1,4,1"	"360"	"0"	"0"	"1"	
"4"	"普通玩家每日领取"	"15"	"0"	"0"	"0"	",410014,600017,400014,600002"	",1,1,4,1"	"480"	"0"	"0"	"1"	
"5"	"普通玩家每日领取"	"16"	"0"	"0"	"0"	",410014,600017,400014,600002"	",1,1,4,1"	"600"	"0"	"0"	"1"	
"6"	"普通玩家每日领取"	"17"	"0"	"0"	"0"	",410014,600017,400014,600002"	",1,1,4,1"	"900"	"0"	"0"	"1"	
"7"	"普通玩家每日领取"	"18"	"0"	"0"	"0"	",410014,600017,400014,600002"	",1,1,4,1"	"1200"	"0"	"0"	"1"	
"8"	"普通玩家每日领取"	"19"	"0"	"0"	"0"	",410014,600017,400014,600002"	",1,1,4,1"	"1500"	"0"	"0"	"1"	
"9"	"普通玩家每日领取"	"20"	"0"	"0"	"0"	",410014,600017,400014,600002"	",1,1,4,1"	"1800"	"0"	"0"	"1"	
"10"	"普通玩家每日领取"	"21"	"0"	"0"	"0"	",410014,600017,400014,600002"	",1,1,4,1"	"2100"	"0"	"0"	"1"	
"11"	"普通玩家每日领取"	"22"	"0"	"0"	"0"	",410014,600017,400014,600002"	",1,1,4,1"	"2100"	"0"	"0"	"1"	
"12"	"尊爵玩家每日领取"	""	"0"	"1"	"2"	",400100,600016,400014,600001"	",1,5,2,5"	"0"	"0"	"0"	"1"	
"13"	"尊爵玩家每日领取"	""	"0"	"1"	"2"	",560999,600016,400014,600001"	",1,5,2,5"	"240"	"0"	"0"	"1"	
"14"	"尊爵玩家每日领取"	""	"0"	"1"	"2"	",560999,600016,400014,600001"	",1,5,2,5"	"360"	"0"	"0"	"1"	
"15"	"尊爵玩家每日领取"	""	"0"	"1"	"2"	",560999,600016,400014,600001"	",1,5,2,5"	"480"	"0"	"0"	"1"	
"16"	"尊爵玩家每日领取"	""	"0"	"1"	"2"	",560999,600016,400014,600001"	",1,5,2,5"	"600"	"0"	"0"	"1"	
"17"	"尊爵玩家每日领取"	""	"0"	"1"	"2"	",400100,600016,400014,600001"	",1,5,2,5"	"900"	"0"	"0"	"1"	
"18"	"尊爵玩家每日领取"	""	"0"	"1"	"2"	",560999,600016,400014,600001"	",1,5,2,5"	"1200"	"0"	"0"	"1"	
"19"	"尊爵玩家每日领取"	""	"0"	"1"	"2"	",560999,600016,400014,600001"	",1,5,2,5"	"1500"	"0"	"0"	"1"	
"20"	"尊爵玩家每日领取"	""	"0"	"1"	"2"	",560999,600016,400014,600001"	",1,5,2,5"	"1800"	"0"	"0"	"1"	
"21"	"尊爵玩家每日领取"	""	"0"	"1"	"2"	",400100,600016,400014,600001"	",1,5,2,5"	"2100"	"0"	"0"	"1"	
"22"	"尊爵玩家每日领取"	""	"0"	"1"	"2"	",400100,600016,400014,600001"	",1,5,2,5"	"2100"	"0"	"0"	"1"	
"23"	"战士祈愿大奖4天"	""	"1"	"2"	"0"	",410103,561002,400200,400100"	",5,1,1,5"	"0"	"4"	"0"	"0"	
"24"	"战士祈愿大奖8天"	""	"1"	"2"	"0"	",410103,561002,400200,400100"	",5,1,1,5"	"0"	"8"	"0"	"0"	
"25"	"战士祈愿大奖15天循环"	""	"1"	"2"	"0"	",410103,561002,400200,400100"	",10,1,1,10"	"0"	"15"	"1"	"15"	
"26"	"弓手祈愿大奖4天"	""	"2"	"2"	"0"	",410103,561002,400200,400100"	",5,1,1,5"	"0"	"4"	"0"	"0"	
"27"	"弓手祈愿大奖8天"	""	"2"	"2"	"0"	",410103,561002,400200,400100"	",5,1,1,5"	"0"	"8"	"0"	"0"	
"28"	"弓手祈愿大奖15天循环"	""	"2"	"2"	"0"	",410103,561002,400200,400100"	",10,1,1,10"	"0"	"15"	"1"	"15"	
"29"	"法师祈愿大奖4天"	""	"3"	"2"	"0"	",410103,561002,400200,400100"	",5,1,1,5"	"0"	"4"	"0"	"0"	
"30"	"法师祈愿大奖8天"	""	"3"	"2"	"0"	",410103,561002,400200,400100"	",5,1,1,5"	"0"	"8"	"0"	"0"	
"31"	"法师祈愿大奖15天循环"	""	"3"	"2"	"0"	",410103,561002,400200,400100"	",10,1,1,10"	"0"	"15"	"1"	"15"	
