"装备位*1000+星级"	"星级"	"消耗材料（类型，数量）"	"保底符（类型，数量）"	"属性放大百分比"	"成功概率"	"失败回退等级"	
"id"	"level"	"consume"	"guarantee"	"multiplyPower"	"successChance"	"failRevertLevel"	
"int"	"int"	"int[2]"	"int[2]"	"float"	"float"	"int"	
"cs"	"cs"	"cs"	"cs"	"cs"	"s"	"s"	
"1001"	"1"	"400200,1"	"300001,1"	"1.000000"	"0.800000"	"0"	
"1002"	"2"	"400200,1"	"300001,1"	"1.010000"	"0.800000"	"1"	
"1003"	"3"	"400200,1"	"300001,1"	"1.020000"	"0.800000"	"2"	
"1004"	"4"	"400200,1"	"300001,1"	"1.030000"	"0.800000"	"3"	
"1005"	"5"	"400200,1"	"300001,1"	"1.040000"	"0.800000"	"4"	
"1006"	"6"	"400200,1"	"300001,1"	"1.050000"	"0.800000"	"5"	
"1007"	"7"	"400200,1"	"300001,1"	"1.060000"	"0.800000"	"6"	
"1008"	"8"	"400200,1"	"300001,1"	"1.070000"	"0.800000"	"7"	
"1009"	"9"	"400200,1"	"300001,1"	"1.080000"	"0.800000"	"8"	
"1010"	"10"	"400200,1"	"300001,1"	"1.090000"	"0.800000"	"9"	
"1011"	"11"	"400200,1"	"300001,1"	"1.100000"	"0.800000"	"10"	
"1012"	"12"	"400200,1"	"300001,1"	"1.110000"	"0.800000"	"11"	
"1013"	"13"	"400200,1"	"300001,1"	"1.120000"	"0.800000"	"12"	
"1014"	"14"	"400200,1"	"300001,1"	"1.130000"	"0.800000"	"13"	
"1015"	"15"	"400200,1"	"300001,1"	"1.140000"	"0.800000"	"14"	
"1016"	"16"	"400200,1"	"300001,1"	"1.150000"	"0.800000"	"15"	
"1017"	"17"	"400200,1"	"300001,1"	"1.160000"	"0.800000"	"16"	
"1018"	"18"	"400200,1"	"300001,1"	"1.170000"	"0.800000"	"17"	
"1019"	"19"	"400200,1"	"300001,1"	"1.180000"	"0.800000"	"18"	
"1020"	"20"	"400200,1"	"300001,1"	"1.190000"	"0.800000"	"19"	
"2001"	"1"	"400200,1"	"300001,1"	"1.000000"	"0.800000"	"0"	
"2002"	"2"	"400200,1"	"300001,1"	"1.010000"	"0.800000"	"1"	
"2003"	"3"	"400200,1"	"300001,1"	"1.020000"	"0.800000"	"2"	
"2004"	"4"	"400200,1"	"300001,1"	"1.030000"	"0.800000"	"3"	
"2005"	"5"	"400200,1"	"300001,1"	"1.040000"	"0.800000"	"4"	
"2006"	"6"	"400200,1"	"300001,1"	"1.050000"	"0.800000"	"5"	
"2007"	"7"	"400200,1"	"300001,1"	"1.060000"	"0.800000"	"6"	
"2008"	"8"	"400200,1"	"300001,1"	"1.070000"	"0.800000"	"7"	
"2009"	"9"	"400200,1"	"300001,1"	"1.080000"	"0.800000"	"8"	
"2010"	"10"	"400200,1"	"300001,1"	"1.090000"	"0.800000"	"9"	
"2011"	"11"	"400200,1"	"300001,1"	"1.100000"	"0.800000"	"10"	
"2012"	"12"	"400200,1"	"300001,1"	"1.110000"	"0.800000"	"11"	
