"特殊掉落ID"	"掉落包描述"	"职业限制(1=对战士可掉;2=对弓手可掉;4=对法师可掉;7=对所有职业可掉)"	"节日特殊掉落1=圣诞"	"击杀者等级限制"	"击杀者变量条件变量,区间1,2区间1：0=挂机迷城，用逗号分隔需要其他和必焕说区间2：挂机迷城击杀怪物数量上下限，用逗号分隔"	"掉落数量"	"掉落1"	"掉落2"	"掉落3"	"掉落4"	"掉落5"	"掉落6"	"掉落7"	"掉落8"	"掉落9"	"掉落10"	"掉落11"	"掉落12"	"掉落13"	"掉落14"	"掉落15"	"掉落16"	"掉落17"	"掉落18"	"掉落19"	"掉落20"	"掉落21"	"掉落22"	"掉落23"	"掉落24"	"掉落25"	"掉落26"	"掉落27"	"掉落28"	"掉落29"	"掉落30"	""	""	""	""	""	""	""	""	""	""	
"id"	""	"proLimit"	"festivalOpen"	"killerLevRange"	"killerDropVar"	"dropNum"	"drop1"	"drop2"	"drop3"	"drop4"	"drop5"	"drop6"	"drop7"	"drop8"	"drop9"	"drop10"	"drop11"	"drop12"	"drop13"	"drop14"	"drop15"	"drop16"	"drop17"	"drop18"	"drop19"	"drop20"	"drop21"	"drop22"	"drop23"	"drop24"	"drop25"	"drop26"	"drop27"	"drop28"	"drop29"	"drop30"	""	""	""	""	""	""	""	""	""	""	
"int"	""	"int"	"int"	"int[2]"	"int[3]"	"int"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	"int[3]"	""	""	""	""	""	""	""	""	""	""	
"cs"	""	"cs"	"s"	"s"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	"cs"	""	""	""	""	""	""	""	""	""	""	
"1001"	"帮派BOSS随机宝箱"	"7"	""	""	""	"1"	"1,110101,80"	"1,110102,20"	"1,100044,40"	"1,100059,50"	"1,100039,350"	"1,100040,200"	"1,100045,200"	"1,100037,60"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6010430"	"120级紫装宝箱"	"7"	""	""	""	"1"	"1,20431004,100"	"1,20431005,100"	"1,20431006,100"	"1,20431007,100"	"1,20431008,100"	"1,20431009,100"	"1,20431010,100"	"1,20431011,100"	"1,20431101,100"	"1,20431102,100"	"1,20431103,100"	"1,20431112,100"	"1,20431201,100"	"1,20431202,100"	"1,20431203,100"	"1,20431212,100"	"1,20431301,100"	"1,20431302,100"	"1,20431303,100"	"1,20431312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6010440"	"120级金装宝箱"	"7"	""	""	""	"1"	"1,20441004,100"	"1,20441005,100"	"1,20441006,100"	"1,20441007,100"	"1,20441008,100"	"1,20441009,100"	"1,20441010,100"	"1,20441011,100"	"1,20441101,100"	"1,20441102,100"	"1,20441103,100"	"1,20441112,100"	"1,20441201,100"	"1,20441202,100"	"1,20441203,100"	"1,20441212,100"	"1,20441301,100"	"1,20441302,100"	"1,20441303,100"	"1,20441312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6010530"	"160级紫装宝箱"	"7"	""	""	""	"1"	"1,20531004,100"	"1,20531005,100"	"1,20531006,100"	"1,20531007,100"	"1,20531008,100"	"1,20531009,100"	"1,20531010,100"	"1,20531011,100"	"1,20531101,100"	"1,20531102,100"	"1,20531103,100"	"1,20531112,100"	"1,20531201,100"	"1,20531202,100"	"1,20531203,100"	"1,20531212,100"	"1,20531301,100"	"1,20531302,100"	"1,20531303,100"	"1,20531312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6010540"	"160级金装宝箱"	"7"	""	""	""	"1"	"1,20541004,100"	"1,20541005,100"	"1,20541006,100"	"1,20541007,100"	"1,20541008,100"	"1,20541009,100"	"1,20541010,100"	"1,20541011,100"	"1,20541101,100"	"1,20541102,100"	"1,20541103,100"	"1,20541112,100"	"1,20541201,100"	"1,20541202,100"	"1,20541203,100"	"1,20541212,100"	"1,20541301,100"	"1,20541302,100"	"1,20541303,100"	"1,20541312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6010630"	"200级紫装宝箱"	"7"	""	""	""	"1"	"1,20631004,100"	"1,20631005,100"	"1,20631006,100"	"1,20631007,100"	"1,20631008,100"	"1,20631009,100"	"1,20631010,100"	"1,20631011,100"	"1,20631101,100"	"1,20631102,100"	"1,20631103,100"	"1,20631112,100"	"1,20631201,100"	"1,20631202,100"	"1,20631203,100"	"1,20631212,100"	"1,20631301,100"	"1,20631302,100"	"1,20631303,100"	"1,20631312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6010640"	"200级金装宝箱"	"7"	""	""	""	"1"	"1,20641004,100"	"1,20641005,100"	"1,20641006,100"	"1,20641007,100"	"1,20641008,100"	"1,20641009,100"	"1,20641010,100"	"1,20641011,100"	"1,20641101,100"	"1,20641102,100"	"1,20641103,100"	"1,20641112,100"	"1,20641201,100"	"1,20641202,100"	"1,20641203,100"	"1,20641212,100"	"1,20641301,100"	"1,20641302,100"	"1,20641303,100"	"1,20641312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
