"id"	"消息分类"	"消息图标"	"是否离线存储"	"是否显示时间戳"	"消息内容"	"Tip内容"	"子类型（消息球为0，消息框为1）"	"消息框图标"	"消息框对应的界面id(消息球添0即可）"	"生存时间(min)"	"功能开放id"	"该类消息球保存数量上限"	"是否可叠加显示"	
"id"	"type"	"icon"	"save"	"showTime"	"str"	"tip"	"sub_type"	"box_icon"	"ui_id"	"life"	"function_id"	"rsv_num"	"is_more"	
"int"	"int"	"string[]"	"bool"	"bool"	"string"	"string"	"int"	"string[]"	"int"	"int"	"int"	"int"	"bool"	
"cs"	"cs"	"c"	"s"	"cs"	"cl"	"cl"	"c"	"c"	"c"	"s"	"c"	"c"	"c"	
"1"	"1"	"pic_hero_png,back_1"	"0"	"0"	"[gold]【{0}】[green]{1}[white]邀请您加入队伍"	"您有新的组队申请"	"0"	""	"0"	"0"	"0"	"20"	"0"	
"2"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"[gold]【{0}】[green]邀请你加入[gold]{1}[green]联盟。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"3"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"[gold]【{0}】[green]邀请您加入魔王魂域[gold]{0}[green]队伍"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"4"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"[gold]【{0}】[green]邀请您加入竞技场[gold]{0}[green]队伍"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"5"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"[gold]【{0}】[green]邀请您加入凛冬修练场[gold]{0}[green]队伍"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"6"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"测试：加入联盟的回执。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"7"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"测试：统计a活动共获得了多少数值奖励。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"8"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"测试：统计b活动共获得了多少数值奖励。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"9"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[green]你被[gold]【{0}】[green]开除出了[gold]{1}[green]联盟，贡献和相应的道具、buff等都被清空。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"10"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"[green]你的联盟活跃度[gold]{0}[green]，获得了联盟会战的资格，请在[gold]{1}[green]准时参加。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"11"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"[gold]【{0}】[green]请求您的关注，是否加为关注？"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"12"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"[gold]【{0}】[green]关注了你，是否关注他？"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"13"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"[gold]{0}[green]在武神争霸中挑战了你！你战败了，排名降至第[gold]{1}[green]名"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"14"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"测试：送花专用"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"15"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"测试：预留"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"16"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"你获得了{0}体力"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"17"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"恭喜你升到{0}级，获得{1}体力值"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"18"	"4"	"pic_hero_png,back_1"	"1"	"1"	"本次{0}排名结算中，您的名次为第{1}名，恭喜您成功上榜，您可以点击排行榜界面查看全部榜单。"	"您有新的战报信息"	"0"	""	"0"	"1440"	"0"	"20"	"0"	
"19"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"本次{0}排名结算中，由于您未能进入前30名，很遗憾地落榜。"	""	"0"	""	"0"	"1440"	"0"	"20"	"0"	
"20"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"体力值不能超过900，系统不能再为你发放体力值了哦"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"21"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"[gold]【{0}】[green]邀请您加入龙域守护[gold]{0}[green]队伍"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"22"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[togold]您的金币不足以使用[green]迷宫探险[togold]的[green]战斗替身[togold]，系统将自动关闭此功能，若需重新开启请[green]#{ui_点击前往_100190}[togold]。"	""	"0"	""	"0"	"10080"	"0"	"20"	"0"	
"23"	"-1"	"pic_hero_png,back_1"	"1"	"1"	"[togold]您的金币不足以使用[green]角斗场[togold]的[green]战斗替身[togold]，系统将自动关闭此功能，若需重新开启请[green]#{ui_点击前往_100399}[togold]。"	""	"0"	""	"0"	"10080"	"0"	"20"	"0"	
"51"	"-1"	"pic_hero_png,back_1"	"0"	"0"	"[gold]【{0}】[green]邀请您加入[gold]{0}[green]战场队伍"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"100"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"你的联盟活跃度排名{0}，获得了联盟会战的资格，请在{1}准时参加"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"101"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"你的联盟在本轮联盟会战中轮空，直接进入下一轮"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"102"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"你的联盟获胜，获得了下一轮联盟会战的资格，请在{0}准时参加"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"103"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"你的联盟升级到了{0}级"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"104"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"你所在联盟的[gold]战争雕像[-]升级到了[green]{0}[-]级，瞻仰雕像可以获得更多联盟贡献。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
"105"	"-1"	"pic_hero_png,back_1"	"1"	"0"	"你所在联盟的[gold]联盟宝库[-]升级到了[green]{0}[-]级，稀有物品出现几率增加了。"	""	"0"	""	"0"	"0"	"0"	"20"	"0"	
