"id"	"类型0=银币基金1=术力基金2=龙玉基金3=血脉基金4=宝石基金5=龙魂基金6=轻羽基金7=琉璃基金8=启航基金9=扬帆基金10=远航基金"	"子类型（012345）"	"等级"	"职业1=战2=弓3=法"	"价格(充值金币)"	"回报率"	"第1天返回物品(itemid+count)"	"第2天返回物品"	"第3天返回物品"	"第4天返回物品"	"第5天返回物品"	"第6天返回物品"	"第7天返回物品"	"第8天返回物品"	"第9天返回物品"	"第10天返回物品"	""	""	""	
"id"	"type"	"subtype"	"level"	"profession"	"price"	"award_rate"	"day1_items"	"day2_items"	"day3_items"	"day4_items"	"day5_items"	"day7_items"	"day10_items"	"day15_items"	"day21_items"	"day30_items"	""	""	""	
"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	"int[2]"	""	""	""	
"sc"	"sc"	"sc"	"cs"	"cs"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	"sc"	""	""	""	
"10000"	"0"	"0"	"20"	"1"	"88"	"500"	"600003,1"	"600003,1"	"600003,1"	"600003,1"	"600003,1"	"600003,1"	"600003,2"	"600002,19"	"600002,21"	"600002,21"	""	""	""	
"10001"	"0"	"1"	"20"	"1"	"88"	"500"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,4"	"600002,24"	"600002,24"	"600002,24"	""	""	""	
"10002"	"0"	"2"	"20"	"1"	"88"	"500"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,2"	"600003,4"	"600002,27"	"600002,27"	"600002,27"	""	""	""	
"10003"	"0"	"3"	"20"	"1"	"88"	"500"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,6"	"600002,29"	"600002,29"	"600002,29"	""	""	""	
"10004"	"0"	"4"	"20"	"1"	"88"	"500"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,6"	"600002,31"	"600002,31"	"600002,31"	""	""	""	
"10005"	"0"	"5"	"20"	"1"	"88"	"500"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,3"	"600003,6"	"600002,33"	"600002,33"	"600002,33"	""	""	""	
"10010"	"1"	"0"	"20"	"1"	"88"	"500"	"600018,3"	"600018,3"	"600018,3"	"600018,3"	"600018,3"	"600018,3"	"600018,9"	"600018,6"	"600018,8"	"600018,8"	""	""	""	
