"规则ID"	"策划注释"	"是否可出售"	"是否可丢弃"	"是否可存仓库"	"绑定方式0=不绑定1=拾取绑定2=装备绑定"	"计时方式计时与叠加相冲突0=不计时，1=获取计时2=使用计时"	"所有物品（限时+非限时）是否上线时删除"	"所有物品（限时+非限时）是否切换场景删除"	"角色死亡物品是否可用"	"是否唯一"	"预留"	"预留"	"预留"	"是否有联盟"	
"id"	""	"isSell"	"isDestroy"	"isDeposit"	"bindingType"	"timeType"	"delWhenEnterGame"	"delWhenLeaveStage"	"useWhenDead"	"isUnique"	"extend2"	"extend3"	"extend4"	"useInGuild"	
"int"	""	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	"int"	
"cs"	""	"sc"	"sc"	"sc"	"sc"	"sc"	"s"	"s"	"s"	"cs"	"cs"	"cs"	"cs"	"cs"	
"0"	"系统默认"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"1"	"无限制"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"2"	"不可丢弃"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"3"	"拾绑+不计时"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"4"	"装绑+不计时"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"5"	"拾绑+获取计时"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"6"	"装绑+使用计时"	"1"	"1"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"7"	"不售不丢不存+拾绑，任务品和血脉，永久时装"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"8"	"拾绑+批量使用"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"9"	"不可存仓库"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"10"	"拾取绑定+不可售卖"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"11"	"限时时装、坐骑规则"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	""	""	""	"0"	
"12"	"永久时装、坐骑规则"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	""	""	""	"0"	
"14"	"血脉圣物限制等级1"	"1"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	""	""	"0"	
"15"	"血脉圣物限制等级2"	"1"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"3"	""	""	"0"	
"16"	"血脉圣物限制等级3"	"1"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"5"	""	""	"0"	
"17"	"血脉圣物限制等级4"	"1"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"7"	""	""	"0"	
"18"	"血脉圣物限制等级5"	"1"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"9"	""	""	"0"	
"19"	"血脉圣物不限等级不计时"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"20"	"法阵不限等级不计时"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"21"	"法阵计时"	"1"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	""	""	"0"	
"22"	"坐骑装备"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"23"	"兑换金币"	"1"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	""	""	""	"0"	
"24"	"不售不丢不存+拾绑，任务品和血脉，永久时装，离开场景消失"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	""	""	""	"0"	
"25"	"只可以在有联盟的时候使用"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	""	"1"	
