"ID"	"武魂名称"	"武魂点ID(对应HeroSpiritPoint表id列)"	"激活武魂所需物品1(ID,数量)"	"激活武魂所需物品2(ID,数量)"	"激活武魂所需物品3(ID,数量)"	"武魂激活属性"	"武魂名称图片（图集，图片名）"	"武魂底图（图集，图片名）"	"武魂节点模板ID"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"id"	"spirit_name"	"point_id"	"activate_item_1"	"activate_item_2"	"activate_item_3"	"activate_attr"	"spirit_name_pic"	"spirit_background_pic"	"point_model_id"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"int"	"string"	"int[]"	"int[2]"	"int[2]"	"int[2]"	"int[]"	"string[]"	"string[]"	"int"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"cs"	"cl"	"cs"	"cs"	"cs"	"cs"	"cs"	"c"	"c"	"c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1"	"貔貅"	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"	"100001,10"	""	""	"0,6301,1,393,2,196,8,11,10,11,12,11,14,11,18,11,16,11"	"pic_yingxiongmiji_png,w_pixiu"	"pic_wuhun_png,pixiu"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"2"	"角端"	"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"	"100001,100"	""	""	"0,6301,1,393,2,196,8,11,10,11,12,11,14,11,18,11,16,11"	"pic_yingxiongmiji_png,w_jiaoduan"	"pic_wuhun_png,jiaoduan"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"3"	"陆吾"	"31,32,33,34,35,36,37,38,39,40,41,42,43,44,45"	"100001,1000"	""	""	"0,6301,1,393,2,196,8,11,10,11,12,11,14,11,18,11,16,11"	"pic_yingxiongmiji_png,w_luwu"	"pic_wuhun_png,luwu"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"4"	"白泽"	"46,47,48,49,50,51,52,53,54,55,56,57,58,59,60"	"100001,10000"	""	""	"0,6301,1,393,2,196,8,11,10,11,12,11,14,11,18,11,16,11"	"pic_yingxiongmiji_png,w_baize"	"pic_wuhun_png,baize"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"5"	"金蟾"	"61,62,63,64,65,66,67,68,69,70,71,72,73,74,75"	"100001,10000"	""	""	"0,6301,1,393,2,196,8,11,10,11,12,11,14,11,18,11,16,11"	"pic_yingxiongmiji_png,w_jinchan"	"pic_wuhun_png,jinchan"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100201"	"貔貅"	"10020101,10020102,10020103,10020104,10020105,10020106,10020107,10020108,10020109,10020110,10020111,10020112,10020113,10020114,10020115"	"100043,24"	""	""	"0,2700,1,168,2,84,8,11,10,11,12,11,14,11,18,11,16,11"	"pic_yingxiongmiji_png,w_pixiu"	"pic_wuhun_png,pixiu"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"100202"	"角端"	"10020201,10020202,10020203,10020204,10020205,10020206,10020207,10020208,10020209,10020210,10020211,10020212,10020213,10020214,10020215"	"100043,28"	""	""	"0,2700,1,168,2,84,8,11,10,11,12,11,14,11,18,11,16,11"	"pic_yingxiongmiji_png,w_jiaoduan"	"pic_wuhun_png,jiaoduan"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
